candidate,party,percent,votes,office
"Chapman, Curtis J.",NP,53.97%,973,"Storey County School Board of Trustees, Seat 1-B"
Under Votes,,46.03%,830,"Storey County School Board of Trustees, Seat 1-B"
Over Votes,,0.00%,0,"Storey County School Board of Trustees, Seat 1-B"
"Waldow, Cyndy",NP,42.76%,771,"Storey County School Board of Trustees, Seat 1-C"
"Wilson, Lee",NP,42.98%,775,"Storey County School Board of Trustees, Seat 1-C"
Under Votes,,14.09%,254,"Storey County School Board of Trustees, Seat 1-C"
Over Votes,,0.17%,3,"Storey County School Board of Trustees, Seat 1-C"
"Clarke, Tyler S.",NP,65.72%,"1,185","Storey County School Board of Trustees, Seat 2-A"
Under Votes,,34.28%,618,"Storey County School Board of Trustees, Seat 2-A"
Over Votes,,0.00%,0,"Storey County School Board of Trustees, Seat 2-A"
"Diederich, Ed",NP,74.76%,"1,348","Storey County School Board of Trustees, Seat 2-B"
Under Votes,,25.24%,455,"Storey County School Board of Trustees, Seat 2-B"
Over Votes,,0.00%,0,"Storey County School Board of Trustees, Seat 2-B"
"Bryant, Brad",NP,25.49%,232,Canyon GID
"Cockerton, David G.",NP,23.96%,218,Canyon GID
"Lechuga, Nick",NP,7.25%,66,Canyon GID
"McNaughton, Richard J.",NP,8.24%,75,Canyon GID
"Shannon, Patrick K.",NP,24.51%,223,Canyon GID
"Young, Joanne C.",NP,8.46%,77,Canyon GID
Under Votes,,1.98%,18,Canyon GID
Over Votes,,0.11%,1,Canyon GID
Yes,,34.63%,595,Ballot Question 1
No,,65.37%,"1,123",Ballot Question 1
Under Votes,,0.00%,0,Ballot Question 1
Over Votes,,0.00%,0,Ballot Question 1
