candidate,party,percent,votes,office
Under Votes,,53.44%,70,Crescent Valley Town Board - 2 Year Term
Over Votes,,0.00%,0,Crescent Valley Town Board - 2 Year Term
Yes,,31.79%,268,Ballot Question 1
No,,65.36%,551,Ballot Question 1
Under Votes,,2.85%,24,Ballot Question 1
Over Votes,,0.00%,0,Ballot Question 1
Yes,,77.46%,653,Ballot Question 2
No,,20.52%,173,Ballot Question 2
Under Votes,,1.78%,15,Ballot Question 2
Over Votes,,0.24%,2,Ballot Question 2
