candidate,party,percent,votes,office
"Sanders, Tom",NP,100.00%,"2,945",Soil Conservation Seat BB
Under Votes,,0.00%,0,Soil Conservation Seat BB
Over Votes,,0.00%,0,Soil Conservation Seat BB
"Niman, Ronald J.",NP,70.38%,"2,241",Justice of the Peace Ely Township
"Sprouse, Teresa D.",NP,29.62%,943,Justice of the Peace Ely Township
Under Votes,,0.00%,0,Justice of the Peace Ely Township
Over Votes,,0.00%,0,Justice of the Peace Ely Township
"Peacock, Russell Warren",NP,100.00%,192,Justice of the Peace Lund Township
Under Votes,,0.00%,0,Justice of the Peace Lund Township
Over Votes,,0.00%,0,Justice of the Peace Lund Township
"Taylor, Valeria M.",NP,100.00%,83,Justice of the Peace Baker Township
Under Votes,,0.00%,0,Justice of the Peace Baker Township
Over Votes,,0.00%,0,Justice of the Peace Baker Township
Yes,,34.37%,"1,147",Ballot Question 1
No,,65.63%,"2,190",Ballot Question 1
Under Votes,,0.00%,0,Ballot Question 1
Over Votes,,0.00%,0,Ballot Question 1
Yes,,76.10%,"2,608",Ballot Question 2
No,,23.90%,819,Ballot Question 2
Under Votes,,0.00%,0,Ballot Question 2
Over Votes,,0.00%,0,Ballot Question 2
Yes,,48.55%,"1,641",Ballot Question 9
No,,51.45%,"1,739",Ballot Question 9
Under Votes,,0.00%,0,Ballot Question 9
Over Votes,,0.00%,0,Ballot Question 9
Yes,,16.38%,555,County Question 1
No,,83.62%,"2,833",County Question 1
Under Votes,,0.00%,0,County Question 1
Over Votes,,0.00%,0,County Question 1
Yes,,8.54%,291,County Question 2
No,,91.46%,"3,118",County Question 2
Under Votes,,0.00%,0,County Question 2
Over Votes,,0.00%,0,County Question 2
