candidate,party,percent,votes,office
"BOYD, RODERICK",DEM,19.61%,20,Secretary Of State (Democratic)
"MILLER, ROSS",DEM,48.04%,49,Secretary Of State (Democratic)
NONE OF THESE CANDIDATES,,32.35%,33,Secretary Of State (Democratic)
"SCROGGINS, BRIAN",REP,29.72%,115,Secretary Of State (Republican)
"TARKANIAN, DANNY",REP,49.87%,193,Secretary Of State (Republican)
NONE OF THESE CANDIDATES,,20.41%,79,Secretary Of State (Republican)
"MARSHALL, KATE",DEM,54.37%,56,State Treasurer (Democratic)
"VANDERPAL, GEOFFREY",DEM,20.39%,21,State Treasurer (Democratic)
NONE OF THESE CANDIDATES,,25.24%,26,State Treasurer (Democratic)
"AUGUSTINE, KATHY",REP,28.02%,109,State Treasurer (Republican)
"DESTEFANO, MARK",REP,34.45%,134,State Treasurer (Republican)
"PITTS, JOSEPH",REP,13.88%,54,State Treasurer (Republican)
NONE OF THESE CANDIDATES,,23.65%,92,State Treasurer (Republican)
"CALVERT, JOHN",NP,19.28%,107,"Supreme Court Justice, Seat F (Nonpartisan)"
"DOUGLAS, MICHAEL L.",NP,21.08%,117,"Supreme Court Justice, Seat F (Nonpartisan)"
"STEEL, CYNTHIA ""DIANNE""",NP,30.27%,168,"Supreme Court Justice, Seat F (Nonpartisan)"
NONE OF THESE CANDIDATES,,29.37%,163,"Supreme Court Justice, Seat F (Nonpartisan)"
"BECKER, NANCY",NP,31.22%,172,"Supreme Court Justice, Seat G (Nonpartisan)"
"CHRISTENSEN, THOMAS F.",NP,12.70%,70,"Supreme Court Justice, Seat G (Nonpartisan)"
"DEL VECCHIO, NICHOLAS ANTHONY",NP,12.52%,69,"Supreme Court Justice, Seat G (Nonpartisan)"
"SAITTA, NANCY M.",NP,12.89%,71,"Supreme Court Justice, Seat G (Nonpartisan)"
NONE OF THESE CANDIDATES,,30.67%,169,"Supreme Court Justice, Seat G (Nonpartisan)"
"FERRY, CLIFF",NP,100.00%,411,"State Board of Education, District 10 (Nonpartisan)"
"ALDERSON, SR, CHARLES W.",NP,21.21%,123,"State Board of Education, District 10 (Nonpartisan)"
"ETTER, LAURANCE F.",NP,29.83%,173,"State Board of Education, District 10 (Nonpartisan)"
"JONES, KENNETH E.",NP,31.21%,181,"State Board of Education, District 10 (Nonpartisan)"
"ROWLEY, RAND LEO",NP,17.76%,103,"State Board of Education, District 10 (Nonpartisan)"
"ITHURRALDE, JAMES P.",REP,63.57%,253,Sheriff - NP (Nonpartisan)
"PASTORINO, DAVID A.",REP,36.43%,145,Sheriff - NP (Nonpartisan)
"JONES, BENITA",NP,100.00%,435,County Commissioner District 2 (Republican)
"BROWN, JOHN W.",NP,100.00%,464,School Board Trustee Seat 1B (Nonpartisan)
"BAILEY, BOOTH E.",NP,69.50%,376,School Board Trustee Seat 2A (Nonpartisan)
"SMITH, CHRISTOPHER",NP,30.50%,165,School Board Trustee Seat 2A (Nonpartisan)
"STINNETT, CARSON ""BYRNIE""",NP,100.00%,440,"EUREKA COUNTY TV  District, Seat 4B (Nonpartisan)"
"MILANO, MARTIN ""SONNY""",NP,100.00%,457,"EUREKA COUNTY TV  District, Seat 4C (Nonpartisan)"
