candidate,party,percent,votes,office
"SCROGGINS, BRIAN",REP,36.46%,"2,459",Secretary Of State (Republican)
"TARKANIAN, DANNY",REP,49.44%,"3,335",Secretary Of State (Republican)
NONE OF THESE CANDIDATES,,14.10%,951,Secretary Of State (Republican)
"MARSHALL, KATE",DEM,66.03%,"1,683",State Treasurer (Democratic)
"VANDERPAL, GEOFFREY",DEM,17.14%,437,State Treasurer (Democratic)
NONE OF THESE CANDIDATES,,16.83%,429,State Treasurer (Democratic)
"AUGUSTINE, KATHY",REP,13.62%,904,State Treasurer (Republican)
"DESTEFANO, MARK",REP,44.88%,"2,979",State Treasurer (Republican)
"PITTS, JOSEPH",REP,21.56%,"1,431",State Treasurer (Republican)
NONE OF THESE CANDIDATES,,19.95%,"1,324",State Treasurer (Republican)
"DICKS, JOHN E.",REP,3.36%,231,"State Assembly, District 39 (Republican)"
"GARDNER, RICHARD ""RICK""",REP,20.41%,"1,404","State Assembly, District 39 (Republican)"
"SETTELMEYER, JAMES ARNOLD",REP,57.98%,"3,988","State Assembly, District 39 (Republican)"
"SMALLWOOD, BARBARA",REP,18.25%,"1,255","State Assembly, District 39 (Republican)"
"CALVERT, JOHN",NP,20.04%,"1,933","Supreme Court Justice, Seat F (Nonpartisan)"
"DOUGLAS, MICHAEL L.",NP,31.63%,"3,052","Supreme Court Justice, Seat F (Nonpartisan)"
"STEEL, CYNTHIA ""DIANNE""",NP,29.32%,"2,829","Supreme Court Justice, Seat F (Nonpartisan)"
NONE OF THESE CANDIDATES,,19.01%,"1,834","Supreme Court Justice, Seat F (Nonpartisan)"
"BECKER, NANCY",NP,31.78%,"3,090","Supreme Court Justice, Seat G (Nonpartisan)"
"CHRISTENSEN, THOMAS F.",NP,11.00%,"1,070","Supreme Court Justice, Seat G (Nonpartisan)"
"DEL VECCHIO, NICHOLAS ANTHONY",NP,12.58%,"1,223","Supreme Court Justice, Seat G (Nonpartisan)"
"SAITTA, NANCY M.",NP,27.58%,"2,682","Supreme Court Justice, Seat G (Nonpartisan)"
NONE OF THESE CANDIDATES,,17.06%,"1,659","Supreme Court Justice, Seat G (Nonpartisan)"
"FULSTONE, II, DAVID H.",NP,25.19%,"2,181","University Board of Regents, District 9 (Nonpartisan)"
"KNECHT, RON",NP,41.25%,"3,572","University Board of Regents, District 9 (Nonpartisan)"
"LANCASTER, TED S.",NP,11.39%,986,"University Board of Regents, District 9 (Nonpartisan)"
"MOORE, LIZ",NP,22.17%,"1,920","University Board of Regents, District 9 (Nonpartisan)"
"MCDERMID, NANCY",REP,60.14%,"3,834","University Board of Regents, District 9 (Nonpartisan)"
"MURPHY, JANET",REP,39.86%,"2,541","University Board of Regents, District 9 (Nonpartisan)"
"ENEARL, LYNN",REP,69.34%,"4,396",County Commissioner District 4 (Republican)
"LATHER, JAY",REP,30.66%,"1,944",County Commissioner District 4 (Republican)
"PIERINI, RON",NP,100.00%,"9,126",PUBLIC ADMINISTRATOR (Republican)
"CHESSELL, KAREN",NP,100.00%,"7,862",Sheriff - NP (Nonpartisan)
"HALES, SHARLA S.",NP,100.00%,"7,947",School Board Trustee Area 1 CW (Nonpartisan)
"WENNHOLD, CONNIE J.",NP,100.00%,"8,127",School Board Trustee Area 2 CW (Nonpartisan)
"ROMAN, KEITH",NP,100.00%,"8,173",School Board Trustee Area 6 CW (Nonpartisan)
"GLASSON, RICHARD",NP,100.00%,945,School Board Trustee Area 7 CW (Nonpartisan)
"COOK, TOM",NP,35.44%,623,"Justice of the Peace, Tahoe Twn-NP (Nonpartisan)"
"PHILIPS, MICHAEL",NP,32.94%,579,"Justice of the Peace, Tahoe Twn-NP (Nonpartisan)"
"SMITH, JERRY L.",NP,31.63%,556,"Justice of the Peace, Tahoe Twn-NP (Nonpartisan)"
"CHICHESTER, ROSS",NP,35.17%,690,Town of Gardnerville - (3 pos) (Nonpartisan)
"HADFIELD, ROBERT S.",NP,32.62%,640,Town of Gardnerville - (3 pos) (Nonpartisan)
"SHEETS, DAVID C.",NP,32.21%,632,Town of Gardnerville - (3 pos) (Nonpartisan)
