candidate,party,percent,votes,office
"HAMMARGREN, LONNIE",REP,11.86%,83,Lieutenant Governor (Republican)
"KAO, GEORGE",REP,8.14%,57,Lieutenant Governor (Republican)
"KROLICKI, BRIAN",REP,40.71%,285,Lieutenant Governor (Republican)
"MONCRIEF, JANET",REP,3.86%,27,Lieutenant Governor (Republican)
"WOOLLEN, BARBARA LEE",REP,24.71%,173,Lieutenant Governor (Republican)
NONE OF THESE CANDIDATES,,10.71%,75,Lieutenant Governor (Republican)
"BOYD, RODERICK",DEM,18.89%,75,Secretary Of State (Democratic)
"MILLER, ROSS",DEM,54.91%,218,Secretary Of State (Democratic)
NONE OF THESE CANDIDATES,,26.20%,104,Secretary Of State (Democratic)
"SCROGGINS, BRIAN",REP,36.20%,244,Secretary Of State (Republican)
"TARKANIAN, DANNY",REP,44.51%,300,Secretary Of State (Republican)
NONE OF THESE CANDIDATES,,19.29%,130,Secretary Of State (Republican)
"MARSHALL, KATE",DEM,60.97%,239,State Treasurer (Democratic)
"VANDERPAL, GEOFFREY",DEM,17.35%,68,State Treasurer (Democratic)
NONE OF THESE CANDIDATES,,21.68%,85,State Treasurer (Democratic)
"AUGUSTINE, KATHY",REP,18.12%,125,State Treasurer (Republican)
"DESTEFANO, MARK",REP,45.80%,316,State Treasurer (Republican)
"PITTS, JOSEPH",REP,13.33%,92,State Treasurer (Republican)
NONE OF THESE CANDIDATES,,22.75%,157,State Treasurer (Republican)
"CALVERT, JOHN",NP,22.70%,279,"Supreme Court Justice, Seat F (Nonpartisan)"
"DOUGLAS, MICHAEL L.",NP,22.54%,277,"Supreme Court Justice, Seat F (Nonpartisan)"
"STEEL, CYNTHIA ""DIANNE""",NP,29.05%,357,"Supreme Court Justice, Seat F (Nonpartisan)"
NONE OF THESE CANDIDATES,,25.71%,316,"Supreme Court Justice, Seat F (Nonpartisan)"
"BECKER, NANCY",NP,30.62%,376,"Supreme Court Justice, Seat G (Nonpartisan)"
"CHRISTENSEN, THOMAS F.",NP,10.75%,132,"Supreme Court Justice, Seat G (Nonpartisan)"
"DEL VECCHIO, NICHOLAS ANTHONY",NP,15.31%,188,"Supreme Court Justice, Seat G (Nonpartisan)"
"SAITTA, NANCY M.",NP,20.60%,253,"Supreme Court Justice, Seat G (Nonpartisan)"
NONE OF THESE CANDIDATES,,22.72%,279,"Supreme Court Justice, Seat G (Nonpartisan)"
"FULSTONE, II, DAVID H.",NP,18.79%,209,"University Board of Regents, District  9 (Nonpartisan)"
"KNECHT, RON",NP,33.90%,377,"University Board of Regents, District  9 (Nonpartisan)"
"LANCASTER, TED S.",NP,18.08%,201,"University Board of Regents, District  9 (Nonpartisan)"
"MOORE, LIZ",NP,29.23%,325,"University Board of Regents, District  9 (Nonpartisan)"
"FERRY, CLIFF",NP,100.00%,"1,005","State Board of Education, District 10 (Nonpartisan)"
"FLANAGAN, JOHN",REP,61.16%,422,"State Board of Education, District 10 (Nonpartisan)"
"PIERSON, ERIC",REP,28.70%,198,"State Board of Education, District 10 (Nonpartisan)"
"SJOVANGEN, BILL",REP,10.14%,70,"State Board of Education, District 10 (Nonpartisan)"
"BONGARD, MICHAEL",REP,30.27%,204,County Comm Dist. ONE (CW) (Republican)
"LANGER, ANNE",REP,69.73%,470,County Comm Dist. ONE (CW) (Republican)
"BLOYD, STEPHEN",NP,25.39%,322,DISTRICT ATTORNEY (Republican)
"DELCARLO, BOB",NP,16.17%,205,DISTRICT ATTORNEY (Republican)
"MILLER, JAMES G.",NP,58.44%,741,DISTRICT ATTORNEY (Republican)
