candidate,party,percent,votes,office
"DESTEFANO, MARK",REP,47.84%,"14,338",State Treasurer (Republican)
"PITTS, JOSEPH",REP,16.77%,"5,027",State Treasurer (Republican)
NONE OF THESE CANDIDATES,,19.94%,"5,978",State Treasurer (Republican)
"BOBZIEN, DAVID",DEM,67.88%,"1,712","State Assembly, District 24 (Democratic)"
"LOVE, DAVID C.",DEM,32.12%,810,"State Assembly, District 24 (Democratic)"
"COBB, TY",REP,48.03%,"3,383","State Assembly, District 26 (Republican)"
"DILLON, MIKE",REP,42.53%,"2,996","State Assembly, District 26 (Republican)"
"DISNEY, RICHARD",REP,2.64%,186,"State Assembly, District 26 (Republican)"
"MOZEN, PAUL",REP,5.18%,365,"State Assembly, District 26 (Republican)"
"SHERRIFF, ""MIKEY""",REP,1.62%,114,"State Assembly, District 26 (Republican)"
"MARVEL, JOHN",REP,47.43%,"2,767","State Assembly, District 32 (Republican)"
"WEBER, MIKE",REP,52.57%,"3,067","State Assembly, District 32 (Republican)"
"DICKS, JOHN E.",REP,3.93%,31,"State Assembly, District 39 (Republican)"
"GARDNER, RICHARD ""RICK""",REP,42.21%,333,"State Assembly, District 39 (Republican)"
"SETTELMEYER, JAMES ARNOLD",REP,32.70%,258,"State Assembly, District 39 (Republican)"
"SMALLWOOD, BARBARA",REP,21.17%,167,"State Assembly, District 39 (Republican)"
"WAGNER, JOHN",REP,43.13%,135,"State Assembly, District 40 (Republican)"
"WARD, SHEILA M.",REP,56.87%,178,"State Assembly, District 40 (Republican)"
"CALVERT, JOHN",NP,23.04%,"12,506","Supreme Court Justice, Seat F (Nonpartisan)"
"DOUGLAS, MICHAEL L.",NP,30.07%,"16,326","Supreme Court Justice, Seat F (Nonpartisan)"
"STEEL, CYNTHIA ""DIANNE""",NP,29.49%,"16,008","Supreme Court Justice, Seat F (Nonpartisan)"
NONE OF THESE CANDIDATES,,17.41%,"9,451","Supreme Court Justice, Seat F (Nonpartisan)"
"BECKER, NANCY",NP,40.21%,"22,021","Supreme Court Justice, Seat G (Nonpartisan)"
"CHRISTENSEN, THOMAS F.",NP,10.63%,"5,824","Supreme Court Justice, Seat G (Nonpartisan)"
"DEL VECCHIO, NICHOLAS ANTHONY",NP,11.89%,"6,513","Supreme Court Justice, Seat G (Nonpartisan)"
"SAITTA, NANCY M.",NP,22.89%,"12,535","Supreme Court Justice, Seat G (Nonpartisan)"
NONE OF THESE CANDIDATES,,14.37%,"7,870","Supreme Court Justice, Seat G (Nonpartisan)"
"HARDY, DAVID",NP,100.00%,"46,662","District Court Judge, District 2, Department 2 (Nonpartisan)"
"PERRY, ROBERT",NP,100.00%,"46,316","District Court Judge, District 2, Department 9 (Nonpartisan)"
"FULSTONE, II, DAVID H.",NP,22.95%,"1,306","University Board of Regents, District 9 (Nonpartisan)"
"KNECHT, RON",NP,33.02%,"1,879","University Board of Regents, District 9 (Nonpartisan)"
"LANCASTER, TED S.",NP,16.96%,965,"University Board of Regents, District 9 (Nonpartisan)"
"MOORE, LIZ",NP,27.07%,"1,540","University Board of Regents, District 9 (Nonpartisan)"
"FERRY, CLIFF",NP,100.00%,"4,301","State Board of Education, District 10 (Nonpartisan)"
"BAYER, ROBERT",REP,27.47%,"7,618","State Board of Education, District 10 (Nonpartisan)"
"CAVALLO, DON",REP,72.53%,"20,112","State Board of Education, District 10 (Nonpartisan)"
"HUMKE, DAVID",REP,60.69%,"4,682",PUBLIC ADMINISTRATOR (Republican)
"MASER, ELISA",REP,35.20%,"2,715",PUBLIC ADMINISTRATOR (Republican)
"METHOD, TRACY",REP,4.11%,317,PUBLIC ADMINISTRATOR (Republican)
"FINK, ROBERT W.",REP,15.73%,748,County Commissioner District 2 (Republican)
"LISCOM, JOAN",REP,8.75%,416,County Commissioner District 2 (Republican)
"SCHMIDT, GARY",REP,22.19%,"1,055",County Commissioner District 2 (Republican)
"WEBER, BONNIE",REP,53.33%,"2,536",County Commissioner District 2 (Republican)
"BEDERA, BRYAN F.",NP,11.66%,"1,315",County Commissioner District 5 (Republican)
"CASTRO, ELOY",NP,6.95%,784,County Commissioner District 5 (Republican)
"CLARK, BARBARA",NP,49.65%,"5,601",County Commissioner District 5 (Republican)
"MITCHELL, GALEN ""MITCH""",NP,31.74%,"3,581",County Commissioner District 5 (Republican)
"BRUNSON, JIM",NP,21.59%,"4,776",School Board Trustee Dst C (Nonpartisan)
"PORTER, LEZLIE",NP,52.32%,"11,574",School Board Trustee Dst C (Nonpartisan)
"WILSON, LARRY",NP,26.09%,"5,771",School Board Trustee Dst C (Nonpartisan)
"BOHN, JOHN A.",NP,30.90%,"1,182",School Board Trustee Dst F-AL (Nonpartisan)
"BROCKMAN, GENE",NP,33.20%,"1,270",School Board Trustee Dst F-AL (Nonpartisan)
"GUROWITZ, ED",NP,16.44%,629,School Board Trustee Dst F-AL (Nonpartisan)
"HUDSON, TRIPP",NP,11.08%,424,School Board Trustee Dst F-AL (Nonpartisan)
"SIMON, DAVID",NP,8.37%,320,School Board Trustee Dst F-AL (Nonpartisan)
"CASHELL, BOB",NP,77.27%,"19,970",INCLINE VILLAGE Gen Imp Dst -vote for 2 (Nonpartisan)
"DEHNE, ""CHADILLAC""",NP,6.01%,"1,554",INCLINE VILLAGE Gen Imp Dst -vote for 2 (Nonpartisan)
"HOLLAND, ERIK",NP,16.72%,"4,320",INCLINE VILLAGE Gen Imp Dst -vote for 2 (Nonpartisan)
"DORTCH, DWIGHT",NP,49.68%,"1,692",Mayor RENO (Nonpartisan)
"HAWKINS, ED",NP,15.44%,526,Mayor RENO (Nonpartisan)
"KELLEY, SCOTT",NP,34.88%,"1,188",Mayor RENO (Nonpartisan)
"SALERNO, PHILLIP G.",NP,100.00%,"1,056","PRI City of RENO Councilman, Ward 4 (Nonpartisan)"
"LOKKEN, FRED",NP,17.81%,440,"PRI City of SPARKS Councilman, Ward 2 (Nonpartisan)"
"MOSS, JUDY",NP,37.52%,927,"PRI City of SPARKS Councilman, Ward 2 (Nonpartisan)"
"SCHLAUCH, GREG",NP,2.27%,56,"PRI City of SPARKS Councilman, Ward 2 (Nonpartisan)"
"SMITH, RON",NP,27.20%,672,"PRI City of SPARKS Councilman, Ward 2 (Nonpartisan)"
"WILLIAMS, GREG ""LIGHTNING""",NP,13.56%,335,"PRI City of SPARKS Councilman, Ward 2 (Nonpartisan)"
"YOUNG, D. SUMNER ""DON""",NP,1.66%,41,"PRI City of SPARKS Councilman, Ward 2 (Nonpartisan)"
"CARRIGAN, MIKE",NP,54.46%,"2,087","PRI City of SPARKS Councilman, Ward 3 (Nonpartisan)"
"CONNORS, RANDY T.",NP,10.31%,395,"PRI City of SPARKS Councilman, Ward 3 (Nonpartisan)"
"DEPROSSE, JIM",NP,22.08%,846,"PRI City of SPARKS Councilman, Ward 3 (Nonpartisan)"
"VALLINE, JAMES",NP,9.37%,359,"PRI City of SPARKS Councilman, Ward 3 (Nonpartisan)"
"WILLIAMS, JARROD",NP,3.78%,145,"PRI City of SPARKS Councilman, Ward 3 (Nonpartisan)"
"KADLIC, JOHN J.",NP,42.88%,"10,093","PRI City of SPARKS Councilman, Ward 4 (Nonpartisan)"
"KANDT, BRETT",NP,33.82%,"7,960","PRI City of SPARKS Councilman, Ward 4 (Nonpartisan)"
"STOVER, KENNETH A.",NP,23.30%,"5,485","PRI City of SPARKS Councilman, Ward 4 (Nonpartisan)"
"NICHOLSON, DOUG",NP,24.77%,"2,661",RENO City Attorney (Nonpartisan)
"SALVUCCI, DINA",NP,23.05%,"2,477",RENO City Attorney (Nonpartisan)
"SPOO, JIM",NP,52.18%,"5,607",RENO City Attorney (Nonpartisan)
"GRAHAM, TERRY L.",NP,100.00%,214,SPARKS Mun Court Judge Dept. 2 -6yr (Nonpartisan)
"HOLDERER, GAYLE",NP,19.80%,433,"Justice of the Peace, GERLACH-WADSWORTH (Nonpartisan)"
"POLLARD, E. A. ""BO""",NP,27.02%,591,"Justice of the Peace, GERLACH-WADSWORTH (Nonpartisan)"
"SCHNETZ, KARL",NP,5.85%,128,"Justice of the Peace, GERLACH-WADSWORTH (Nonpartisan)"
"TIRAS, E. ALAN",NP,47.33%,"1,035","Justice of the Peace, GERLACH-WADSWORTH (Nonpartisan)"
"LYNCH, PATRICIA A.",NP,69.86%,"24,014","Justice of the Peace, INCLINE VILLAGE (Nonpartisan)"
"OLDENBURG, VICKY THIMMESCH",NP,17.68%,"6,076","Justice of the Peace, INCLINE VILLAGE (Nonpartisan)"
"PHAIRH, PATRICIA A. ""PAT""",NP,12.46%,"4,283","Justice of the Peace, INCLINE VILLAGE (Nonpartisan)"
