candidate,party,percent,votes,office
"KAO, GEORGE",REP,5.27%,35,Lieutenant Governor (Republican)
"KROLICKI, BRIAN",REP,29.97%,199,Lieutenant Governor (Republican)
"MONCRIEF, JANET",REP,3.31%,22,Lieutenant Governor (Republican)
"WOOLLEN, BARBARA LEE",REP,26.05%,173,Lieutenant Governor (Republican)
NONE OF THESE CANDIDATES,,17.62%,117,Lieutenant Governor (Republican)
"BOYD, RODERICK",DEM,20.64%,162,Secretary Of State (Democratic)
"MILLER, ROSS",DEM,45.10%,354,Secretary Of State (Democratic)
NONE OF THESE CANDIDATES,,34.27%,269,Secretary Of State (Democratic)
"SCROGGINS, BRIAN",REP,37.52%,248,Secretary Of State (Republican)
"TARKANIAN, DANNY",REP,44.93%,297,Secretary Of State (Republican)
NONE OF THESE CANDIDATES,,17.55%,116,Secretary Of State (Republican)
"MARSHALL, KATE",DEM,58.82%,467,State Treasurer (Democratic)
"VANDERPAL, GEOFFREY",DEM,15.74%,125,State Treasurer (Democratic)
NONE OF THESE CANDIDATES,,25.44%,202,State Treasurer (Democratic)
"AUGUSTINE, KATHY",REP,22.76%,150,State Treasurer (Republican)
"DESTEFANO, MARK",REP,39.91%,263,State Treasurer (Republican)
"PITTS, JOSEPH",REP,12.59%,83,State Treasurer (Republican)
NONE OF THESE CANDIDATES,,24.73%,163,State Treasurer (Republican)
"COCHRAN, ANGIE G.",DEM,34.13%,258,"State Assembly, District 36 (Democratic)"
"KULKIN, HARLEY Z.",DEM,16.27%,123,"State Assembly, District 36 (Democratic)"
"MURRAY, LAURAYNE",DEM,49.60%,375,"State Assembly, District 36 (Democratic)"
"BROWN, JOHN M.",REP,21.42%,136,"State Assembly, District 36 (Republican)"
"GOEDHART, ED",REP,58.43%,371,"State Assembly, District 36 (Republican)"
"HIGBEE, JR., ED",REP,20.16%,128,"State Assembly, District 36 (Republican)"
"CALVERT, JOHN",NP,15.06%,249,"Supreme Court Justice, Seat F (Nonpartisan)"
"DOUGLAS, MICHAEL L.",NP,19.06%,315,"Supreme Court Justice, Seat F (Nonpartisan)"
"STEEL, CYNTHIA ""DIANNE""",NP,41.08%,679,"Supreme Court Justice, Seat F (Nonpartisan)"
NONE OF THESE CANDIDATES,,24.80%,410,"Supreme Court Justice, Seat F (Nonpartisan)"
"BECKER, NANCY",NP,31.14%,516,"Supreme Court Justice, Seat G (Nonpartisan)"
"CHRISTENSEN, THOMAS F.",NP,14.91%,247,"Supreme Court Justice, Seat G (Nonpartisan)"
"DEL VECCHIO, NICHOLAS ANTHONY",NP,13.70%,227,"Supreme Court Justice, Seat G (Nonpartisan)"
"SAITTA, NANCY M.",NP,16.60%,275,"Supreme Court Justice, Seat G (Nonpartisan)"
NONE OF THESE CANDIDATES,,23.66%,392,"Supreme Court Justice, Seat G (Nonpartisan)"
"FERRY, CLIFF",NP,100.00%,"1,420","State Board of Education, District 10 (Nonpartisan)"
"SCHAAF, GARY",NP,45.24%,756,"State Board of Education, District 10 (Nonpartisan)"
"STROMMATT, RICHARD H.",NP,38.96%,651,"State Board of Education, District 10 (Nonpartisan)"
"TETERS, SR., TOM",NP,15.80%,264,"State Board of Education, District 10 (Nonpartisan)"
"BARTON, WADE",NP,19.08%,324,HAWTHORNE Township Constable (Nonpartisan)
"FUNK, GARY A.",NP,16.25%,276,HAWTHORNE Township Constable (Nonpartisan)
"GUNTER, JAY T.",NP,26.38%,448,HAWTHORNE Township Constable (Nonpartisan)
"GUSTAFSON, CATHY",NP,15.78%,268,HAWTHORNE Township Constable (Nonpartisan)
"SKVARNA, LEE",NP,22.50%,382,HAWTHORNE Township Constable (Nonpartisan)
"CORNELL, DAVID",NP,9.00%,155,"HAWTHORNE, Justice of the Peace (Nonpartisan)"
"HOFERER, JR., ROBERT L.",NP,13.81%,238,"HAWTHORNE, Justice of the Peace (Nonpartisan)"
"MADRASO, JR., JOHN",NP,19.91%,343,"HAWTHORNE, Justice of the Peace (Nonpartisan)"
"SHIELDS, MARK J.",NP,3.71%,64,"HAWTHORNE, Justice of the Peace (Nonpartisan)"
"SMITH, ED ""SMITTY""",NP,42.60%,734,"HAWTHORNE, Justice of the Peace (Nonpartisan)"
"TRDLA, FRED",NP,10.97%,189,"HAWTHORNE, Justice of the Peace (Nonpartisan)"
"CLARK, JANEEN D.",NP,24.04%,405,Sheriff - MINERAL - NP (Nonpartisan)
"DEMENT, JUNE",NP,39.11%,659,Sheriff - MINERAL - NP (Nonpartisan)
"ISOM, COURTNEY",NP,36.85%,621,Sheriff - MINERAL - NP (Nonpartisan)
