candidate,party,percent,votes,office
"PEDERSON, WAYNE A.",NP,44.26%,"3,514","District Court Judge, District 3, Department  2 (Nonpartisan)"
"SCHLEGELMILCH, JOHN PAUL",NP,15.69%,"1,246","District Court Judge, District 3, Department  2 (Nonpartisan)"
"FULSTONE, II, DAVID H.",NP,41.06%,"3,128","University Board of Regents, District  9 (Nonpartisan)"
"KNECHT, RON",NP,27.68%,"2,109","University Board of Regents, District  9 (Nonpartisan)"
"LANCASTER, TED S.",NP,11.83%,901,"University Board of Regents, District  9 (Nonpartisan)"
"MOORE, LIZ",NP,19.43%,"1,480","University Board of Regents, District  9 (Nonpartisan)"
"FERRY, CLIFF",NP,100.00%,"6,642","State Board of Education, District 10 (Nonpartisan)"
"GEURTS, PAT",DEM,31.13%,762,"State Board of Education, District 10 (Nonpartisan)"
"LAWSON, CHARLES E.",DEM,68.87%,"1,686","State Board of Education, District 10 (Nonpartisan)"
"HILLYARD, CHESTER",REP,39.81%,"1,785",County Commissioner District II (Democratic)
"MCPHERSON, LARRY",REP,60.19%,"2,699",County Commissioner District II (Democratic)
"NICKERSON, LYNDA J.",NP,37.67%,"2,674",County Commissioner District II (Republican)
"SHIRLEY, CHARLES W.",NP,42.84%,"3,041",County Commissioner District II (Republican)
"YEATER, CLIFF",NP,19.48%,"1,383",County Commissioner District II (Republican)
"PETERSON, JERRY R.",NP,100.00%,"6,770",SCH BD Dst Trustee IV   -AL (Nonpartisan)
"WELLS, SUSAN",NP,100.00%,"1,101",SCH BD Dst Trustee VI   -AL (Nonpartisan)
"DUKE, CHARLIE",NP,26.04%,"2,158","SILVER SPRINGS/STAGECOACH Hospital Dst, Trustees S (Nonpartisan)"
"JOHN, RON",NP,14.47%,"1,199","SILVER SPRINGS/STAGECOACH Hospital Dst, Trustees S (Nonpartisan)"
"KAHN, BOB",NP,24.65%,"2,043","SILVER SPRINGS/STAGECOACH Hospital Dst, Trustees S (Nonpartisan)"
"VEIL, ALLEN",NP,34.84%,"2,887","SILVER SPRINGS/STAGECOACH Hospital Dst, Trustees S (Nonpartisan)"
"BENNETT, ROBERT J.",NP,100.00%,"2,601",Sheriff - LYON - NP (Nonpartisan)
"ROGERS, WILLIAM G.",NP,100.00%,"2,333","CANAL, Justice of the Peace (Nonpartisan)"
