candidate,party,percent,votes,office
"GOEDHART, ED",REP,45.35%,273,"State Assembly, District 36 (Republican)"
"HIGBEE, JR., ED",REP,34.88%,210,"State Assembly, District 36 (Republican)"
"CALVERT, JOHN",NP,17.15%,839,"Supreme Court Justice, Seat F (Nonpartisan)"
"DOUGLAS, MICHAEL L.",NP,27.19%,"1,330","Supreme Court Justice, Seat F (Nonpartisan)"
"STEEL, CYNTHIA ""DIANNE""",NP,35.00%,"1,712","Supreme Court Justice, Seat F (Nonpartisan)"
NONE OF THESE CANDIDATES,,20.65%,"1,010","Supreme Court Justice, Seat F (Nonpartisan)"
"BECKER, NANCY",NP,29.39%,"1,446","Supreme Court Justice, Seat G (Nonpartisan)"
"CHRISTENSEN, THOMAS F.",NP,16.28%,801,"Supreme Court Justice, Seat G (Nonpartisan)"
"DEL VECCHIO, NICHOLAS ANTHONY",NP,12.99%,639,"Supreme Court Justice, Seat G (Nonpartisan)"
"SAITTA, NANCY M.",NP,21.36%,"1,051","Supreme Court Justice, Seat G (Nonpartisan)"
NONE OF THESE CANDIDATES,,19.98%,983,"Supreme Court Justice, Seat G (Nonpartisan)"
"ABERASTURI, LEON",NP,30.62%,"1,477","District Court Judge, District 3, Department  2 (Nonpartisan)"
"PEDERSON, WAYNE A.",NP,56.63%,"2,732","District Court Judge, District 3, Department  2 (Nonpartisan)"
"SCHLEGELMILCH, JOHN PAUL",NP,12.75%,615,"District Court Judge, District 3, Department  2 (Nonpartisan)"
"FERRY, CLIFF",NP,100.00%,"4,158","State Board of Education, District 10 (Nonpartisan)"
"MCKNIGHT, TAMI",DEM,18.26%,247,"State Board of Education, District 10 (Nonpartisan)"
"SIMS, JOAN",DEM,31.41%,425,"State Board of Education, District 10 (Nonpartisan)"
"TRIPP, VICKY L.",DEM,50.33%,681,"State Board of Education, District 10 (Nonpartisan)"
"CROWLEY, MARTIN G.",NP,28.85%,"1,447",COUNTY RECORDER (Democratic)
"RICHARDS, MIKE",NP,27.41%,"1,375",COUNTY RECORDER (Democratic)
"SORENSEN, TYSON",NP,15.89%,797,COUNTY RECORDER (Democratic)
"VOGEL, WILLIAM E.",NP,2.05%,103,COUNTY RECORDER (Democratic)
"WARD, DANIEL P.",NP,25.80%,"1,294",COUNTY RECORDER (Democratic)
"ADAMS, LISA E.",NP,7.11%,"1,301",CHURCHILL Justice of the Peace (Nonpartisan)
"BUCKMASTER, LOU",NP,14.85%,"2,718",CHURCHILL Justice of the Peace (Nonpartisan)
"EVANS, RON",NP,16.44%,"3,009",CHURCHILL Justice of the Peace (Nonpartisan)
"GENT, RICH",NP,8.19%,"1,499",CHURCHILL Justice of the Peace (Nonpartisan)
"GIBSON, GUY",NP,4.89%,896,CHURCHILL Justice of the Peace (Nonpartisan)
"JOHNSON, DOUGLAS I.",NP,4.57%,836,CHURCHILL Justice of the Peace (Nonpartisan)
"LAMMEL, JODY",NP,7.60%,"1,391",CHURCHILL Justice of the Peace (Nonpartisan)
"RIGGINS, TOM",NP,10.28%,"1,882",CHURCHILL Justice of the Peace (Nonpartisan)
"SMITH, DEBBIE GETTO",NP,9.93%,"1,817",CHURCHILL Justice of the Peace (Nonpartisan)
"VANGORDER, MYLES",NP,6.13%,"1,122",CHURCHILL Justice of the Peace (Nonpartisan)
"VINSON, MARCIA",NP,10.03%,"1,836",CHURCHILL Justice of the Peace (Nonpartisan)
