candidate,party,percent,votes,office
"WEBER, MIKE",REP,19.84%,50,"State Assembly, District 32 (Republican)"
"CALVERT, JOHN",NP,17.68%,203,"Supreme Court Justice, Seat F (Nonpartisan)"
"DOUGLAS, MICHAEL L.",NP,24.56%,282,"Supreme Court Justice, Seat F (Nonpartisan)"
"STEEL, CYNTHIA ""DIANNE""",NP,35.19%,404,"Supreme Court Justice, Seat F (Nonpartisan)"
NONE OF THESE CANDIDATES,,22.56%,259,"Supreme Court Justice, Seat F (Nonpartisan)"
"BECKER, NANCY",NP,31.37%,356,"Supreme Court Justice, Seat G (Nonpartisan)"
"CHRISTENSEN, THOMAS F.",NP,14.80%,168,"Supreme Court Justice, Seat G (Nonpartisan)"
"DEL VECCHIO, NICHOLAS ANTHONY",NP,16.12%,183,"Supreme Court Justice, Seat G (Nonpartisan)"
"SAITTA, NANCY M.",NP,12.60%,143,"Supreme Court Justice, Seat G (Nonpartisan)"
NONE OF THESE CANDIDATES,,25.11%,285,"Supreme Court Justice, Seat G (Nonpartisan)"
"FERRY, CLIFF",NP,100.00%,940,"State Board of Education, District 10 (Nonpartisan)"
"KELLEY, BRADLEY J.",REP,13.07%,92,"State Board of Education, District 10 (Nonpartisan)"
"SPARKS, BRYAN",REP,57.95%,408,"State Board of Education, District 10 (Nonpartisan)"
"SWARTZ-ANCHO, KATHLEEN",REP,15.20%,107,"State Board of Education, District 10 (Nonpartisan)"
"WELSCH, NICK",REP,13.78%,97,"State Board of Education, District 10 (Nonpartisan)"
"CHAPIN, CHUCK",REP,51.42%,363,County Comm Dist. NO. 2 (CW) (Republican)
"REICHERT, TOM",REP,34.28%,242,County Comm Dist. NO. 2 (CW) (Republican)
"SALISBURY, RAY",REP,14.31%,101,County Comm Dist. NO. 2 (CW) (Republican)
"BUNCH, MAX W.",NP,100.00%,847,County Comm Dist. NO. 3 (CW) (Republican)
"BAKKER, MELISSA",NP,100.00%,"1,008",ARGENTA Justice of the Peace (Nonpartisan)
"CLARK, III, ART",NP,44.71%,503,"LANDER COUNTY School Trustee, Area TWO (Nonpartisan)"
"CORBRIDGE-ROCHESTER, ANNETTE",NP,28.71%,323,"LANDER COUNTY School Trustee, Area TWO (Nonpartisan)"
"LAKE, MARK",NP,26.58%,299,"LANDER COUNTY School Trustee, Area TWO (Nonpartisan)"
"WAITS, PATSY ANN",NP,100.00%,975,"LANDER COUNTY School Trustee, Area THREE (Nonpartisan)"
"BRICKLEY, PAT",NP,100.00%,"1,020","LANDER COUNTY Hospital Dist Trustee, Seat B (Nonpartisan)"
"NAVERAN, WENDY M.",NP,100.00%,"1,028","LANDER COUNTY Hospital Dist Trustee, Seat D (Nonpartisan)"
"SEARS-LA VALLEE, SANDRA",NP,100.00%,33,"LANDER COUNTY Hospital Dist Trustee, Seat E (Nonpartisan)"
"ROCK, GUY W.",NP,100.00%,30,KINGSTON TOWN Board - Seat B - town (Nonpartisan)
