precinct,office,candidate,votes,jurisdiction
Fernley 12,United States Senator (Democratic),"Berkley, Shelley",22,Lyon
Fernley 12,United States Senator (Democratic),"Brown, Steve",2,Lyon
Fernley 12,United States Senator (Democratic),"Ellsworth, Barry",3,Lyon
Fernley 12,United States Senator (Democratic),"Macias, Louis",0,Lyon
Fernley 12,United States Senator (Democratic),None Of These Candidates,3,Lyon
Fernley 12,United States Senator (Democratic),"Price, Nancy",4,Lyon
Fernley 13,United States Senator (Democratic),"Berkley, Shelley",40,Lyon
Fernley 13,United States Senator (Democratic),"Brown, Steve",3,Lyon
Fernley 13,United States Senator (Democratic),"Ellsworth, Barry",7,Lyon
Fernley 13,United States Senator (Democratic),"Macias, Louis",0,Lyon
Fernley 13,United States Senator (Democratic),None Of These Candidates,5,Lyon
Fernley 13,United States Senator (Democratic),"Price, Nancy",0,Lyon
Fernley 14,United States Senator (Democratic),"Berkley, Shelley",25,Lyon
Fernley 14,United States Senator (Democratic),"Brown, Steve",4,Lyon
Fernley 14,United States Senator (Democratic),"Ellsworth, Barry",2,Lyon
Fernley 14,United States Senator (Democratic),"Macias, Louis",0,Lyon
Fernley 14,United States Senator (Democratic),None Of These Candidates,1,Lyon
Fernley 14,United States Senator (Democratic),"Price, Nancy",7,Lyon
Fernley 2,United States Senator (Democratic),"Berkley, Shelley",24,Lyon
Fernley 2,United States Senator (Democratic),"Brown, Steve",1,Lyon
Fernley 2,United States Senator (Democratic),"Ellsworth, Barry",0,Lyon
Fernley 2,United States Senator (Democratic),"Macias, Louis",0,Lyon
Fernley 2,United States Senator (Democratic),None Of These Candidates,2,Lyon
Fernley 2,United States Senator (Democratic),"Price, Nancy",3,Lyon
Fernley 3,United States Senator (Democratic),"Berkley, Shelley",15,Lyon
Fernley 3,United States Senator (Democratic),"Brown, Steve",1,Lyon
Fernley 3,United States Senator (Democratic),"Ellsworth, Barry",0,Lyon
Fernley 3,United States Senator (Democratic),"Macias, Louis",0,Lyon
Fernley 3,United States Senator (Democratic),None Of These Candidates,1,Lyon
Fernley 3,United States Senator (Democratic),"Price, Nancy",1,Lyon
Fernley 4,United States Senator (Democratic),"Berkley, Shelley",26,Lyon
Fernley 4,United States Senator (Democratic),"Brown, Steve",3,Lyon
Fernley 4,United States Senator (Democratic),"Ellsworth, Barry",2,Lyon
Fernley 4,United States Senator (Democratic),"Macias, Louis",0,Lyon
Fernley 4,United States Senator (Democratic),None Of These Candidates,4,Lyon
Fernley 4,United States Senator (Democratic),"Price, Nancy",3,Lyon
Fernley 5,United States Senator (Democratic),"Berkley, Shelley",24,Lyon
Fernley 5,United States Senator (Democratic),"Brown, Steve",2,Lyon
Fernley 5,United States Senator (Democratic),"Ellsworth, Barry",1,Lyon
Fernley 5,United States Senator (Democratic),"Macias, Louis",0,Lyon
Fernley 5,United States Senator (Democratic),None Of These Candidates,2,Lyon
Fernley 5,United States Senator (Democratic),"Price, Nancy",1,Lyon
Fernley 6,United States Senator (Democratic),"Berkley, Shelley",40,Lyon
Fernley 6,United States Senator (Democratic),"Brown, Steve",2,Lyon
Fernley 6,United States Senator (Democratic),"Ellsworth, Barry",5,Lyon
Fernley 6,United States Senator (Democratic),"Macias, Louis",1,Lyon
Fernley 6,United States Senator (Democratic),None Of These Candidates,6,Lyon
Fernley 6,United States Senator (Democratic),"Price, Nancy",1,Lyon
Fernley 7,United States Senator (Democratic),"Berkley, Shelley",41,Lyon
Fernley 7,United States Senator (Democratic),"Brown, Steve",4,Lyon
Fernley 7,United States Senator (Democratic),"Ellsworth, Barry",3,Lyon
Fernley 7,United States Senator (Democratic),"Macias, Louis",0,Lyon
Fernley 7,United States Senator (Democratic),None Of These Candidates,6,Lyon
Fernley 7,United States Senator (Democratic),"Price, Nancy",6,Lyon
Fernley 8,United States Senator (Democratic),"Berkley, Shelley",15,Lyon
Fernley 8,United States Senator (Democratic),"Brown, Steve",5,Lyon
Fernley 8,United States Senator (Democratic),"Ellsworth, Barry",0,Lyon
Fernley 8,United States Senator (Democratic),"Macias, Louis",1,Lyon
Fernley 8,United States Senator (Democratic),None Of These Candidates,7,Lyon
Fernley 8,United States Senator (Democratic),"Price, Nancy",1,Lyon
Fernley 9,United States Senator (Democratic),"Berkley, Shelley",9,Lyon
Fernley 9,United States Senator (Democratic),"Brown, Steve",0,Lyon
Fernley 9,United States Senator (Democratic),"Ellsworth, Barry",0,Lyon
Fernley 9,United States Senator (Democratic),"Macias, Louis",0,Lyon
Fernley 9,United States Senator (Democratic),None Of These Candidates,1,Lyon
Fernley 9,United States Senator (Democratic),"Price, Nancy",2,Lyon
Mound House 1,United States Senator (Democratic),"Berkley, Shelley",6,Lyon
Mound House 1,United States Senator (Democratic),"Brown, Steve",1,Lyon
Mound House 1,United States Senator (Democratic),"Ellsworth, Barry",1,Lyon
Mound House 1,United States Senator (Democratic),"Macias, Louis",0,Lyon
Mound House 1,United States Senator (Democratic),None Of These Candidates,4,Lyon
Mound House 1,United States Senator (Democratic),"Price, Nancy",1,Lyon
Mound House 2,United States Senator (Democratic),"Berkley, Shelley",18,Lyon
Mound House 2,United States Senator (Democratic),"Brown, Steve",1,Lyon
Mound House 2,United States Senator (Democratic),"Ellsworth, Barry",3,Lyon
Mound House 2,United States Senator (Democratic),"Macias, Louis",0,Lyon
Mound House 2,United States Senator (Democratic),None Of These Candidates,2,Lyon
Mound House 2,United States Senator (Democratic),"Price, Nancy",0,Lyon
North Dayton 1,United States Senator (Democratic),"Berkley, Shelley",23,Lyon
North Dayton 1,United States Senator (Democratic),"Brown, Steve",2,Lyon
North Dayton 1,United States Senator (Democratic),"Ellsworth, Barry",2,Lyon
North Dayton 1,United States Senator (Democratic),"Macias, Louis",3,Lyon
North Dayton 1,United States Senator (Democratic),None Of These Candidates,5,Lyon
North Dayton 1,United States Senator (Democratic),"Price, Nancy",6,Lyon
North Dayton 2,United States Senator (Democratic),"Berkley, Shelley",25,Lyon
North Dayton 2,United States Senator (Democratic),"Brown, Steve",1,Lyon
North Dayton 2,United States Senator (Democratic),"Ellsworth, Barry",2,Lyon
North Dayton 2,United States Senator (Democratic),"Macias, Louis",0,Lyon
North Dayton 2,United States Senator (Democratic),None Of These Candidates,4,Lyon
North Dayton 2,United States Senator (Democratic),"Price, Nancy",3,Lyon
North Dayton 3,United States Senator (Democratic),"Berkley, Shelley",25,Lyon
North Dayton 3,United States Senator (Democratic),"Brown, Steve",3,Lyon
North Dayton 3,United States Senator (Democratic),"Ellsworth, Barry",4,Lyon
North Dayton 3,United States Senator (Democratic),"Macias, Louis",2,Lyon
North Dayton 3,United States Senator (Democratic),None Of These Candidates,3,Lyon
North Dayton 3,United States Senator (Democratic),"Price, Nancy",2,Lyon
North Dayton 4,United States Senator (Democratic),"Berkley, Shelley",36,Lyon
North Dayton 4,United States Senator (Democratic),"Brown, Steve",2,Lyon
North Dayton 4,United States Senator (Democratic),"Ellsworth, Barry",3,Lyon
North Dayton 4,United States Senator (Democratic),"Macias, Louis",3,Lyon
North Dayton 4,United States Senator (Democratic),None Of These Candidates,1,Lyon
North Dayton 4,United States Senator (Democratic),"Price, Nancy",3,Lyon
North Dayton 5,United States Senator (Democratic),"Berkley, Shelley",29,Lyon
North Dayton 5,United States Senator (Democratic),"Brown, Steve",0,Lyon
North Dayton 5,United States Senator (Democratic),"Ellsworth, Barry",3,Lyon
North Dayton 5,United States Senator (Democratic),"Macias, Louis",0,Lyon
North Dayton 5,United States Senator (Democratic),None Of These Candidates,1,Lyon
North Dayton 5,United States Senator (Democratic),"Price, Nancy",1,Lyon
Precinct 99,United States Senator (Democratic),"Berkley, Shelley",0,Lyon
Precinct 99,United States Senator (Democratic),"Brown, Steve",0,Lyon
Precinct 99,United States Senator (Democratic),"Ellsworth, Barry",0,Lyon
Precinct 99,United States Senator (Democratic),"Macias, Louis",0,Lyon
Precinct 99,United States Senator (Democratic),None Of These Candidates,0,Lyon
Precinct 99,United States Senator (Democratic),"Price, Nancy",0,Lyon
Silver City,United States Senator (Democratic),"Berkley, Shelley",30,Lyon
Silver City,United States Senator (Democratic),"Brown, Steve",2,Lyon
Silver City,United States Senator (Democratic),"Ellsworth, Barry",0,Lyon
Silver City,United States Senator (Democratic),"Macias, Louis",0,Lyon
Silver City,United States Senator (Democratic),None Of These Candidates,2,Lyon
Silver City,United States Senator (Democratic),"Price, Nancy",2,Lyon
Silver Springs 1,United States Senator (Democratic),"Berkley, Shelley",34,Lyon
Silver Springs 1,United States Senator (Democratic),"Brown, Steve",1,Lyon
Silver Springs 1,United States Senator (Democratic),"Ellsworth, Barry",5,Lyon
Silver Springs 1,United States Senator (Democratic),"Macias, Louis",1,Lyon
Silver Springs 1,United States Senator (Democratic),None Of These Candidates,6,Lyon
Silver Springs 1,United States Senator (Democratic),"Price, Nancy",1,Lyon
Silver Springs 2,United States Senator (Democratic),"Berkley, Shelley",31,Lyon
Silver Springs 2,United States Senator (Democratic),"Brown, Steve",3,Lyon
Silver Springs 2,United States Senator (Democratic),"Ellsworth, Barry",5,Lyon
Silver Springs 2,United States Senator (Democratic),"Macias, Louis",0,Lyon
Silver Springs 2,United States Senator (Democratic),None Of These Candidates,1,Lyon
Silver Springs 2,United States Senator (Democratic),"Price, Nancy",3,Lyon
Silver Springs 3,United States Senator (Democratic),"Berkley, Shelley",36,Lyon
Silver Springs 3,United States Senator (Democratic),"Brown, Steve",3,Lyon
Silver Springs 3,United States Senator (Democratic),"Ellsworth, Barry",1,Lyon
Silver Springs 3,United States Senator (Democratic),"Macias, Louis",1,Lyon
Silver Springs 3,United States Senator (Democratic),None Of These Candidates,1,Lyon
Silver Springs 3,United States Senator (Democratic),"Price, Nancy",1,Lyon
Silver Springs 4,United States Senator (Democratic),"Berkley, Shelley",22,Lyon
Silver Springs 4,United States Senator (Democratic),"Brown, Steve",2,Lyon
Silver Springs 4,United States Senator (Democratic),"Ellsworth, Barry",2,Lyon
Silver Springs 4,United States Senator (Democratic),"Macias, Louis",0,Lyon
Silver Springs 4,United States Senator (Democratic),None Of These Candidates,3,Lyon
Silver Springs 4,United States Senator (Democratic),"Price, Nancy",1,Lyon
Smith Valley 1,United States Senator (Democratic),"Berkley, Shelley",35,Lyon
Smith Valley 1,United States Senator (Democratic),"Brown, Steve",1,Lyon
Smith Valley 1,United States Senator (Democratic),"Ellsworth, Barry",1,Lyon
Smith Valley 1,United States Senator (Democratic),"Macias, Louis",2,Lyon
Smith Valley 1,United States Senator (Democratic),None Of These Candidates,2,Lyon
Smith Valley 1,United States Senator (Democratic),"Price, Nancy",5,Lyon
South Dayton 1,United States Senator (Democratic),"Berkley, Shelley",30,Lyon
South Dayton 1,United States Senator (Democratic),"Brown, Steve",1,Lyon
South Dayton 1,United States Senator (Democratic),"Ellsworth, Barry",3,Lyon
South Dayton 1,United States Senator (Democratic),"Macias, Louis",0,Lyon
South Dayton 1,United States Senator (Democratic),None Of These Candidates,3,Lyon
South Dayton 1,United States Senator (Democratic),"Price, Nancy",9,Lyon
South Dayton 2,United States Senator (Democratic),"Berkley, Shelley",27,Lyon
South Dayton 2,United States Senator (Democratic),"Brown, Steve",0,Lyon
South Dayton 2,United States Senator (Democratic),"Ellsworth, Barry",0,Lyon
South Dayton 2,United States Senator (Democratic),"Macias, Louis",0,Lyon
South Dayton 2,United States Senator (Democratic),None Of These Candidates,1,Lyon
South Dayton 2,United States Senator (Democratic),"Price, Nancy",0,Lyon
South Dayton 3,United States Senator (Democratic),"Berkley, Shelley",51,Lyon
South Dayton 3,United States Senator (Democratic),"Brown, Steve",2,Lyon
South Dayton 3,United States Senator (Democratic),"Ellsworth, Barry",0,Lyon
South Dayton 3,United States Senator (Democratic),"Macias, Louis",0,Lyon
South Dayton 3,United States Senator (Democratic),None Of These Candidates,3,Lyon
South Dayton 3,United States Senator (Democratic),"Price, Nancy",2,Lyon
South Dayton 4,United States Senator (Democratic),"Berkley, Shelley",21,Lyon
South Dayton 4,United States Senator (Democratic),"Brown, Steve",0,Lyon
South Dayton 4,United States Senator (Democratic),"Ellsworth, Barry",0,Lyon
South Dayton 4,United States Senator (Democratic),"Macias, Louis",0,Lyon
South Dayton 4,United States Senator (Democratic),None Of These Candidates,2,Lyon
South Dayton 4,United States Senator (Democratic),"Price, Nancy",1,Lyon
Spragg-Plummer,United States Senator (Democratic),"Berkley, Shelley",79,Lyon
Spragg-Plummer,United States Senator (Democratic),"Brown, Steve",10,Lyon
Spragg-Plummer,United States Senator (Democratic),"Ellsworth, Barry",3,Lyon
Spragg-Plummer,United States Senator (Democratic),"Macias, Louis",1,Lyon
Spragg-Plummer,United States Senator (Democratic),None Of These Candidates,7,Lyon
Spragg-Plummer,United States Senator (Democratic),"Price, Nancy",6,Lyon
Stagecoach 1,United States Senator (Democratic),"Berkley, Shelley",37,Lyon
Stagecoach 1,United States Senator (Democratic),"Brown, Steve",4,Lyon
Stagecoach 1,United States Senator (Democratic),"Ellsworth, Barry",3,Lyon
Stagecoach 1,United States Senator (Democratic),"Macias, Louis",0,Lyon
Stagecoach 1,United States Senator (Democratic),None Of These Candidates,4,Lyon
Stagecoach 1,United States Senator (Democratic),"Price, Nancy",9,Lyon
Stagecoach 2,United States Senator (Democratic),"Berkley, Shelley",21,Lyon
Stagecoach 2,United States Senator (Democratic),"Brown, Steve",1,Lyon
Stagecoach 2,United States Senator (Democratic),"Ellsworth, Barry",0,Lyon
Stagecoach 2,United States Senator (Democratic),"Macias, Louis",0,Lyon
Stagecoach 2,United States Senator (Democratic),None Of These Candidates,1,Lyon
Stagecoach 2,United States Senator (Democratic),"Price, Nancy",1,Lyon
West Mason Valley 1,United States Senator (Democratic),"Berkley, Shelley",43,Lyon
West Mason Valley 1,United States Senator (Democratic),"Brown, Steve",0,Lyon
West Mason Valley 1,United States Senator (Democratic),"Ellsworth, Barry",0,Lyon
West Mason Valley 1,United States Senator (Democratic),"Macias, Louis",0,Lyon
West Mason Valley 1,United States Senator (Democratic),None Of These Candidates,6,Lyon
West Mason Valley 1,United States Senator (Democratic),"Price, Nancy",4,Lyon
West Mason Valley 2,United States Senator (Democratic),"Berkley, Shelley",21,Lyon
West Mason Valley 2,United States Senator (Democratic),"Brown, Steve",2,Lyon
West Mason Valley 2,United States Senator (Democratic),"Ellsworth, Barry",0,Lyon
West Mason Valley 2,United States Senator (Democratic),"Macias, Louis",0,Lyon
West Mason Valley 2,United States Senator (Democratic),None Of These Candidates,3,Lyon
West Mason Valley 2,United States Senator (Democratic),"Price, Nancy",5,Lyon
East Mason Valley 1,United States Senator (Republican),"Brooks, Sherry",7,Lyon
East Mason Valley 1,United States Senator (Republican),"Charles, Richard",1,Lyon
East Mason Valley 1,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",4,Lyon
East Mason Valley 1,United States Senator (Republican),"Heller, Dean",131,Lyon
East Mason Valley 1,United States Senator (Republican),None Of These Candidates,6,Lyon
East Mason Valley 1,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Lyon
East Mason Valley 2,United States Senator (Republican),"Brooks, Sherry",4,Lyon
East Mason Valley 2,United States Senator (Republican),"Charles, Richard",0,Lyon
East Mason Valley 2,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",2,Lyon
East Mason Valley 2,United States Senator (Republican),"Heller, Dean",165,Lyon
East Mason Valley 2,United States Senator (Republican),None Of These Candidates,4,Lyon
East Mason Valley 2,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",1,Lyon
Fernley 1,United States Senator (Republican),"Brooks, Sherry",6,Lyon
Fernley 1,United States Senator (Republican),"Charles, Richard",0,Lyon
Fernley 1,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",1,Lyon
Fernley 1,United States Senator (Republican),"Heller, Dean",113,Lyon
Fernley 1,United States Senator (Republican),None Of These Candidates,3,Lyon
Fernley 1,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Lyon
Fernley 10,United States Senator (Republican),"Brooks, Sherry",3,Lyon
Fernley 10,United States Senator (Republican),"Charles, Richard",0,Lyon
Fernley 10,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Lyon
Fernley 10,United States Senator (Republican),"Heller, Dean",30,Lyon
Fernley 10,United States Senator (Republican),None Of These Candidates,2,Lyon
Fernley 10,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Lyon
Fernley 11,United States Senator (Republican),"Brooks, Sherry",4,Lyon
Fernley 11,United States Senator (Republican),"Charles, Richard",0,Lyon
Fernley 11,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",1,Lyon
Fernley 11,United States Senator (Republican),"Heller, Dean",60,Lyon
Fernley 11,United States Senator (Republican),None Of These Candidates,2,Lyon
Fernley 11,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Lyon
Fernley 12,United States Senator (Republican),"Brooks, Sherry",3,Lyon
Fernley 12,United States Senator (Republican),"Charles, Richard",0,Lyon
Fernley 12,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Lyon
Fernley 12,United States Senator (Republican),"Heller, Dean",91,Lyon
Fernley 12,United States Senator (Republican),None Of These Candidates,2,Lyon
Fernley 12,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Lyon
Fernley 13,United States Senator (Republican),"Brooks, Sherry",7,Lyon
Fernley 13,United States Senator (Republican),"Charles, Richard",0,Lyon
Fernley 13,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",2,Lyon
Fernley 13,United States Senator (Republican),"Heller, Dean",131,Lyon
Fernley 13,United States Senator (Republican),None Of These Candidates,2,Lyon
Fernley 13,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Lyon
Fernley 14,United States Senator (Republican),"Brooks, Sherry",5,Lyon
Fernley 14,United States Senator (Republican),"Charles, Richard",0,Lyon
Fernley 14,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",3,Lyon
Fernley 14,United States Senator (Republican),"Heller, Dean",65,Lyon
Fernley 14,United States Senator (Republican),None Of These Candidates,0,Lyon
Fernley 14,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",1,Lyon
Fernley 2,United States Senator (Republican),"Brooks, Sherry",2,Lyon
Fernley 2,United States Senator (Republican),"Charles, Richard",0,Lyon
Fernley 2,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Lyon
Fernley 2,United States Senator (Republican),"Heller, Dean",67,Lyon
Fernley 2,United States Senator (Republican),None Of These Candidates,0,Lyon
Fernley 2,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Lyon
Fernley 3,United States Senator (Republican),"Brooks, Sherry",3,Lyon
Fernley 3,United States Senator (Republican),"Charles, Richard",5,Lyon
Fernley 3,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",1,Lyon
Fernley 3,United States Senator (Republican),"Heller, Dean",45,Lyon
Fernley 3,United States Senator (Republican),None Of These Candidates,2,Lyon
Fernley 3,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Lyon
Fernley 4,United States Senator (Republican),"Brooks, Sherry",3,Lyon
Fernley 4,United States Senator (Republican),"Charles, Richard",1,Lyon
Fernley 4,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",2,Lyon
Fernley 4,United States Senator (Republican),"Heller, Dean",69,Lyon
Fernley 4,United States Senator (Republican),None Of These Candidates,4,Lyon
Fernley 4,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Lyon
Fernley 5,United States Senator (Republican),"Brooks, Sherry",1,Lyon
Fernley 5,United States Senator (Republican),"Charles, Richard",3,Lyon
Fernley 5,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Lyon
Fernley 5,United States Senator (Republican),"Heller, Dean",64,Lyon
Fernley 5,United States Senator (Republican),None Of These Candidates,2,Lyon
Fernley 5,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Lyon
Fernley 6,United States Senator (Republican),"Brooks, Sherry",4,Lyon
Fernley 6,United States Senator (Republican),"Charles, Richard",0,Lyon
Fernley 6,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Lyon
Fernley 6,United States Senator (Republican),"Heller, Dean",54,Lyon
Fernley 6,United States Senator (Republican),None Of These Candidates,2,Lyon
Fernley 6,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Lyon
Fernley 7,United States Senator (Republican),"Brooks, Sherry",8,Lyon
Fernley 7,United States Senator (Republican),"Charles, Richard",4,Lyon
Fernley 7,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",1,Lyon
Fernley 7,United States Senator (Republican),"Heller, Dean",81,Lyon
Fernley 7,United States Senator (Republican),None Of These Candidates,4,Lyon
Fernley 7,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Lyon
Fernley 8,United States Senator (Republican),"Brooks, Sherry",1,Lyon
Fernley 8,United States Senator (Republican),"Charles, Richard",0,Lyon
Fernley 8,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Lyon
Fernley 8,United States Senator (Republican),"Heller, Dean",65,Lyon
Fernley 8,United States Senator (Republican),None Of These Candidates,4,Lyon
Fernley 8,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Lyon
Fernley 9,United States Senator (Republican),"Brooks, Sherry",4,Lyon
Fernley 9,United States Senator (Republican),"Charles, Richard",0,Lyon
Fernley 9,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Lyon
Fernley 9,United States Senator (Republican),"Heller, Dean",15,Lyon
Fernley 9,United States Senator (Republican),None Of These Candidates,2,Lyon
Fernley 9,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Lyon
Mound House 1,United States Senator (Republican),"Brooks, Sherry",2,Lyon
Mound House 1,United States Senator (Republican),"Charles, Richard",1,Lyon
Mound House 1,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",1,Lyon
Mound House 1,United States Senator (Republican),"Heller, Dean",38,Lyon
Mound House 1,United States Senator (Republican),None Of These Candidates,5,Lyon
Mound House 1,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Lyon
Mound House 2,United States Senator (Republican),"Brooks, Sherry",1,Lyon
Mound House 2,United States Senator (Republican),"Charles, Richard",1,Lyon
Mound House 2,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Lyon
Mound House 2,United States Senator (Republican),"Heller, Dean",36,Lyon
Mound House 2,United States Senator (Republican),None Of These Candidates,2,Lyon
Mound House 2,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Lyon
North Dayton 1,United States Senator (Republican),"Brooks, Sherry",6,Lyon
North Dayton 1,United States Senator (Republican),"Charles, Richard",3,Lyon
North Dayton 1,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",1,Lyon
North Dayton 1,United States Senator (Republican),"Heller, Dean",120,Lyon
North Dayton 1,United States Senator (Republican),None Of These Candidates,2,Lyon
North Dayton 1,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Lyon
North Dayton 2,United States Senator (Republican),"Brooks, Sherry",6,Lyon
North Dayton 2,United States Senator (Republican),"Charles, Richard",2,Lyon
North Dayton 2,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",6,Lyon
North Dayton 2,United States Senator (Republican),"Heller, Dean",155,Lyon
North Dayton 2,United States Senator (Republican),None Of These Candidates,5,Lyon
North Dayton 2,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",1,Lyon
North Dayton 3,United States Senator (Republican),"Brooks, Sherry",2,Lyon
North Dayton 3,United States Senator (Republican),"Charles, Richard",3,Lyon
North Dayton 3,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",4,Lyon
North Dayton 3,United States Senator (Republican),"Heller, Dean",77,Lyon
North Dayton 3,United States Senator (Republican),None Of These Candidates,1,Lyon
North Dayton 3,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",1,Lyon
North Dayton 4,United States Senator (Republican),"Brooks, Sherry",3,Lyon
North Dayton 4,United States Senator (Republican),"Charles, Richard",2,Lyon
North Dayton 4,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",5,Lyon
North Dayton 4,United States Senator (Republican),"Heller, Dean",105,Lyon
North Dayton 4,United States Senator (Republican),None Of These Candidates,3,Lyon
North Dayton 4,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Lyon
North Dayton 5,United States Senator (Republican),"Brooks, Sherry",2,Lyon
North Dayton 5,United States Senator (Republican),"Charles, Richard",2,Lyon
North Dayton 5,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Lyon
North Dayton 5,United States Senator (Republican),"Heller, Dean",102,Lyon
North Dayton 5,United States Senator (Republican),None Of These Candidates,5,Lyon
North Dayton 5,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Lyon
Precinct 99,United States Senator (Republican),"Brooks, Sherry",0,Lyon
Precinct 99,United States Senator (Republican),"Charles, Richard",0,Lyon
Precinct 99,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Lyon
Precinct 99,United States Senator (Republican),"Heller, Dean",0,Lyon
Precinct 99,United States Senator (Republican),None Of These Candidates,0,Lyon
Precinct 99,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Lyon
Silver City,United States Senator (Republican),"Brooks, Sherry",2,Lyon
Silver City,United States Senator (Republican),"Charles, Richard",0,Lyon
Silver City,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Lyon
