county,precinct,office,candidate,votes,district
Carson City,201,U.S. Senate,Dean Heller,397,
Carson City,201,U.S. House,Mark Amodei,400,2
Carson City,203,President,Gary Johnson,8,
Carson City,203,President,None Of These Candidates,8,
Carson City,203,President,Virgil Goode,9,
Carson City,203,U.S. House,Russell Best,35,2
Carson City,203,U.S. House,Michael Haines,35,2
Carson City,203,U.S. Senate,None Of These Candidates,51,
Carson City,203,U.S. Senate,David Vanderbeek,61,
Carson City,203,U.S. Senate,Shelley Berkley,370,
Carson City,203,U.S. House,Samuel Koepnick,380,2
Carson City,203,President,Mitt Romney,481,
Carson City,203,State House,Rich Dunn,493,40
Carson City,203,State House,Pete Livermore,493,40
Carson City,203,President,Barack Obama,515,
Carson City,203,U.S. Senate,Dean Heller,531,
Carson City,203,U.S. House,Mark Amodei,542,2
Carson City,205,President,Virgil Goode,8,
Carson City,205,President,Gary Johnson,10,
Carson City,205,President,None Of These Candidates,10,
Carson City,205,U.S. House,Russell Best,30,2
Carson City,205,U.S. House,Michael Haines,37,2
Carson City,205,U.S. Senate,None Of These Candidates,55,
Carson City,205,U.S. Senate,David Vanderbeek,57,
Carson City,205,U.S. Senate,Shelley Berkley,401,
Carson City,205,U.S. House,Samuel Koepnick,430,2
Carson City,205,State House,Rich Dunn,522,40
Carson City,205,President,Barack Obama,577,
Carson City,205,President,Mitt Romney,590,
Carson City,205,State House,Pete Livermore,621,40
Carson City,205,U.S. House,Mark Amodei,665,2
Carson City,205,U.S. Senate,Dean Heller,670,
Carson City,207,President,None Of These Candidates,3,
Carson City,207,President,Gary Johnson,7,
Carson City,207,President,Virgil Goode,11,
Carson City,207,U.S. House,Russell Best,30,2
Carson City,207,U.S. House,Michael Haines,33,2
Carson City,207,U.S. Senate,None Of These Candidates,54,
Carson City,207,U.S. Senate,David Vanderbeek,79,
Carson City,207,U.S. Senate,Shelley Berkley,329,
Carson City,207,U.S. House,Samuel Koepnick,353,2
Carson City,207,State House,Rich Dunn,454,40
Carson City,207,President,Barack Obama,484,
Carson City,207,President,Mitt Romney,486,
Carson City,207,State House,Pete Livermore,505,40
Carson City,207,U.S. Senate,Dean Heller,522,
Carson City,207,U.S. House,Mark Amodei,549,2
Carson City,209,President,None Of These Candidates,5,
Carson City,209,President,Virgil Goode,10,
Carson City,209,President,Gary Johnson,10,
Carson City,209,U.S. Senate,None Of These Candidates,27,
Carson City,209,U.S. House,Russell Best,31,2
Carson City,209,U.S. House,Michael Haines,37,2
Carson City,209,U.S. Senate,David Vanderbeek,59,
Carson City,209,U.S. Senate,Shelley Berkley,235,
Carson City,209,U.S. House,Samuel Koepnick,236,2
Carson City,209,State House,Rich Dunn,327,40
Carson City,209,President,Barack Obama,333,
Carson City,209,President,Mitt Romney,359,
Carson City,209,State House,Pete Livermore,362,40
Carson City,209,U.S. Senate,Dean Heller,389,
Carson City,209,U.S. House,Mark Amodei,400,2
Carson City,211,President,Virgil Goode,3,
Carson City,211,President,None Of These Candidates,4,
Carson City,211,President,Gary Johnson,8,
Carson City,211,U.S. House,Russell Best,16,2
Carson City,211,U.S. House,Michael Haines,20,2
Carson City,211,U.S. Senate,David Vanderbeek,35,
Carson City,211,U.S. Senate,None Of These Candidates,39,
Carson City,211,U.S. Senate,Shelley Berkley,181,
Carson City,211,U.S. House,Samuel Koepnick,208,2
Carson City,211,State House,Rich Dunn,273,40
Carson City,211,President,Barack Obama,284,
Carson City,211,President,Mitt Romney,408,
Carson City,211,State House,Pete Livermore,411,40
Carson City,211,U.S. Senate,Dean Heller,451,
Carson City,211,U.S. House,Mark Amodei,456,2
Carson City,301,President,Virgil Goode,2,
Carson City,301,President,Gary Johnson,7,
Carson City,301,President,None Of These Candidates,7,
Carson City,301,U.S. House,Michael Haines,23,2
Carson City,301,U.S. House,Russell Best,24,2
Carson City,301,U.S. Senate,None Of These Candidates,40,
Carson City,301,U.S. Senate,David Vanderbeek,47,
Carson City,301,U.S. Senate,Shelley Berkley,265,
Carson City,301,U.S. House,Samuel Koepnick,286,2
Carson City,301,State House,Rich Dunn,355,40
Carson City,301,President,Barack Obama,373,
Carson City,301,President,Mitt Romney,433,
Carson City,301,State House,Pete Livermore,439,40
Carson City,301,U.S. House,Mark Amodei,467,2
Carson City,301,U.S. Senate,Dean Heller,469,
Carson City,303,President,Gary Johnson,6,
Carson City,303,President,Virgil Goode,7,
Carson City,303,President,None Of These Candidates,9,
Carson City,303,U.S. House,Russell Best,19,2
Carson City,303,U.S. House,Michael Haines,21,2
Carson City,303,U.S. Senate,None Of These Candidates,28,
Carson City,303,U.S. Senate,David Vanderbeek,43,
Carson City,303,U.S. House,Samuel Koepnick,272,2
Carson City,303,U.S. Senate,Shelley Berkley,279,
Carson City,303,State House,Rich Dunn,325,40
Carson City,303,President,Barack Obama,366,
Carson City,303,President,Mitt Romney,409,
Carson City,303,State House,Pete Livermore,433,40
Carson City,303,U.S. Senate,Dean Heller,441,
Carson City,303,U.S. House,Mark Amodei,459,2
Carson City,305,President,Virgil Goode,5,
Carson City,305,President,None Of These Candidates,12,
Carson City,305,President,Gary Johnson,15,
Carson City,305,U.S. House,Russell Best,17,2
Carson City,305,U.S. House,Michael Haines,32,2
Carson City,305,U.S. Senate,David Vanderbeek,36,
Carson City,305,U.S. Senate,None Of These Candidates,41,
Carson City,305,U.S. House,Samuel Koepnick,306,2
Carson City,305,U.S. Senate,Shelley Berkley,331,
Carson City,305,State House,Rich Dunn,426,40
Carson City,305,President,Barack Obama,453,
Carson City,305,President,Mitt Romney,591,
Carson City,305,State House,Pete Livermore,620,40
Carson City,305,U.S. Senate,Dean Heller,664,
Carson City,305,U.S. House,Mark Amodei,710,2
Carson City,307,President,None Of These Candidates,11,
Carson City,307,President,Virgil Goode,15,
Carson City,307,President,Gary Johnson,20,
Carson City,307,U.S. House,Russell Best,47,2
Carson City,307,U.S. House,Michael Haines,67,2
Carson City,307,U.S. Senate,None Of These Candidates,69,
Carson City,307,U.S. Senate,David Vanderbeek,77,
Carson City,307,U.S. Senate,Shelley Berkley,478,
Carson City,307,U.S. House,Samuel Koepnick,482,2
Carson City,307,State House,Rich Dunn,608,40
Carson City,307,President,Mitt Romney,631,
Carson City,307,State House,Pete Livermore,666,40
Carson City,307,President,Barack Obama,683,
Carson City,307,U.S. House,Mark Amodei,709,2
Carson City,307,U.S. Senate,Dean Heller,713,
Carson City,309,President,Virgil Goode,2,
Carson City,309,President,Gary Johnson,10,
Carson City,309,President,None Of These Candidates,12,
Carson City,309,U.S. House,Michael Haines,16,2
Carson City,309,U.S. House,Russell Best,23,2
Carson City,309,U.S. Senate,David Vanderbeek,29,
Carson City,309,U.S. Senate,None Of These Candidates,33,
Carson City,309,U.S. House,Samuel Koepnick,315,2
Carson City,309,U.S. Senate,Shelley Berkley,340,
Carson City,309,President,Barack Obama,429,
Carson City,309,State House,Rich Dunn,445,40
Carson City,309,State House,Pete Livermore,794,40
Carson City,309,President,Mitt Romney,835,
Carson City,309,U.S. Senate,Dean Heller,882,
Carson City,309,U.S. House,Mark Amodei,907,2
Carson City,401,President,Virgil Goode,2,
Carson City,401,President,None Of These Candidates,7,
Carson City,401,President,Gary Johnson,22,
Carson City,401,U.S. House,Michael Haines,23,2
Carson City,401,U.S. House,Russell Best,27,2
Carson City,401,U.S. Senate,None Of These Candidates,42,
Carson City,401,U.S. Senate,David Vanderbeek,51,
Carson City,401,U.S. House,Samuel Koepnick,268,2
Carson City,401,U.S. Senate,Shelley Berkley,276,
Carson City,401,President,Mitt Romney,327,
Carson City,401,State House,Pete Livermore,348,40
Carson City,401,State House,Rich Dunn,351,40
Carson City,401,U.S. Senate,Dean Heller,361,
Carson City,401,President,Barack Obama,378,
Carson City,401,U.S. House,Mark Amodei,393,2
Carson City,403,President,Virgil Goode,10,
Carson City,403,President,Gary Johnson,18,
Carson City,403,President,None Of These Candidates,18,
Carson City,403,U.S. House,Russell Best,39,2
Carson City,403,U.S. House,Michael Haines,42,2
Carson City,403,U.S. Senate,None Of These Candidates,60,
Carson City,403,U.S. Senate,David Vanderbeek,79,
Carson City,403,U.S. Senate,Shelley Berkley,434,
Carson City,403,U.S. House,Samuel Koepnick,452,2
Carson City,403,State House,Rich Dunn,552,40
Carson City,403,President,Barack Obama,575,
Carson City,403,President,Mitt Romney,581,
Carson City,403,State House,Pete Livermore,602,40
Carson City,403,U.S. Senate,Dean Heller,617,
Carson City,403,U.S. House,Mark Amodei,630,2
Carson City,405,President,Virgil Goode,6,
Carson City,405,President,None Of These Candidates,6,
Carson City,405,President,Gary Johnson,13,
Carson City,405,U.S. House,Russell Best,24,2
Carson City,405,U.S. House,Michael Haines,33,2
Carson City,405,U.S. Senate,None Of These Candidates,49,
Carson City,405,U.S. Senate,David Vanderbeek,65,
Carson City,405,U.S. Senate,Shelley Berkley,312,
Carson City,405,U.S. House,Samuel Koepnick,341,2
Carson City,405,State House,Rich Dunn,432,40
Carson City,405,President,Barack Obama,454,
Carson City,405,President,Mitt Romney,488,
Carson City,405,State House,Pete Livermore,503,40
Carson City,405,U.S. Senate,Dean Heller,533,
Carson City,405,U.S. House,Mark Amodei,549,2
Carson City,407,President,Virgil Goode,5,
Carson City,407,President,None Of These Candidates,6,
Carson City,407,President,Gary Johnson,13,
Carson City,407,U.S. House,Russell Best,24,2
Carson City,407,U.S. Senate,David Vanderbeek,35,
Carson City,407,U.S. Senate,None Of These Candidates,38,
Carson City,407,U.S. House,Michael Haines,39,2
Carson City,407,U.S. House,Samuel Koepnick,203,2
Carson City,407,U.S. Senate,Shelley Berkley,207,
Carson City,407,President,Barack Obama,298,
Carson City,407,State House,Rich Dunn,308,40
Carson City,407,State House,Pete Livermore,513,40
Carson City,407,President,Mitt Romney,527,
Carson City,407,U.S. Senate,Dean Heller,564,
Carson City,407,U.S. House,Mark Amodei,565,2
Carson City,409,President,Virgil Goode,5,
Carson City,409,President,None Of These Candidates,5,
Carson City,409,President,Gary Johnson,21,
Carson City,409,U.S. House,Russell Best,24,2
Carson City,409,U.S. Senate,None Of These Candidates,33,
Carson City,409,U.S. House,Michael Haines,36,2
Carson City,409,U.S. Senate,David Vanderbeek,56,
Carson City,409,U.S. House,Samuel Koepnick,390,2
Carson City,409,U.S. Senate,Shelley Berkley,406,
Carson City,409,State House,Rich Dunn,460,40
Carson City,409,President,Mitt Romney,506,
Carson City,409,President,Barack Obama,518,
Carson City,409,U.S. Senate,Dean Heller,555,
Carson City,409,State House,Pete Livermore,556,40
Carson City,409,U.S. House,Mark Amodei,588,2
Carson City,411,President,Virgil Goode,1,
Carson City,411,President,None Of These Candidates,4,
Carson City,411,President,Gary Johnson,10,
Carson City,411,U.S. House,Russell Best,11,2
Carson City,411,U.S. House,Michael Haines,13,2
Carson City,411,U.S. Senate,None Of These Candidates,20,
Carson City,411,U.S. Senate,David Vanderbeek,24,
Carson City,411,U.S. Senate,Shelley Berkley,171,
Carson City,411,U.S. House,Samuel Koepnick,175,2
Carson City,411,State House,Rich Dunn,219,40
Carson City,411,President,Barack Obama,231,
Carson City,411,President,Mitt Romney,450,
Carson City,411,State House,Pete Livermore,456,40
Carson City,411,U.S. Senate,Dean Heller,476,
Carson City,411,U.S. House,Mark Amodei,486,2
Carson City,997,President,Virgil Goode,0,
Carson City,997,President,Gary Johnson,0,
Carson City,997,President,None Of These Candidates,0,
Carson City,997,U.S. House,Russell Best,0,2
Carson City,997,U.S. House,Michael Haines,0,2
Carson City,997,U.S. Senate,None Of These Candidates,0,
Carson City,997,U.S. Senate,David Vanderbeek,0,
Carson City,997,President,Mitt Romney,5,
Carson City,997,U.S. House,Mark Amodei,5,2
Carson City,997,U.S. Senate,Dean Heller,5,
Carson City,997,U.S. House,Samuel Koepnick,6,2
Carson City,997,President,Barack Obama,7,
Carson City,997,U.S. Senate,Shelley Berkley,7,
Carson City,998,President,Virgil Goode,0,
Carson City,998,President,Gary Johnson,0,
Carson City,998,President,None Of These Candidates,0,
Carson City,998,President,Barack Obama,6,
Carson City,998,President,Mitt Romney,11,
Carson City,999,President,Virgil Goode,0,
Carson City,999,President,Gary Johnson,0,
Carson City,999,President,None Of These Candidates,0,
Carson City,999,President,Barack Obama,0,
Carson City,999,President,Mitt Romney,0,
Carson City,999,U.S. House,Mark Amodei,0,2
Carson City,999,U.S. House,Russell Best,0,2
Carson City,999,U.S. House,Michael Haines,0,2
Carson City,999,U.S. House,Samuel Koepnick,0,2
Carson City,999,U.S. Senate,Shelley Berkley,0,
Carson City,999,U.S. Senate,Dean Heller,0,
Carson City,999,U.S. Senate,None Of These Candidates,0,
Carson City,999,U.S. Senate,David Vanderbeek,0,
Churchill,01,President,Virgil Goode,5,
Churchill,01,President,None Of These Candidates,7,
Churchill,01,President,Gary Johnson,11,
Churchill,01,U.S. House,Russell Best,24,2
Churchill,01,U.S. House,Michael Haines,25,2
Churchill,01,U.S. Senate,None Of These Candidates,33,
Churchill,01,U.S. Senate,David Vanderbeek,46,
Churchill,01,U.S. Senate,Shelley Berkley,128,
Churchill,01,U.S. House,Samuel Koepnick,151,2
Churchill,01,President,Barack Obama,195,
Churchill,01,President,Mitt Romney,425,
Churchill,01,U.S. House,Mark Amodei,426,2
Churchill,01,U.S. Senate,Dean Heller,429,
Churchill,01,State House,Tom Grady,542,38
Churchill,02,President,Virgil Goode,4,
Churchill,02,President,Gary Johnson,4,
Churchill,02,President,None Of These Candidates,4,
Churchill,02,U.S. House,Michael Haines,15,2
Churchill,02,U.S. House,Russell Best,18,2
Churchill,02,U.S. Senate,None Of These Candidates,22,
Churchill,02,U.S. Senate,David Vanderbeek,31,
Churchill,02,U.S. House,Samuel Koepnick,121,2
Churchill,02,U.S. Senate,Shelley Berkley,128,
Churchill,02,President,Barack Obama,172,
Churchill,02,U.S. Senate,Dean Heller,307,
Churchill,02,President,Mitt Romney,317,
Churchill,02,U.S. House,Mark Amodei,321,2
Churchill,02,State House,Tom Grady,421,38
Churchill,03,President,Gary Johnson,0,
Churchill,03,President,None Of These Candidates,2,
Churchill,03,President,Virgil Goode,5,
Churchill,03,U.S. House,Russell Best,19,2
Churchill,03,U.S. Senate,David Vanderbeek,24,
Churchill,03,U.S. House,Michael Haines,27,2
Churchill,03,U.S. Senate,None Of These Candidates,32,
Churchill,03,U.S. Senate,Shelley Berkley,105,
Churchill,03,U.S. House,Samuel Koepnick,109,2
Churchill,03,President,Barack Obama,165,
Churchill,03,President,Mitt Romney,287,
Churchill,03,U.S. House,Mark Amodei,289,2
Churchill,03,U.S. Senate,Dean Heller,296,
Churchill,03,State House,Tom Grady,382,38
Churchill,04,President,None Of These Candidates,2,
Churchill,04,President,Gary Johnson,5,
Churchill,04,President,Virgil Goode,8,
Churchill,04,U.S. House,Michael Haines,18,2
Churchill,04,U.S. Senate,None Of These Candidates,22,
Churchill,04,U.S. House,Russell Best,26,2
Churchill,04,U.S. Senate,David Vanderbeek,51,
Churchill,04,U.S. Senate,Shelley Berkley,116,
Churchill,04,U.S. House,Samuel Koepnick,127,2
Churchill,04,President,Barack Obama,177,
Churchill,04,U.S. Senate,Dean Heller,258,
Churchill,04,U.S. House,Mark Amodei,267,2
Churchill,04,President,Mitt Romney,268,
Churchill,04,State House,Tom Grady,367,38
Churchill,05,President,Gary Johnson,4,
Churchill,05,President,None Of These Candidates,4,
Churchill,05,President,Virgil Goode,5,
Churchill,05,U.S. House,Russell Best,13,2
Churchill,05,U.S. House,Michael Haines,21,2
Churchill,05,U.S. Senate,None Of These Candidates,28,
Churchill,05,U.S. Senate,David Vanderbeek,41,
Churchill,05,U.S. Senate,Shelley Berkley,124,
Churchill,05,U.S. House,Samuel Koepnick,139,2
Churchill,05,President,Barack Obama,197,
Churchill,05,President,Mitt Romney,231,
Churchill,05,U.S. Senate,Dean Heller,245,
Churchill,05,U.S. House,Mark Amodei,261,2
Churchill,05,State House,Tom Grady,378,38
Churchill,06,President,None Of These Candidates,1,
Churchill,06,President,Virgil Goode,2,
Churchill,06,President,Gary Johnson,5,
Churchill,06,U.S. House,Russell Best,9,2
Churchill,06,U.S. House,Michael Haines,19,2
Churchill,06,U.S. Senate,None Of These Candidates,21,
Churchill,06,U.S. Senate,David Vanderbeek,29,
Churchill,06,U.S. House,Samuel Koepnick,106,2
Churchill,06,U.S. Senate,Shelley Berkley,107,
Churchill,06,President,Barack Obama,153,
Churchill,06,President,Mitt Romney,265,
Churchill,06,U.S. Senate,Dean Heller,266,
Churchill,06,U.S. House,Mark Amodei,275,2
Churchill,06,State House,Tom Grady,360,38
Churchill,07,President,Virgil Goode,2,
Churchill,07,President,Gary Johnson,4,
Churchill,07,President,None Of These Candidates,5,
Churchill,07,U.S. House,Michael Haines,13,2
Churchill,07,U.S. House,Russell Best,17,2
Churchill,07,U.S. Senate,None Of These Candidates,23,
Churchill,07,U.S. Senate,David Vanderbeek,32,
Churchill,07,U.S. Senate,Shelley Berkley,134,
Churchill,07,U.S. House,Samuel Koepnick,140,2
Churchill,07,President,Barack Obama,168,
Churchill,07,U.S. Senate,Dean Heller,447,
Churchill,07,U.S. House,Mark Amodei,460,2
Churchill,07,President,Mitt Romney,462,
Churchill,07,State House,Tom Grady,557,38
Churchill,08,President,Gary Johnson,3,
Churchill,08,President,None Of These Candidates,3,
Churchill,08,President,Virgil Goode,6,
Churchill,08,U.S. Senate,None Of These Candidates,10,
Churchill,08,U.S. House,Russell Best,12,2
Churchill,08,U.S. House,Michael Haines,14,2
Churchill,08,U.S. Senate,David Vanderbeek,20,
Churchill,08,U.S. Senate,Shelley Berkley,67,
Churchill,08,U.S. House,Samuel Koepnick,75,2
Churchill,08,President,Barack Obama,100,
Churchill,08,President,Mitt Romney,224,
Churchill,08,U.S. House,Mark Amodei,229,2
Churchill,08,U.S. Senate,Dean Heller,238,
Churchill,08,State House,Tom Grady,303,38
Churchill,09,President,Virgil Goode,1,
Churchill,09,President,Gary Johnson,1,
Churchill,09,President,None Of These Candidates,9,
Churchill,09,U.S. House,Russell Best,9,2
Churchill,09,U.S. House,Michael Haines,14,2
Churchill,09,U.S. Senate,None Of These Candidates,18,
Churchill,09,U.S. Senate,David Vanderbeek,26,
Churchill,09,U.S. Senate,Shelley Berkley,75,
Churchill,09,U.S. House,Samuel Koepnick,81,2
Churchill,09,President,Barack Obama,122,
Churchill,09,President,Mitt Romney,308,
Churchill,09,U.S. Senate,Dean Heller,319,
Churchill,09,U.S. House,Mark Amodei,320,2
Churchill,09,State House,Tom Grady,386,38
Churchill,10,President,Virgil Goode,2,
Churchill,10,President,None Of These Candidates,5,
Churchill,10,President,Gary Johnson,9,
Churchill,10,U.S. Senate,None Of These Candidates,20,
Churchill,10,U.S. House,Russell Best,24,2
Churchill,10,U.S. House,Michael Haines,27,2
Churchill,10,U.S. Senate,David Vanderbeek,51,
Churchill,10,U.S. Senate,Shelley Berkley,126,
Churchill,10,U.S. House,Samuel Koepnick,127,2
Churchill,10,President,Barack Obama,186,
Churchill,10,President,Mitt Romney,516,
Churchill,10,U.S. Senate,Dean Heller,518,
Churchill,10,U.S. House,Mark Amodei,522,2
Churchill,10,State House,Tom Grady,638,38
Churchill,11,President,Gary Johnson,4,
Churchill,11,President,None Of These Candidates,5,
Churchill,11,President,Virgil Goode,9,
Churchill,11,U.S. House,Russell Best,24,2
Churchill,11,U.S. House,Michael Haines,24,2
Churchill,11,U.S. Senate,None Of These Candidates,30,
Churchill,11,U.S. Senate,David Vanderbeek,37,
Churchill,11,U.S. Senate,Shelley Berkley,117,
Churchill,11,U.S. House,Samuel Koepnick,125,2
Churchill,11,President,Barack Obama,186,
Churchill,11,President,Mitt Romney,545,
Churchill,11,U.S. House,Mark Amodei,555,2
Churchill,11,U.S. Senate,Dean Heller,556,
Churchill,11,State House,Tom Grady,635,38
Churchill,12,President,Gary Johnson,2,
Churchill,12,President,Virgil Goode,3,
Churchill,12,President,None Of These Candidates,3,
Churchill,12,U.S. House,Russell Best,4,2
Churchill,12,U.S. Senate,None Of These Candidates,8,
Churchill,12,U.S. Senate,David Vanderbeek,10,
Churchill,12,U.S. House,Michael Haines,16,2
Churchill,12,U.S. Senate,Shelley Berkley,45,
Churchill,12,U.S. House,Samuel Koepnick,52,2
Churchill,12,President,Barack Obama,65,
Churchill,12,U.S. House,Mark Amodei,217,2
Churchill,12,President,Mitt Romney,228,
Churchill,12,U.S. Senate,Dean Heller,233,
Churchill,12,State House,Tom Grady,258,38
Churchill,13,President,Gary Johnson,1,
Churchill,13,President,Virgil Goode,4,
Churchill,13,President,None Of These Candidates,4,
Churchill,13,U.S. House,Michael Haines,9,2
Churchill,13,U.S. House,Russell Best,11,2
Churchill,13,U.S. Senate,None Of These Candidates,14,
Churchill,13,U.S. Senate,David Vanderbeek,22,
Churchill,13,U.S. House,Samuel Koepnick,56,2
Churchill,13,U.S. Senate,Shelley Berkley,58,
Churchill,13,President,Barack Obama,82,
Churchill,13,U.S. Senate,Dean Heller,303,
Churchill,13,President,Mitt Romney,309,
Churchill,13,U.S. House,Mark Amodei,314,2
Churchill,13,State House,Tom Grady,348,38
Churchill,14,President,Virgil Goode,2,
Churchill,14,President,None Of These Candidates,2,
Churchill,14,President,Gary Johnson,5,
Churchill,14,U.S. House,Russell Best,10,2
Churchill,14,U.S. Senate,None Of These Candidates,12,
Churchill,14,U.S. House,Michael Haines,18,2
Churchill,14,U.S. Senate,David Vanderbeek,33,
Churchill,14,U.S. Senate,Shelley Berkley,81,
Churchill,14,U.S. House,Samuel Koepnick,85,2
Churchill,14,President,Barack Obama,112,
Churchill,14,U.S. Senate,Dean Heller,376,
Churchill,14,U.S. House,Mark Amodei,381,2
Churchill,14,President,Mitt Romney,382,
Churchill,14,State House,Tom Grady,432,38
Churchill,15,President,Virgil Goode,2,
Churchill,15,President,Gary Johnson,2,
Churchill,15,President,None Of These Candidates,4,
Churchill,15,U.S. House,Michael Haines,15,2
Churchill,15,U.S. Senate,None Of These Candidates,18,
Churchill,15,U.S. House,Russell Best,21,2
Churchill,15,U.S. Senate,David Vanderbeek,28,
Churchill,15,U.S. Senate,Shelley Berkley,80,
Churchill,15,U.S. House,Samuel Koepnick,82,2
Churchill,15,President,Barack Obama,111,
Churchill,15,U.S. Senate,Dean Heller,427,
Churchill,15,U.S. House,Mark Amodei,428,2
Churchill,15,President,Mitt Romney,441,
