precinct,office,candidate,votes
Argenta 05,"University Board of Regents, District 9 (Nonpartisan)","KNECHT, RON",33
Argenta 05,"University Board of Regents, District 9 (Nonpartisan)","Mackedon, Michon",36
Argenta 05,"University Board of Regents, District 9 (Nonpartisan)","Riendeau, Richard ""Old Rick""",6
Austin 07,"LANDER COUNTY Hospital Dist Trustee, Seat B (Nonpartisan)","ANDREOLA, KARLENE",63
Austin 07,"LANDER COUNTY Hospital Dist Trustee, Seat C (Nonpartisan)","ANCHO, KATHY L.",61
Austin 07,"LANDER COUNTY School Trustee, Area ONE (Nonpartisan)","LAKE, MARK",49
Austin 07,"LANDER COUNTY School Trustee, Area TWO (Nonpartisan)","MORRISON, JANICE",52
Austin 07,"State Board of Education, District 2 (Nonpartisan)","Bacon, Ray",6
Austin 07,"State Board of Education, District 2 (Nonpartisan)","Carey, Scott H.",9
Austin 07,"State Board of Education, District 2 (Nonpartisan)","Clontz, Donna",18
Austin 07,"State Board of Education, District 2 (Nonpartisan)","Cook, Dave",16
Austin 07,"State Board of Education, District 2 (Nonpartisan)","Fralick, Adriana Guzman",8
Austin 07,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",5
Austin 07,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",7
Austin 07,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",3
Austin 07,U.S. Senate (Democratic),"Berkley, Shelley",9
Austin 07,U.S. Senate (Democratic),"Brown, Steve",1
Austin 07,U.S. Senate (Democratic),"Ellsworth, Barry",0
Austin 07,U.S. Senate (Democratic),"Macias, Louis",0
Austin 07,U.S. Senate (Democratic),None Of These Candidates,4
Austin 07,U.S. Senate (Democratic),"Price, Nancy",2
Austin 07,U.S. Senate (Republican),"Brooks, Sherry",4
Austin 07,U.S. Senate (Republican),"Charles, Richard",0
Austin 07,U.S. Senate (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",1
Austin 07,U.S. Senate (Republican),"Heller, Dean",40
Austin 07,U.S. Senate (Republican),None Of These Candidates,2
Austin 07,U.S. Senate (Republican),"Poliak, Carlo ""Nakusa""",0
Austin 07,"University Board of Regents, District 9 (Nonpartisan)","KNECHT, RON",7
Austin 07,"University Board of Regents, District 9 (Nonpartisan)","Mackedon, Michon",40
Austin 07,"University Board of Regents, District 9 (Nonpartisan)","Riendeau, Richard ""Old Rick""",10
Gillman Springs Ranch 08,"LANDER COUNTY Hospital Dist Trustee, Seat B (Nonpartisan)","ANDREOLA, KARLENE",
Gillman Springs Ranch 08,"LANDER COUNTY Hospital Dist Trustee, Seat C (Nonpartisan)","ANCHO, KATHY L.",
Gillman Springs Ranch 08,"LANDER COUNTY School Trustee, Area ONE (Nonpartisan)","LAKE, MARK",
Gillman Springs Ranch 08,"LANDER COUNTY School Trustee, Area TWO (Nonpartisan)","MORRISON, JANICE",
Gillman Springs Ranch 08,"State Board of Education, District 2 (Nonpartisan)","Bacon, Ray",
Gillman Springs Ranch 08,"State Board of Education, District 2 (Nonpartisan)","Carey, Scott H.",
Gillman Springs Ranch 08,"State Board of Education, District 2 (Nonpartisan)","Clontz, Donna",
Gillman Springs Ranch 08,"State Board of Education, District 2 (Nonpartisan)","Cook, Dave",
Gillman Springs Ranch 08,"State Board of Education, District 2 (Nonpartisan)","Fralick, Adriana Guzman",
Gillman Springs Ranch 08,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",0
Gillman Springs Ranch 08,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",0
Gillman Springs Ranch 08,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",0
Gillman Springs Ranch 08,U.S. Senate (Democratic),"Berkley, Shelley",0
Gillman Springs Ranch 08,U.S. Senate (Democratic),"Brown, Steve",0
Gillman Springs Ranch 08,U.S. Senate (Democratic),"Ellsworth, Barry",0
Gillman Springs Ranch 08,U.S. Senate (Democratic),"Macias, Louis",0
Gillman Springs Ranch 08,U.S. Senate (Democratic),None Of These Candidates,0
Gillman Springs Ranch 08,U.S. Senate (Democratic),"Price, Nancy",0
Gillman Springs Ranch 08,U.S. Senate (Republican),"Brooks, Sherry",
Gillman Springs Ranch 08,U.S. Senate (Republican),"Charles, Richard",
Gillman Springs Ranch 08,U.S. Senate (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",
Gillman Springs Ranch 08,U.S. Senate (Republican),"Heller, Dean",
Gillman Springs Ranch 08,U.S. Senate (Republican),None Of These Candidates,
Gillman Springs Ranch 08,U.S. Senate (Republican),"Poliak, Carlo ""Nakusa""",
Gillman Springs Ranch 08,"University Board of Regents, District 9 (Nonpartisan)","KNECHT, RON",
Gillman Springs Ranch 08,"University Board of Regents, District 9 (Nonpartisan)","Mackedon, Michon",
Gillman Springs Ranch 08,"University Board of Regents, District 9 (Nonpartisan)","Riendeau, Richard ""Old Rick""",
Kingston 09,"LANDER COUNTY Hospital Dist Trustee, Seat B (Nonpartisan)","ANDREOLA, KARLENE",34
Kingston 09,"LANDER COUNTY Hospital Dist Trustee, Seat C (Nonpartisan)","ANCHO, KATHY L.",33
Kingston 09,"LANDER COUNTY School Trustee, Area ONE (Nonpartisan)","LAKE, MARK",31
Kingston 09,"LANDER COUNTY School Trustee, Area TWO (Nonpartisan)","MORRISON, JANICE",35
Kingston 09,"State Board of Education, District 2 (Nonpartisan)","Bacon, Ray",5
Kingston 09,"State Board of Education, District 2 (Nonpartisan)","Carey, Scott H.",7
Kingston 09,"State Board of Education, District 2 (Nonpartisan)","Clontz, Donna",6
Kingston 09,"State Board of Education, District 2 (Nonpartisan)","Cook, Dave",12
Kingston 09,"State Board of Education, District 2 (Nonpartisan)","Fralick, Adriana Guzman",2
Kingston 09,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",
Kingston 09,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",
Kingston 09,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",
Kingston 09,U.S. Senate (Democratic),"Berkley, Shelley",
Kingston 09,U.S. Senate (Democratic),"Brown, Steve",
Kingston 09,U.S. Senate (Democratic),"Ellsworth, Barry",
Kingston 09,U.S. Senate (Democratic),"Macias, Louis",
Kingston 09,U.S. Senate (Democratic),None Of These Candidates,
Kingston 09,U.S. Senate (Democratic),"Price, Nancy",
Kingston 09,U.S. Senate (Republican),"Brooks, Sherry",0
Kingston 09,U.S. Senate (Republican),"Charles, Richard",1
Kingston 09,U.S. Senate (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0
Kingston 09,U.S. Senate (Republican),"Heller, Dean",21
Kingston 09,U.S. Senate (Republican),None Of These Candidates,0
Kingston 09,U.S. Senate (Republican),"Poliak, Carlo ""Nakusa""",0
Kingston 09,"University Board of Regents, District 9 (Nonpartisan)","KNECHT, RON",10
Kingston 09,"University Board of Regents, District 9 (Nonpartisan)","Mackedon, Michon",18
