candidate,party,votes,percent,office
"COX, DONNA C.",REPUBLICAN,179,26.84,COUNTY COMMISSIONER DISTRICT III (REPUBLICAN)
"HARGIS, JULIE A.",REPUBLICAN,109,16.34,COUNTY COMMISSIONER DISTRICT III (REPUBLICAN)
"SEARLES, KENNETH E.",REPUBLICAN,202,30.28,COUNTY COMMISSIONER DISTRICT III (REPUBLICAN)
"MOBLEY, ROBERT (Incumbent)",NONPARTISAN,649,100.00,SCHOOL BOARD TRUSTEE AREA II (NONPARTISAN)
"WARD, TRACIE (Incumbent)",NONPARTISAN,641,100.00,SCHOOL BOARD TRUSTEE AREA IV (NONPARTISAN)
"TOKERUD, HAROLD (Incumbent)",NONPARTISAN,732,100.00,SCHOOL BOARD TRUSTEE AREA VI (NONPARTISAN)
"BRITTING, THOMAS C.",NONPARTISAN,82,1.80,"JUSTICE OF THE PEACE, PAHRUMP DEPT. 1 (NONPARTISAN)"
"DECANIO, LOUIS J.",NONPARTISAN,688,15.11,"JUSTICE OF THE PEACE, PAHRUMP DEPT. 1 (NONPARTISAN)"
"FOLEY, MICHAEL",NONPARTISAN,296,6.50,"JUSTICE OF THE PEACE, PAHRUMP DEPT. 1 (NONPARTISAN)"
"HUGGINS, TRAVIS J.",NONPARTISAN,473,10.39,"JUSTICE OF THE PEACE, PAHRUMP DEPT. 1 (NONPARTISAN)"
"KENT, RON",NONPARTISAN,2049,44.99,"JUSTICE OF THE PEACE, PAHRUMP DEPT. 1 (NONPARTISAN)"
"WALKER, PATRICK",NONPARTISAN,477,10.47,"JUSTICE OF THE PEACE, PAHRUMP DEPT. 1 (NONPARTISAN)"
"WATKINS, CHARLES G.",NONPARTISAN,489,10.74,"JUSTICE OF THE PEACE, PAHRUMP DEPT. 1 (NONPARTISAN)"
"CAMPOS, PAUL A.",NONPARTISAN,190,20.95,"JUSTICE OF THE PEACE, TONOPAH (NONPARTISAN)"
"COBB, EDDIE",NONPARTISAN,146,16.10,"JUSTICE OF THE PEACE, TONOPAH (NONPARTISAN)"
"FOX, CHARLES ""CHUCK""",NONPARTISAN,11,1.21,"JUSTICE OF THE PEACE, TONOPAH (NONPARTISAN)"
"KLAPPER, JENNIFER",NONPARTISAN,269,29.66,"JUSTICE OF THE PEACE, TONOPAH (NONPARTISAN)"
"TERRELL, CLYDE",NONPARTISAN,271,29.88,"JUSTICE OF THE PEACE, TONOPAH (NONPARTISAN)"
"ZANE, JON W.",NONPARTISAN,20,2.21,"JUSTICE OF THE PEACE, TONOPAH (NONPARTISAN)"
