candidate,party,percent,votes,office
"ASHWORTH, DON",NP,11.37%,685,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"HARDESTY, JIM",NP,56.54%,"3,406",JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"MIRCH, KEVIN J.",NP,2.84%,171,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"STEEL, CYNTHIA",NP,16.82%,"1,013",JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
None of these Candidates,,12.43%,749,JUSTICE OF THE SUPREME COURT SEAT A (Nonpartisan)
"BROWN, LORI LIPMAN",NP,19.75%,"1,178",JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"MASON, JOHN E.",NP,28.12%,"1,677",JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"PARRAGUIRRE, RON",NP,21.26%,"1,268",JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"SMITH, DOUG",NP,12.61%,752,JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
None of these Candidates,,18.26%,"1,089",JUSTICE OF THE SUPREME COURT SEAT E (Nonpartisan)
"RUSSELL, WARREN",REP,56.06%,"2,161",COUNTY COMMISSIONER DISTRICT 5 (Republican)
"SCHNEIDER, TERRY",REP,12.71%,490,COUNTY COMMISSIONER DISTRICT 5 (Republican)
"STRINGFIELD, THOMAS LOVE",REP,31.23%,"1,204",COUNTY COMMISSIONER DISTRICT 5 (Republican)
"BRIGGS, CHARLES L.",NP,100.00%,"5,105",SCHOOL BOARD OF TRUSTEES DISTRICT 2 (Nonpartisan)
"DENNIS, GARY J.",NP,21.01%,"1,211",SCHOOL BOARD OF TRUSTEES DISTRICT 3 (Nonpartisan)
"HOLBROOK, BRANDY",NP,12.65%,729,SCHOOL BOARD OF TRUSTEES DISTRICT 3 (Nonpartisan)
"KERR, ANNETTE",NP,41.12%,"2,370",SCHOOL BOARD OF TRUSTEES DISTRICT 3 (Nonpartisan)
"WILLIAMS, JERRY",NP,25.21%,"1,453",SCHOOL BOARD OF TRUSTEES DISTRICT 3 (Nonpartisan)
"FOBES, GORDON L.",NP,40.86%,"2,312",SCHOOL BOARD OF TRUSTEES DISTRICT 4 (Nonpartisan)
"HEBERER, GARRY",NP,17.56%,994,SCHOOL BOARD OF TRUSTEES DISTRICT 4 (Nonpartisan)
"WILKERSON, BILL",NP,41.58%,"2,353",SCHOOL BOARD OF TRUSTEES DISTRICT 4 (Nonpartisan)
"BASANEZ, LOUISE",NP,51.12%,"2,945",SCHOOL BOARD OF TRUSTEES DISTRICT 7 (Nonpartisan)
"BEIG, ROBERT",NP,18.82%,"1,084",SCHOOL BOARD OF TRUSTEES DISTRICT 7 (Nonpartisan)
"POLISH, MARY ANN",NP,30.06%,"1,732",SCHOOL BOARD OF TRUSTEES DISTRICT 7 (Nonpartisan)
