candidate,party,percent,votes,office
"MCCLEARY, BOB",DEM,38.56%,359,STATE ASSEMBLY DISTRICT 11 (DEM)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 11 (DEM)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 11 (DEM)
"CLARKE, MARK",DEM,25.26%,748,STATE ASSEMBLY DISTRICT 13 (DEM)
"KALAGIAN, MEL C",DEM,22.93%,679,STATE ASSEMBLY DISTRICT 13 (DEM)
"SLATER, MIKE",DEM,51.81%,"1,534",STATE ASSEMBLY DISTRICT 13 (DEM)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 13 (DEM)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 13 (DEM)
"CHRISTENSEN, CHAD",REP,57.04%,"2,699",STATE ASSEMBLY DISTRICT 13 (REP)
"DURSO, RUDOLPH",REP,8.28%,392,STATE ASSEMBLY DISTRICT 13 (REP)
"WARDEN, MARK D",REP,34.68%,"1,641",STATE ASSEMBLY DISTRICT 13 (REP)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 13 (REP)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 13 (REP)
"BUCHANAN, JAMES",DEM,39.75%,743,STATE ASSEMBLY DISTRICT 14 (DEM)
"KOIVISTO, ELLEN",DEM,60.25%,"1,126",STATE ASSEMBLY DISTRICT 14 (DEM)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 14 (DEM)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 14 (DEM)
"GARDNER, RICHARD G.",REP,72.05%,"1,093",STATE ASSEMBLY DISTRICT 14 (REP)
"TRINKO, MARK",REP,27.95%,424,STATE ASSEMBLY DISTRICT 14 (REP)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 14 (REP)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 14 (REP)
"MCCLAIN, KATHY",DEM,85.23%,"2,297",STATE ASSEMBLY DISTRICT 15 (DEM)
"TANNER, JR., RONALD",DEM,14.77%,398,STATE ASSEMBLY DISTRICT 15 (DEM)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 15 (DEM)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 15 (DEM)
"HAMMARGREN, LONNIE",REP,68.41%,"1,308",STATE ASSEMBLY DISTRICT 15 (REP)
"TOOMIN, LOUIS A",REP,31.59%,604,STATE ASSEMBLY DISTRICT 15 (REP)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 15 (REP)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 15 (REP)
"ATKINSON, KELVIN",DEM,62.55%,997,STATE ASSEMBLY DISTRICT 17 (DEM)
"PRICE, BOB",DEM,37.45%,597,STATE ASSEMBLY DISTRICT 17 (DEM)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 17 (DEM)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 17 (DEM)
"BOBBETT, THOMAS V.",REP,35.91%,571,STATE ASSEMBLY DISTRICT 18 (REP)
"JARVIS, KEN",REP,64.09%,"1,019",STATE ASSEMBLY DISTRICT 18 (REP)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 18 (REP)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 18 (REP)
"CLABORN, JERRY D",DEM,46.09%,643,STATE ASSEMBLY DISTRICT 19 (DEM)
"COLASUONO, CHRIS",DEM,25.23%,352,STATE ASSEMBLY DISTRICT 19 (DEM)
"HAYES, MIKE",DEM,13.76%,192,STATE ASSEMBLY DISTRICT 19 (DEM)
"SMITH, BRADLEY",DEM,14.91%,208,STATE ASSEMBLY DISTRICT 19 (DEM)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 19 (DEM)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 19 (DEM)
"ANDONOV, WALTER",REP,79.34%,"2,193",STATE ASSEMBLY DISTRICT 21 (REP)
"FOSTER, JESS",REP,20.66%,571,STATE ASSEMBLY DISTRICT 21 (REP)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 21 (REP)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 21 (REP)
"CANO, LISA",DEM,72.42%,"1,481",STATE ASSEMBLY DISTRICT 21 (DEM)
"HARRISON, IAN",DEM,27.58%,564,STATE ASSEMBLY DISTRICT 21 (DEM)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 21 (DEM)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 21 (DEM)
"BROWN, DAVID",REP,75.57%,"3,396",STATE ASSEMBLY DISTRICT 22 (REP)
"CARPENTER, CHARLES F.",REP,24.43%,"1,098",STATE ASSEMBLY DISTRICT 22 (REP)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 22 (REP)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 22 (REP)
"CHOWNING, VONNE S.",DEM,52.72%,601,STATE ASSEMBLY DISTRICT 28 (DEM)
"DENIS, MOISES",DEM,47.28%,539,STATE ASSEMBLY DISTRICT 28 (DEM)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 28 (DEM)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 28 (DEM)
"BIFANO, JOSEPH R",DEM,35.70%,574,STATE ASSEMBLY DISTRICT 29 (DEM)
"DREYFUSS, STAN",DEM,64.30%,"1,034",STATE ASSEMBLY DISTRICT 29 (DEM)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 29 (DEM)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 29 (DEM)
"GRIFFIN, JOSH",REP,67.22%,"1,286",STATE ASSEMBLY DISTRICT 29 (REP)
"SMITH, MICHAEL",REP,32.78%,627,STATE ASSEMBLY DISTRICT 29 (REP)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 29 (REP)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 29 (REP)
"CONKLIN, MARCUS",DEM,49.23%,764,STATE ASSEMBLY DISTRICT 37 (DEM)
"HARGIS, LLOYD A",DEM,8.38%,130,STATE ASSEMBLY DISTRICT 37 (DEM)
"PRICE, TERESA",DEM,42.40%,658,STATE ASSEMBLY DISTRICT 37 (DEM)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 37 (DEM)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 37 (DEM)
"ALLEN, FRANCIS",REP,33.72%,720,STATE ASSEMBLY DISTRICT 37 (REP)
"FORSYTHE, EARLENE",REP,33.30%,711,STATE ASSEMBLY DISTRICT 37 (REP)
"HORROCKS, SR., GARY",REP,29.60%,632,STATE ASSEMBLY DISTRICT 37 (REP)
"LEFEBVRE, ALAN J",REP,3.37%,72,STATE ASSEMBLY DISTRICT 37 (REP)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 37 (REP)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 37 (REP)
"DANE, PHILLIP",REP,50.77%,557,STATE ASSEMBLY DISTRICT 41 (REP)
"SORENSEN, ANDERS",REP,49.23%,540,STATE ASSEMBLY DISTRICT 41 (REP)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 41 (REP)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 41 (REP)
"CHASTAIN, BRAD K",DEM,27.88%,412,STATE ASSEMBLY DISTRICT 42 (DEM)
"MORTENSON, HARRY",DEM,72.12%,"1,066",STATE ASSEMBLY DISTRICT 42 (DEM)
Under Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 42 (DEM)
Over Votes,,0.00%,0,STATE ASSEMBLY DISTRICT 42 (DEM)
"BADILLO, TONY",DEM,19.72%,"1,663",COUNTY COMMISSION DISTRICT E (DEM)
"STUPAK, NEVADA",DEM,34.40%,"2,901",COUNTY COMMISSION DISTRICT E (DEM)
"WILLIAMS, MYRNA",DEM,45.89%,"3,870",COUNTY COMMISSION DISTRICT E (DEM)
Under Votes,,0.00%,0,COUNTY COMMISSION DISTRICT E (DEM)
Over Votes,,0.00%,0,COUNTY COMMISSION DISTRICT E (DEM)
"CORY, TIM",REP,42.33%,"3,883",COUNTY COMMISSION DISTRICT F (REP)
"JAMES, MARK",REP,44.81%,"4,110",COUNTY COMMISSION DISTRICT F (REP)
"QUISENBERRY, ESTHER",REP,6.91%,634,COUNTY COMMISSION DISTRICT F (REP)
"SMITH, DEVIN S.",REP,5.95%,546,COUNTY COMMISSION DISTRICT F (REP)
Under Votes,,0.00%,0,COUNTY COMMISSION DISTRICT F (REP)
Over Votes,,0.00%,0,COUNTY COMMISSION DISTRICT F (REP)
"DAVIDSON, MIKE",DEM,64.91%,"34,400",DISTRICT ATTORNEY (DEM)
"HOOKER, DAWN ALLYSA",DEM,35.09%,"18,596",DISTRICT ATTORNEY (DEM)
Under Votes,,0.00%,0,DISTRICT ATTORNEY (DEM)
Over Votes,,0.00%,0,DISTRICT ATTORNEY (DEM)
"ROGER, DAVID",REP,64.55%,"38,456",DISTRICT ATTORNEY (REP)
"SILVER, ABBI",REP,35.45%,"21,115",DISTRICT ATTORNEY (REP)
Under Votes,,0.00%,0,DISTRICT ATTORNEY (REP)
Over Votes,,0.00%,0,DISTRICT ATTORNEY (REP)
"BLEDSOE, SAM K.",DEM,19.42%,"10,634",COUNTY CLERK (DEM)
"LUCCI, RICHARD",DEM,10.37%,"5,678",COUNTY CLERK (DEM)
"PARRAGUIRRE, SHIRLEY",DEM,70.21%,"38,439",COUNTY CLERK (DEM)
Under Votes,,0.00%,0,COUNTY CLERK (DEM)
Over Votes,,0.00%,0,COUNTY CLERK (DEM)
"MC PHERSON, WES",DEM,20.60%,"10,622",COUNTY RECORDER (DEM)
"SPENCER, BOB",DEM,37.82%,"19,502",COUNTY RECORDER (DEM)
"SPRINGS, ANITA",DEM,41.59%,"21,445",COUNTY RECORDER (DEM)
Under Votes,,0.00%,0,COUNTY RECORDER (DEM)
Over Votes,,0.00%,0,COUNTY RECORDER (DEM)
"DEANE, FRANCES",REP,53.89%,"28,516",COUNTY RECORDER (REP)
"EDWARDS, JAMES",REP,46.11%,"24,404",COUNTY RECORDER (REP)
Under Votes,,0.00%,0,COUNTY RECORDER (REP)
Over Votes,,0.00%,0,COUNTY RECORDER (REP)
"AHLSTROM, DAN",DEM,40.23%,"21,730",PUBLIC ADMINISTRATOR (DEM)
"CINQUEGRANI,",DEM,20.82%,"11,246",PUBLIC ADMINISTRATOR (DEM)
"MENDOZA, ADRIAN",DEM,21.20%,"11,449",PUBLIC ADMINISTRATOR (DEM)
"PIERSON, MICHAEL G.",DEM,17.75%,"9,585",PUBLIC ADMINISTRATOR (DEM)
Under Votes,,0.00%,0,PUBLIC ADMINISTRATOR (DEM)
Over Votes,,0.00%,0,PUBLIC ADMINISTRATOR (DEM)
"ADAM, ANN",REP,12.14%,"6,533",PUBLIC ADMINISTRATOR (REP)
"AUSTIN, DAVID",REP,10.30%,"5,544",PUBLIC ADMINISTRATOR (REP)
"CAMPAGNA, BOB",REP,8.65%,"4,657",PUBLIC ADMINISTRATOR (REP)
"SCHAEFER, MIKE",REP,21.49%,"11,565",PUBLIC ADMINISTRATOR (REP)
"TIPPETTS, IVAN M.",REP,20.97%,"11,286",PUBLIC ADMINISTRATOR (REP)
"WALSH, PAULA",REP,26.46%,"14,242",PUBLIC ADMINISTRATOR (REP)
Under Votes,,0.00%,0,PUBLIC ADMINISTRATOR (REP)
Over Votes,,0.00%,0,PUBLIC ADMINISTRATOR (REP)
"CAHILL, JOHN J.",DEM,64.56%,"5,006","CONSTABLE, HENDERSON TOWNSHIP (DEM)"
"MAHONEY, FRANK",DEM,35.44%,"2,748","CONSTABLE, HENDERSON TOWNSHIP (DEM)"
Under Votes,,0.00%,0,"CONSTABLE, HENDERSON TOWNSHIP (DEM)"
Over Votes,,0.00%,0,"CONSTABLE, HENDERSON TOWNSHIP (DEM)"
"KELLER, BARRY R.",REP,39.72%,"14,589","CONSTABLE, LAS VEGAS TOWNSHIP (REP)"
"SAVAGE, TOM",REP,44.58%,"16,374","CONSTABLE, LAS VEGAS TOWNSHIP (REP)"
"THARP, ROBERT DOUGLAS",REP,15.71%,"5,769","CONSTABLE, LAS VEGAS TOWNSHIP (REP)"
Under Votes,,0.00%,0,"CONSTABLE, LAS VEGAS TOWNSHIP (REP)"
Over Votes,,0.00%,0,"CONSTABLE, LAS VEGAS TOWNSHIP (REP)"
"BROWN, HERB",DEM,60.85%,"2,833","CONSTABLE, NORTH LAS VEGAS TOWNSHIP (DEM)"
"LITTLE, PAT",DEM,39.15%,"1,823","CONSTABLE, NORTH LAS VEGAS TOWNSHIP (DEM)"
Under Votes,,0.00%,0,"CONSTABLE, NORTH LAS VEGAS TOWNSHIP (DEM)"
Over Votes,,0.00%,0,"CONSTABLE, NORTH LAS VEGAS TOWNSHIP (DEM)"
"DABNEY, PHILIP",NP,15.85%,"18,248","DISTRICT COURT JUDGE, DEPARTMENT 10 (NP)"
"GONZALEZ, ELIZABETH",NP,24.11%,"27,755","DISTRICT COURT JUDGE, DEPARTMENT 10 (NP)"
"VOY, BILL",NP,25.74%,"29,639","DISTRICT COURT JUDGE, DEPARTMENT 10 (NP)"
"WALSH, JESSIE ELIZABETH",NP,34.30%,"39,494","DISTRICT COURT JUDGE, DEPARTMENT 10 (NP)"
Under Votes,,0.00%,0,"DISTRICT COURT JUDGE, DEPARTMENT 10 (NP)"
Over Votes,,0.00%,0,"DISTRICT COURT JUDGE, DEPARTMENT 10 (NP)"
"CURTAS, JOHN A.",NP,22.80%,"26,092","DISTRICT COURT JUDGE, DEPARTMENT 14 (NP)"
"MOSLEY, DONALD M.",NP,57.57%,"65,874","DISTRICT COURT JUDGE, DEPARTMENT 14 (NP)"
"POLLOCK, KENNETH E.",NP,19.63%,"22,464","DISTRICT COURT JUDGE, DEPARTMENT 14 (NP)"
Under Votes,,0.00%,0,"DISTRICT COURT JUDGE, DEPARTMENT 14 (NP)"
Over Votes,,0.00%,0,"DISTRICT COURT JUDGE, DEPARTMENT 14 (NP)"
"BECK-NATHAN, GAYLE",NP,14.74%,"16,760","DISTRICT COURT JUDGE, DEPARTMENT 20 (NP)"
"HARTER, MATHEW PAUL",NP,14.15%,"16,083","DISTRICT COURT JUDGE, DEPARTMENT 20 (NP)"
"MASKALL, AURORA",NP,5.58%,"6,342","DISTRICT COURT JUDGE, DEPARTMENT 20 (NP)"
"MCCULLOUGH, LARRY",NP,11.85%,"13,471","DISTRICT COURT JUDGE, DEPARTMENT 20 (NP)"
"SMAGAC, SANDY",NP,18.71%,"21,272","DISTRICT COURT JUDGE, DEPARTMENT 20 (NP)"
"WALL, DAVID",NP,34.96%,"39,745","DISTRICT COURT JUDGE, DEPARTMENT 20 (NP)"
Under Votes,,0.00%,0,"DISTRICT COURT JUDGE, DEPARTMENT 20 (NP)"
Over Votes,,0.00%,0,"DISTRICT COURT JUDGE, DEPARTMENT 20 (NP)"
"ADAIR, VALERIE",NP,39.60%,"46,293","DISTRICT COURT JUDGE, DEPARTMENT 21 (NP)"
"BONGIOVANNI, GERARD J.",NP,22.94%,"26,823","DISTRICT COURT JUDGE, DEPARTMENT 21 (NP)"
"GUO, EVA",NP,5.83%,"6,812","DISTRICT COURT JUDGE, DEPARTMENT 21 (NP)"
"ISRAEL, RON",NP,26.11%,"30,524","DISTRICT COURT JUDGE, DEPARTMENT 21 (NP)"
"ROOT, LEONARD",NP,5.53%,"6,463","DISTRICT COURT JUDGE, DEPARTMENT 21 (NP)"
Under Votes,,0.00%,0,"DISTRICT COURT JUDGE, DEPARTMENT 21 (NP)"
Over Votes,,0.00%,0,"DISTRICT COURT JUDGE, DEPARTMENT 21 (NP)"
"BROWN, LISA",NP,66.89%,"72,824","DISTRICT COURT JUDGE, FAMILY DIVISION DEPT. J (NP)"
"KURTZ, THOMAS G.",NP,26.87%,"29,254","DISTRICT COURT JUDGE, FAMILY DIVISION DEPT. J (NP)"
"PROKOPIUS, DONN W.",NP,6.24%,"6,790","DISTRICT COURT JUDGE, FAMILY DIVISION DEPT. J (NP)"
Under Votes,,0.00%,0,"DISTRICT COURT JUDGE, FAMILY DIVISION DEPT. J (NP)"
Over Votes,,0.00%,0,"DISTRICT COURT JUDGE, FAMILY DIVISION DEPT. J (NP)"
"ELLIOTT, JENNIFER",NP,22.54%,"25,423","DISTRICT COURT JUDGE, FAMILY DIVISION DEPT. L (NP)"
"GUZMAN, F.",NP,15.04%,"16,960","DISTRICT COURT JUDGE, FAMILY DIVISION DEPT. L (NP)"
"HENDERSON, BILL",NP,14.07%,"15,863","DISTRICT COURT JUDGE, FAMILY DIVISION DEPT. L (NP)"
"KURTH, ROBERT",NP,6.03%,"6,796","DISTRICT COURT JUDGE, FAMILY DIVISION DEPT. L (NP)"
"LOK, MERLE",NP,7.42%,"8,367","DISTRICT COURT JUDGE, FAMILY DIVISION DEPT. L (NP)"
"NORWOOD, WALTER V.",NP,3.69%,"4,160","DISTRICT COURT JUDGE, FAMILY DIVISION DEPT. L (NP)"
"RESNICK, RACHELLE",NP,14.59%,"16,456","DISTRICT COURT JUDGE, FAMILY DIVISION DEPT. L (NP)"
"SULLIVAN, FRANK P.",NP,10.66%,"12,025","DISTRICT COURT JUDGE, FAMILY DIVISION DEPT. L (NP)"
"WEAVER, ROB",NP,5.96%,"6,721","DISTRICT COURT JUDGE, FAMILY DIVISION DEPT. L (NP)"
Under Votes,,0.00%,0,"DISTRICT COURT JUDGE, FAMILY DIVISION DEPT. L (NP)"
Over Votes,,0.00%,0,"DISTRICT COURT JUDGE, FAMILY DIVISION DEPT. L (NP)"
"BOYLAN, PATRICK J.",NP,44.41%,"5,967","MEMBER, STATE BOARD OF EDUCATION, DISTRICT 6 (NP)"
"MUMM, PHILIP A.",NP,19.30%,"2,593","MEMBER, STATE BOARD OF EDUCATION, DISTRICT 6 (NP)"
"OCHOA, ALBERT",NP,36.29%,"4,876","MEMBER, STATE BOARD OF EDUCATION, DISTRICT 6 (NP)"
Under Votes,,0.00%,0,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 6 (NP)"
Over Votes,,0.00%,0,"MEMBER, STATE BOARD OF EDUCATION, DISTRICT 6 (NP)"
"AIZLEY, PAUL",NP,31.42%,"3,297","REGENT, STATE UNIVERSITY, DISTRICT 3 (NP)"
"DONDERO, THALIA M.",NP,46.65%,"4,895","REGENT, STATE UNIVERSITY, DISTRICT 3 (NP)"
"YATES, ANDRE D.",NP,21.92%,"2,300","REGENT, STATE UNIVERSITY, DISTRICT 3 (NP)"
Under Votes,,0.00%,0,"REGENT, STATE UNIVERSITY, DISTRICT 3 (NP)"
Over Votes,,0.00%,0,"REGENT, STATE UNIVERSITY, DISTRICT 3 (NP)"
"AGUIRRE, ALDO",NP,34.49%,"2,243","REGENT, STATE UNIVERSITY, DISTRICT 5 (NP)"
"FONDRIASOPOLOUS, DONALD EDWARD",NP,11.36%,739,"REGENT, STATE UNIVERSITY, DISTRICT 5 (NP)"
"SCHOFIELD, JACK LUND",NP,54.15%,"3,522","REGENT, STATE UNIVERSITY, DISTRICT 5 (NP)"
Under Votes,,0.00%,0,"REGENT, STATE UNIVERSITY, DISTRICT 5 (NP)"
Over Votes,,0.00%,0,"REGENT, STATE UNIVERSITY, DISTRICT 5 (NP)"
"ANTHONY, STAVROS",NP,44.16%,"8,134","REGENT, STATE UNIVERSITY, DISTRICT 12 (NP)"
"KNIGHT, JEFF",NP,42.39%,"7,808","REGENT, STATE UNIVERSITY, DISTRICT 12 (NP)"
"RAMIREZ, ANDRES",NP,13.45%,"2,477","REGENT, STATE UNIVERSITY, DISTRICT 12 (NP)"
Under Votes,,0.00%,0,"REGENT, STATE UNIVERSITY, DISTRICT 12 (NP)"
Over Votes,,0.00%,0,"REGENT, STATE UNIVERSITY, DISTRICT 12 (NP)"
"BLEVINS, III, BERT KASH",NP,13.38%,"2,376","TRUSTEE, CLARK COUNTY SCHOOL DISTRICT F (NP)"
"BRAGER, SUSAN C.",NP,54.44%,"9,666","TRUSTEE, CLARK COUNTY SCHOOL DISTRICT F (NP)"
"TRACY, MITCHELL T.",NP,32.17%,"5,712","TRUSTEE, CLARK COUNTY SCHOOL DISTRICT F (NP)"
Under Votes,,0.00%,0,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT F (NP)"
Over Votes,,0.00%,0,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT F (NP)"
