candidate,party,votes,percent,office
"WAGNER, JOHN",INDEPENDENT AMERICAN,1231,6.40,SECRETARY OF STATE
NONE OF THESE CANDIDATES,&nbsp;,559,2.91,SECRETARY OF STATE
"HAWKINS, MIKE",INDEPENDENT AMERICAN,937,4.87,STATE TREASURER
"MARSHALL, KATE (Incumbent)",DEMOCRAT,8834,45.92,STATE TREASURER
"MARTIN, STEVEN E.",REPUBLICAN,8867,46.09,STATE TREASURER
NONE OF THESE CANDIDATES,&nbsp;,600,3.12,STATE TREASURER
"HERR, BARRY",REPUBLICAN,8285,43.29,STATE CONTROLLER
"MARKOWITZ, WARREN",INDEPENDENT AMERICAN,1102,5.76,STATE CONTROLLER
"WALLIN, KIM R. (Incumbent)",DEMOCRAT,8882,46.41,STATE CONTROLLER
NONE OF THESE CANDIDATES,&nbsp;,868,4.54,STATE CONTROLLER
"BARRICK, TRAVIS",REPUBLICAN,7236,37.49,ATTORNEY GENERAL
"CORTEZ  MASTO, CATHERINE (Incumbent)",DEMOCRAT,9691,50.22,ATTORNEY GENERAL
"HANSEN, JOEL F.",INDEPENDENT AMERICAN,1756,9.10,ATTORNEY GENERAL
NONE OF THESE CANDIDATES,&nbsp;,616,3.19,ATTORNEY GENERAL
"QUIRK, CODY J.",INDEPENDENT AMERICAN,683,4.49,"STATE SENATE, CAPITAL SENATORIAL DISTRICT"
"RANFT, KEVIN R.",DEMOCRAT,5152,33.88,"STATE SENATE, CAPITAL SENATORIAL DISTRICT"
"SETTELMEYER, JAMES ARNOLD",REPUBLICAN,9373,61.63,"STATE SENATE, CAPITAL SENATORIAL DISTRICT"
"KIECKHEFER, BEN",REPUBLICAN,2443,67.52,"STATE SENATE, WASHOE DISTRICT 4"
"YOCHUM, M.K.",INDEPENDENT AMERICAN,1175,32.48,"STATE SENATE, WASHOE DISTRICT 4"
"GOMEZ, DENNIS C.",INDEPENDENT AMERICAN,863,24.88,"STATE ASSEMBLY, DISTRICT 38"
"GRADY, TOM (Incumbent)",REPUBLICAN,2605,75.12,"STATE ASSEMBLY, DISTRICT 38"
"LIVERMORE, PETE",REPUBLICAN,7846,50.81,"STATE ASSEMBLY, DISTRICT 40"
"WILLIAMSON, ROBIN L.",DEMOCRAT,7597,49.19,"STATE ASSEMBLY, DISTRICT 40"
"HARDESTY, JAMES W. (Incumbent)",NONPARTISAN,14646,81.84,"SUPREME COURT JUSTICE, SEAT A"
NONE OF THESE CANDIDATES,&nbsp;,3250,18.16,"SUPREME COURT JUSTICE, SEAT A"
"PARRAGUIRRE, RONALD D. (Incumbent)",NONPARTISAN,14244,80.42,"SUPREME COURT JUSTICE, SEAT E"
NONE OF THESE CANDIDATES,&nbsp;,3469,19.58,"SUPREME COURT JUSTICE, SEAT E"
"DAWLEY, DAVID A.",NONPARTISAN,13258,76.65,ASSESSOR - CARSON CITY - NP
"MINDLING, IAN",NONPARTISAN,4038,23.35,ASSESSOR - CARSON CITY - NP
"ABOWD, KAREN L.",NONPARTISAN,9796,54.15,"SUPERVISOR, WARD 1 - CARSON CITY - NP"
"JOINER, ROB",NONPARTISAN,8295,45.85,"SUPERVISOR, WARD 1 - CARSON CITY - NP"
"MCKENNA, JOHN",NONPARTISAN,11135,63.65,"SUPERVISOR, WARD 3 - CARSON CITY - NP"
"WILLIAMS, DAY",NONPARTISAN,6359,36.35,"SUPERVISOR, WARD 3 - CARSON CITY - NP"
"BUSHNER, JULIE",NONPARTISAN,8520,49.48,SCHOOL TRUSTEE DISTRICT 1
"SWIRCZEK, RON",NONPARTISAN,8698,50.52,SCHOOL TRUSTEE DISTRICT 1
"CARLSON, RANDY",NONPARTISAN,7551,45.50,SCHOOL TRUSTEE DISTRICT 6
"MYERS, BARBARA J.",NONPARTISAN,9046,54.50,SCHOOL TRUSTEE DISTRICT 6
"FURLONG, KENNY (Incumbent)",NONPARTISAN,11512,60.70,SHERIFF
"GUIMONT, BOB",NONPARTISAN,7453,39.30,SHERIFF
