candidate,party,votes,percent,office
"NEEDHAM, NICHOLAS",REPUBLICAN,20281,32.16,COUNTY CLERK (REPUBLICAN)
"JOHNSON, BILLY D.",REPUBLICAN,4488,47.19,COUNTY COMMISSION DISTRICT F (REPUBLICAN)
"TRACY, MITCHELL T.",REPUBLICAN,5023,52.81,COUNTY COMMISSION DISTRICT F (REPUBLICAN)
"DICKS, MICHAEL",DEMOCRAT,371,4.16,COUNTY COMMISSION DISTRICT G (DEMOCRATIC)
"ESPOSITO, GREG",DEMOCRAT,2128,23.87,COUNTY COMMISSION DISTRICT G (DEMOCRATIC)
"NEWELL, RON",DEMOCRAT,499,5.60,COUNTY COMMISSION DISTRICT G (DEMOCRATIC)
"PARKS, DAVID",DEMOCRAT,2913,32.68,COUNTY COMMISSION DISTRICT G (DEMOCRATIC)
"SCOW, MARY BETH",DEMOCRAT,3004,33.70,COUNTY COMMISSION DISTRICT G (DEMOCRATIC)
"BONAVENTURA, JOHN",DEMOCRAT,18741,42.80,"CONSTABLE, LAS VEGAS TOWNSHIP (DEMOCRATIC)"
"GRONAUER, ROBERT ""BOBBY G""",DEMOCRAT,16667,38.06,"CONSTABLE, LAS VEGAS TOWNSHIP (DEMOCRATIC)"
"HOLMES, ANTONIO R.",DEMOCRAT,8380,19.14,"CONSTABLE, LAS VEGAS TOWNSHIP (DEMOCRATIC)"
"GARIANO, PETER F.",REPUBLICAN,26706,61.51,"CONSTABLE, LAS VEGAS TOWNSHIP (REPUBLICAN)"
"YEPKO, MICHAEL L.",REPUBLICAN,16713,38.49,"CONSTABLE, LAS VEGAS TOWNSHIP (REPUBLICAN)"
"GARDNER, ANTHONY S.",REPUBLICAN,183,8.80,"CONSTABLE, BOULDER TOWNSHIP (REPUBLICAN)"
"HAMPE, STEVE",REPUBLICAN,1109,53.32,"CONSTABLE, BOULDER TOWNSHIP (REPUBLICAN)"
"KRIEGH, LANI GAY",REPUBLICAN,67,3.22,"CONSTABLE, BOULDER TOWNSHIP (REPUBLICAN)"
"MARKOTAY, LARRY L.",REPUBLICAN,113,5.43,"CONSTABLE, BOULDER TOWNSHIP (REPUBLICAN)"
"PENUELAS, MICHAEL SHAY",REPUBLICAN,357,17.16,"CONSTABLE, BOULDER TOWNSHIP (REPUBLICAN)"
"WOLFE, JOHN G.",REPUBLICAN,251,12.07,"CONSTABLE, BOULDER TOWNSHIP (REPUBLICAN)"
"ALDERMAN, LORRAINE",NONPARTISAN,3764,44.85,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT D)"
"JONES, LES",NONPARTISAN,2099,25.01,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT D)"
"TRUJILLO, JAVIER",NONPARTISAN,2530,30.14,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT D)"
"ALTMAN, BARBARA",NONPARTISAN,4982,20.01,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT F)"
"EDWARDS, CAROLYN",NONPARTISAN,8738,35.09,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT F)"
"LESLIE, MICHAEL J.",NONPARTISAN,3453,13.87,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT F)"
"SMALL, KEN",NONPARTISAN,7730,31.04,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT F)"
"BAKARI, KAMAU",NONPARTISAN,1519,8.84,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT G)"
"BROOKS, JAMES",NONPARTISAN,4327,25.18,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT G)"
"CRANOR, ERIN EARLENE",NONPARTISAN,5796,33.72,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT G)"
"DUPALO, MARTIN DEAN",NONPARTISAN,2498,14.53,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT G)"
"MANN, JERRY V.",NONPARTISAN,3047,17.73,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT G)"
"BARRY, DAN",NONPARTISAN,15313,9.15,SHERIFF)
"BECKERLE, MARK F.",NONPARTISAN,2733,1.63,SHERIFF)
"BISCH, LAURIE P.",NONPARTISAN,23968,14.31,SHERIFF)
"DEAM, TIM",NONPARTISAN,2067,1.23,SHERIFF)
"GILLESPIE, DOUGLAS C.",NONPARTISAN,117153,69.97,SHERIFF)
"MARTINES, GORDON",NONPARTISAN,6211,3.71,SHERIFF)
"SARAGOSA, MELISSA A.",NONPARTISAN,82084,100.00,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 4)"
"SCISCENTO, JOSEPH S.",NONPARTISAN,82676,100.00,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 2)"
"ABBATANGELO, TONY",NONPARTISAN,38528,40.35,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 3)"
"LAMOREUX, LARY G.",NONPARTISAN,26404,27.65,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 3)"
"MARSHALL, JANIECE",NONPARTISAN,30553,32.00,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 3)"
"BONAVENTURE, JOE",NONPARTISAN,87464,100.00,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 9)"
"ANDRESS-TOBIASSON, MELANIE",NONPARTISAN,80460,100.00,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 10)"
"BAUCUM, SUZAN",NONPARTISAN,32489,34.58,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 13)"
"COUMOU, FRANK",NONPARTISAN,17695,18.83,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 13)"
"GUBLER, JAMES LESLIE",NONPARTISAN,17840,18.99,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 13)"
"SCHULMAN, JONATHAN",NONPARTISAN,10990,11.70,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 13)"
"SCOW, RICHARD",NONPARTISAN,14939,15.90,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 13)"
"BECK, COLBY",NONPARTISAN,26919,28.67,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 14)"
"HAFEN, CONRAD",NONPARTISAN,38633,41.14,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 14)"
"ZADROWSKI, BERNIE",NONPARTISAN,28345,30.19,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 14)"
