precinct,office,candidate,votes,jurisdiction
Precinct 3,United States Senator (Democratic),"Berkley, Shelley",39,Humboldt
Precinct 3,United States Senator (Democratic),"Brown, Steve",5,Humboldt
Precinct 3,United States Senator (Democratic),"Ellsworth, Barry",1,Humboldt
Precinct 3,United States Senator (Democratic),"Macias, Louis",1,Humboldt
Precinct 3,United States Senator (Democratic),None Of These Candidates,12,Humboldt
Precinct 3,United States Senator (Democratic),"Price, Nancy",6,Humboldt
Precinct 4,United States Senator (Democratic),"Berkley, Shelley",24,Humboldt
Precinct 4,United States Senator (Democratic),"Brown, Steve",6,Humboldt
Precinct 4,United States Senator (Democratic),"Ellsworth, Barry",1,Humboldt
Precinct 4,United States Senator (Democratic),"Macias, Louis",4,Humboldt
Precinct 4,United States Senator (Democratic),None Of These Candidates,6,Humboldt
Precinct 4,United States Senator (Democratic),"Price, Nancy",6,Humboldt
Precinct 5,United States Senator (Democratic),"Berkley, Shelley",52,Humboldt
Precinct 5,United States Senator (Democratic),"Brown, Steve",3,Humboldt
Precinct 5,United States Senator (Democratic),"Ellsworth, Barry",3,Humboldt
Precinct 5,United States Senator (Democratic),"Macias, Louis",1,Humboldt
Precinct 5,United States Senator (Democratic),None Of These Candidates,7,Humboldt
Precinct 5,United States Senator (Democratic),"Price, Nancy",2,Humboldt
Precinct 6,United States Senator (Democratic),"Berkley, Shelley",32,Humboldt
Precinct 6,United States Senator (Democratic),"Brown, Steve",2,Humboldt
Precinct 6,United States Senator (Democratic),"Ellsworth, Barry",7,Humboldt
Precinct 6,United States Senator (Democratic),"Macias, Louis",0,Humboldt
Precinct 6,United States Senator (Democratic),None Of These Candidates,5,Humboldt
Precinct 6,United States Senator (Democratic),"Price, Nancy",12,Humboldt
Precinct 7,United States Senator (Democratic),"Berkley, Shelley",24,Humboldt
Precinct 7,United States Senator (Democratic),"Brown, Steve",3,Humboldt
Precinct 7,United States Senator (Democratic),"Ellsworth, Barry",2,Humboldt
Precinct 7,United States Senator (Democratic),"Macias, Louis",2,Humboldt
Precinct 7,United States Senator (Democratic),None Of These Candidates,1,Humboldt
Precinct 7,United States Senator (Democratic),"Price, Nancy",0,Humboldt
Precinct 99,United States Senator (Democratic),"Berkley, Shelley",0,Humboldt
Precinct 99,United States Senator (Democratic),"Brown, Steve",0,Humboldt
Precinct 99,United States Senator (Democratic),"Ellsworth, Barry",0,Humboldt
Precinct 99,United States Senator (Democratic),"Macias, Louis",0,Humboldt
Precinct 99,United States Senator (Democratic),None Of These Candidates,0,Humboldt
Precinct 99,United States Senator (Democratic),"Price, Nancy",0,Humboldt
Precinct 1,United States Senator (Republican),"Brooks, Sherry",9,Humboldt
Precinct 1,United States Senator (Republican),"Charles, Richard",0,Humboldt
Precinct 1,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",6,Humboldt
Precinct 1,United States Senator (Republican),"Heller, Dean",92,Humboldt
Precinct 1,United States Senator (Republican),None Of These Candidates,3,Humboldt
Precinct 1,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Humboldt
Precinct 10,United States Senator (Republican),"Brooks, Sherry",4,Humboldt
Precinct 10,United States Senator (Republican),"Charles, Richard",1,Humboldt
Precinct 10,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Humboldt
Precinct 10,United States Senator (Republican),"Heller, Dean",23,Humboldt
Precinct 10,United States Senator (Republican),None Of These Candidates,1,Humboldt
Precinct 10,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Humboldt
Precinct 11,United States Senator (Republican),"Brooks, Sherry",1,Humboldt
Precinct 11,United States Senator (Republican),"Charles, Richard",0,Humboldt
Precinct 11,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Humboldt
Precinct 11,United States Senator (Republican),"Heller, Dean",55,Humboldt
Precinct 11,United States Senator (Republican),None Of These Candidates,3,Humboldt
Precinct 11,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Humboldt
Precinct 12,United States Senator (Republican),"Brooks, Sherry",3,Humboldt
Precinct 12,United States Senator (Republican),"Charles, Richard",1,Humboldt
Precinct 12,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Humboldt
Precinct 12,United States Senator (Republican),"Heller, Dean",63,Humboldt
Precinct 12,United States Senator (Republican),None Of These Candidates,2,Humboldt
Precinct 12,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Humboldt
Precinct 13,United States Senator (Republican),"Brooks, Sherry",4,Humboldt
Precinct 13,United States Senator (Republican),"Charles, Richard",4,Humboldt
Precinct 13,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",3,Humboldt
Precinct 13,United States Senator (Republican),"Heller, Dean",45,Humboldt
Precinct 13,United States Senator (Republican),None Of These Candidates,2,Humboldt
Precinct 13,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Humboldt
Precinct 14,United States Senator (Republican),"Brooks, Sherry",8,Humboldt
Precinct 14,United States Senator (Republican),"Charles, Richard",1,Humboldt
Precinct 14,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",3,Humboldt
Precinct 14,United States Senator (Republican),"Heller, Dean",105,Humboldt
Precinct 14,United States Senator (Republican),None Of These Candidates,7,Humboldt
Precinct 14,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",2,Humboldt
Precinct 15,United States Senator (Republican),"Brooks, Sherry",5,Humboldt
Precinct 15,United States Senator (Republican),"Charles, Richard",1,Humboldt
Precinct 15,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Humboldt
Precinct 15,United States Senator (Republican),"Heller, Dean",15,Humboldt
Precinct 15,United States Senator (Republican),None Of These Candidates,0,Humboldt
Precinct 15,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Humboldt
Precinct 2,United States Senator (Republican),"Brooks, Sherry",6,Humboldt
Precinct 2,United States Senator (Republican),"Charles, Richard",3,Humboldt
Precinct 2,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",3,Humboldt
Precinct 2,United States Senator (Republican),"Heller, Dean",92,Humboldt
Precinct 2,United States Senator (Republican),None Of These Candidates,8,Humboldt
Precinct 2,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",2,Humboldt
Precinct 3,United States Senator (Republican),"Brooks, Sherry",9,Humboldt
Precinct 3,United States Senator (Republican),"Charles, Richard",1,Humboldt
Precinct 3,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",3,Humboldt
Precinct 3,United States Senator (Republican),"Heller, Dean",105,Humboldt
Precinct 3,United States Senator (Republican),None Of These Candidates,8,Humboldt
Precinct 3,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Humboldt
Precinct 4,United States Senator (Republican),"Brooks, Sherry",5,Humboldt
Precinct 4,United States Senator (Republican),"Charles, Richard",4,Humboldt
Precinct 4,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Humboldt
Precinct 4,United States Senator (Republican),"Heller, Dean",70,Humboldt
Precinct 4,United States Senator (Republican),None Of These Candidates,5,Humboldt
Precinct 4,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",1,Humboldt
Precinct 5,United States Senator (Republican),"Brooks, Sherry",5,Humboldt
Precinct 5,United States Senator (Republican),"Charles, Richard",6,Humboldt
Precinct 5,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",3,Humboldt
Precinct 5,United States Senator (Republican),"Heller, Dean",178,Humboldt
Precinct 5,United States Senator (Republican),None Of These Candidates,4,Humboldt
Precinct 5,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Humboldt
Precinct 6,United States Senator (Republican),"Brooks, Sherry",10,Humboldt
Precinct 6,United States Senator (Republican),"Charles, Richard",9,Humboldt
Precinct 6,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",4,Humboldt
Precinct 6,United States Senator (Republican),"Heller, Dean",151,Humboldt
Precinct 6,United States Senator (Republican),None Of These Candidates,7,Humboldt
Precinct 6,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Humboldt
Precinct 7,United States Senator (Republican),"Brooks, Sherry",4,Humboldt
Precinct 7,United States Senator (Republican),"Charles, Richard",1,Humboldt
Precinct 7,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",4,Humboldt
Precinct 7,United States Senator (Republican),"Heller, Dean",118,Humboldt
Precinct 7,United States Senator (Republican),None Of These Candidates,3,Humboldt
Precinct 7,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",1,Humboldt
Precinct 8,United States Senator (Republican),"Brooks, Sherry",2,Humboldt
Precinct 8,United States Senator (Republican),"Charles, Richard",1,Humboldt
Precinct 8,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",1,Humboldt
Precinct 8,United States Senator (Republican),"Heller, Dean",44,Humboldt
Precinct 8,United States Senator (Republican),None Of These Candidates,0,Humboldt
Precinct 8,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Humboldt
Precinct 9,United States Senator (Republican),"Brooks, Sherry",1,Humboldt
Precinct 9,United States Senator (Republican),"Charles, Richard",3,Humboldt
Precinct 9,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Humboldt
Precinct 9,United States Senator (Republican),"Heller, Dean",26,Humboldt
Precinct 9,United States Senator (Republican),None Of These Candidates,2,Humboldt
Precinct 9,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Humboldt
Precinct 99,United States Senator (Republican),"Brooks, Sherry",0,Humboldt
Precinct 99,United States Senator (Republican),"Charles, Richard",0,Humboldt
Precinct 99,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Humboldt
Precinct 99,United States Senator (Republican),"Heller, Dean",0,Humboldt
Precinct 99,United States Senator (Republican),None Of These Candidates,0,Humboldt
Precinct 99,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Humboldt
Precinct 1,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",20,Humboldt
Precinct 1,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",20,Humboldt
Precinct 1,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",7,Humboldt
Precinct 10,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",4,Humboldt
Precinct 10,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",4,Humboldt
Precinct 10,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",7,Humboldt
Precinct 13,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",4,Humboldt
Precinct 13,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",10,Humboldt
Precinct 13,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",3,Humboldt
Precinct 14,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",12,Humboldt
Precinct 14,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",13,Humboldt
Precinct 14,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",9,Humboldt
Precinct 15,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",3,Humboldt
Precinct 15,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",5,Humboldt
Precinct 15,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",2,Humboldt
Precinct 2,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",14,Humboldt
Precinct 2,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",25,Humboldt
Precinct 2,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",20,Humboldt
Precinct 3,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",21,Humboldt
Precinct 3,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",19,Humboldt
Precinct 3,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",15,Humboldt
Precinct 4,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",13,Humboldt
Precinct 4,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",23,Humboldt
Precinct 4,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",7,Humboldt
Precinct 5,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",10,Humboldt
Precinct 5,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",25,Humboldt
Precinct 5,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",21,Humboldt
Precinct 6,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",19,Humboldt
Precinct 6,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",21,Humboldt
Precinct 6,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",16,Humboldt
Precinct 7,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",13,Humboldt
Precinct 7,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",11,Humboldt
Precinct 7,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",3,Humboldt
Precinct 99,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",0,Humboldt
Precinct 99,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",0,Humboldt
Precinct 99,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",0,Humboldt
Precinct 11,United States Senator (Democratic),"Berkley, Shelley",,Humboldt
Precinct 11,United States Senator (Democratic),"Brown, Steve",,Humboldt
Precinct 11,United States Senator (Democratic),"Ellsworth, Barry",,Humboldt
Precinct 11,United States Senator (Democratic),"Macias, Louis",,Humboldt
Precinct 11,United States Senator (Democratic),None Of These Candidates,,Humboldt
Precinct 11,United States Senator (Democratic),"Price, Nancy",,Humboldt
Precinct 12,United States Senator (Democratic),"Berkley, Shelley",,Humboldt
Precinct 12,United States Senator (Democratic),"Brown, Steve",,Humboldt
Precinct 12,United States Senator (Democratic),"Ellsworth, Barry",,Humboldt
Precinct 12,United States Senator (Democratic),"Macias, Louis",,Humboldt
Precinct 12,United States Senator (Democratic),None Of These Candidates,,Humboldt
Precinct 12,United States Senator (Democratic),"Price, Nancy",,Humboldt
Precinct 8,United States Senator (Democratic),"Berkley, Shelley",,Humboldt
Precinct 8,United States Senator (Democratic),"Brown, Steve",,Humboldt
Precinct 8,United States Senator (Democratic),"Ellsworth, Barry",,Humboldt
Precinct 8,United States Senator (Democratic),"Macias, Louis",,Humboldt
Precinct 8,United States Senator (Democratic),None Of These Candidates,,Humboldt
Precinct 8,United States Senator (Democratic),"Price, Nancy",,Humboldt
Precinct 9,United States Senator (Democratic),"Berkley, Shelley",,Humboldt
Precinct 9,United States Senator (Democratic),"Brown, Steve",,Humboldt
Precinct 9,United States Senator (Democratic),"Ellsworth, Barry",,Humboldt
Precinct 9,United States Senator (Democratic),"Macias, Louis",,Humboldt
Precinct 9,United States Senator (Democratic),None Of These Candidates,,Humboldt
Precinct 9,United States Senator (Democratic),"Price, Nancy",,Humboldt
Precinct 11,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",,Humboldt
Precinct 11,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",,Humboldt
Precinct 11,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",,Humboldt
Precinct 12,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",,Humboldt
Precinct 12,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",,Humboldt
Precinct 12,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",,Humboldt
Precinct 8,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",,Humboldt
Precinct 8,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",,Humboldt
Precinct 8,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",,Humboldt
Precinct 9,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",,Humboldt
Precinct 9,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",,Humboldt
Precinct 9,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",,Humboldt
