precinct,office,candidate,votes,jurisdiction
PRECINCT 10,"U.S. Representative in Congress, District 4 (Republican)","Leeds, Robert X.",0,Mineral
PRECINCT 10,"U.S. Representative in Congress, District 4 (Republican)","Schwartz, Dan",0,Mineral
PRECINCT 10,"U.S. Representative in Congress, District 4 (Republican)","Tarkanian, Danny",0,Mineral
PRECINCT 10,"U.S. Representative in Congress, District 4 (Republican)","Wegner, Kenneth A.",0,Mineral
PRECINCT 10,"U.S. Representative in Congress, District 4 (Republican)","Zeller, Sid",0,Mineral
PRECINCT 12,"U.S. Representative in Congress, District 4 (Republican)","Anderson, Diana R.",1,Mineral
PRECINCT 12,"U.S. Representative in Congress, District 4 (Republican)","Cegavske, Barbara K.",2,Mineral
PRECINCT 12,"U.S. Representative in Congress, District 4 (Republican)","Delarosa, Mike",4,Mineral
PRECINCT 12,"U.S. Representative in Congress, District 4 (Republican)","Hill, Kiran",0,Mineral
PRECINCT 12,"U.S. Representative in Congress, District 4 (Republican)","Leeds, Robert X.",0,Mineral
PRECINCT 12,"U.S. Representative in Congress, District 4 (Republican)","Schwartz, Dan",2,Mineral
PRECINCT 12,"U.S. Representative in Congress, District 4 (Republican)","Tarkanian, Danny",30,Mineral
PRECINCT 12,"U.S. Representative in Congress, District 4 (Republican)","Wegner, Kenneth A.",12,Mineral
PRECINCT 12,"U.S. Representative in Congress, District 4 (Republican)","Zeller, Sid",1,Mineral
PRECINCT 2,"U.S. Representative in Congress, District 4 (Republican)","Anderson, Diana R.",2,Mineral
PRECINCT 2,"U.S. Representative in Congress, District 4 (Republican)","Cegavske, Barbara K.",1,Mineral
PRECINCT 2,"U.S. Representative in Congress, District 4 (Republican)","Delarosa, Mike",2,Mineral
PRECINCT 2,"U.S. Representative in Congress, District 4 (Republican)","Hill, Kiran",0,Mineral
PRECINCT 2,"U.S. Representative in Congress, District 4 (Republican)","Leeds, Robert X.",0,Mineral
PRECINCT 2,"U.S. Representative in Congress, District 4 (Republican)","Schwartz, Dan",3,Mineral
PRECINCT 2,"U.S. Representative in Congress, District 4 (Republican)","Tarkanian, Danny",39,Mineral
PRECINCT 2,"U.S. Representative in Congress, District 4 (Republican)","Wegner, Kenneth A.",12,Mineral
PRECINCT 2,"U.S. Representative in Congress, District 4 (Republican)","Zeller, Sid",0,Mineral
PRECINCT 3,"U.S. Representative in Congress, District 4 (Republican)","Anderson, Diana R.",0,Mineral
PRECINCT 3,"U.S. Representative in Congress, District 4 (Republican)","Cegavske, Barbara K.",0,Mineral
PRECINCT 3,"U.S. Representative in Congress, District 4 (Republican)","Delarosa, Mike",1,Mineral
PRECINCT 3,"U.S. Representative in Congress, District 4 (Republican)","Hill, Kiran",0,Mineral
PRECINCT 3,"U.S. Representative in Congress, District 4 (Republican)","Leeds, Robert X.",0,Mineral
PRECINCT 3,"U.S. Representative in Congress, District 4 (Republican)","Schwartz, Dan",2,Mineral
PRECINCT 3,"U.S. Representative in Congress, District 4 (Republican)","Tarkanian, Danny",18,Mineral
PRECINCT 3,"U.S. Representative in Congress, District 4 (Republican)","Wegner, Kenneth A.",7,Mineral
PRECINCT 3,"U.S. Representative in Congress, District 4 (Republican)","Zeller, Sid",1,Mineral
PRECINCT 4,"U.S. Representative in Congress, District 4 (Republican)","Anderson, Diana R.",0,Mineral
PRECINCT 4,"U.S. Representative in Congress, District 4 (Republican)","Cegavske, Barbara K.",0,Mineral
PRECINCT 4,"U.S. Representative in Congress, District 4 (Republican)","Delarosa, Mike",3,Mineral
PRECINCT 4,"U.S. Representative in Congress, District 4 (Republican)","Hill, Kiran",0,Mineral
PRECINCT 4,"U.S. Representative in Congress, District 4 (Republican)","Leeds, Robert X.",0,Mineral
PRECINCT 4,"U.S. Representative in Congress, District 4 (Republican)","Schwartz, Dan",0,Mineral
PRECINCT 4,"U.S. Representative in Congress, District 4 (Republican)","Tarkanian, Danny",28,Mineral
PRECINCT 4,"U.S. Representative in Congress, District 4 (Republican)","Wegner, Kenneth A.",5,Mineral
PRECINCT 4,"U.S. Representative in Congress, District 4 (Republican)","Zeller, Sid",0,Mineral
PRECINCT 5,"U.S. Representative in Congress, District 4 (Republican)","Anderson, Diana R.",1,Mineral
PRECINCT 5,"U.S. Representative in Congress, District 4 (Republican)","Cegavske, Barbara K.",0,Mineral
PRECINCT 5,"U.S. Representative in Congress, District 4 (Republican)","Delarosa, Mike",0,Mineral
PRECINCT 5,"U.S. Representative in Congress, District 4 (Republican)","Hill, Kiran",1,Mineral
PRECINCT 5,"U.S. Representative in Congress, District 4 (Republican)","Leeds, Robert X.",0,Mineral
PRECINCT 5,"U.S. Representative in Congress, District 4 (Republican)","Schwartz, Dan",0,Mineral
PRECINCT 5,"U.S. Representative in Congress, District 4 (Republican)","Tarkanian, Danny",19,Mineral
PRECINCT 5,"U.S. Representative in Congress, District 4 (Republican)","Wegner, Kenneth A.",6,Mineral
PRECINCT 5,"U.S. Representative in Congress, District 4 (Republican)","Zeller, Sid",0,Mineral
PRECINCT 6,"U.S. Representative in Congress, District 4 (Republican)","Anderson, Diana R.",1,Mineral
PRECINCT 6,"U.S. Representative in Congress, District 4 (Republican)","Cegavske, Barbara K.",1,Mineral
PRECINCT 6,"U.S. Representative in Congress, District 4 (Republican)","Delarosa, Mike",1,Mineral
PRECINCT 6,"U.S. Representative in Congress, District 4 (Republican)","Hill, Kiran",0,Mineral
PRECINCT 6,"U.S. Representative in Congress, District 4 (Republican)","Leeds, Robert X.",0,Mineral
PRECINCT 6,"U.S. Representative in Congress, District 4 (Republican)","Schwartz, Dan",0,Mineral
PRECINCT 6,"U.S. Representative in Congress, District 4 (Republican)","Tarkanian, Danny",28,Mineral
PRECINCT 6,"U.S. Representative in Congress, District 4 (Republican)","Wegner, Kenneth A.",3,Mineral
PRECINCT 6,"U.S. Representative in Congress, District 4 (Republican)","Zeller, Sid",1,Mineral
PRECINCT 7,"U.S. Representative in Congress, District 4 (Republican)","Anderson, Diana R.",0,Mineral
PRECINCT 7,"U.S. Representative in Congress, District 4 (Republican)","Cegavske, Barbara K.",3,Mineral
PRECINCT 7,"U.S. Representative in Congress, District 4 (Republican)","Delarosa, Mike",0,Mineral
PRECINCT 7,"U.S. Representative in Congress, District 4 (Republican)","Hill, Kiran",0,Mineral
PRECINCT 7,"U.S. Representative in Congress, District 4 (Republican)","Leeds, Robert X.",0,Mineral
PRECINCT 7,"U.S. Representative in Congress, District 4 (Republican)","Schwartz, Dan",0,Mineral
PRECINCT 7,"U.S. Representative in Congress, District 4 (Republican)","Tarkanian, Danny",6,Mineral
PRECINCT 7,"U.S. Representative in Congress, District 4 (Republican)","Wegner, Kenneth A.",4,Mineral
PRECINCT 7,"U.S. Representative in Congress, District 4 (Republican)","Zeller, Sid",1,Mineral
PRECINCT 9,"U.S. Representative in Congress, District 4 (Republican)","Anderson, Diana R.",2,Mineral
PRECINCT 9,"U.S. Representative in Congress, District 4 (Republican)","Cegavske, Barbara K.",0,Mineral
PRECINCT 9,"U.S. Representative in Congress, District 4 (Republican)","Delarosa, Mike",0,Mineral
PRECINCT 9,"U.S. Representative in Congress, District 4 (Republican)","Hill, Kiran",0,Mineral
PRECINCT 9,"U.S. Representative in Congress, District 4 (Republican)","Leeds, Robert X.",0,Mineral
PRECINCT 9,"U.S. Representative in Congress, District 4 (Republican)","Schwartz, Dan",0,Mineral
PRECINCT 9,"U.S. Representative in Congress, District 4 (Republican)","Tarkanian, Danny",21,Mineral
PRECINCT 9,"U.S. Representative in Congress, District 4 (Republican)","Wegner, Kenneth A.",2,Mineral
PRECINCT 9,"U.S. Representative in Congress, District 4 (Republican)","Zeller, Sid",1,Mineral
PRECINCT 99,"U.S. Representative in Congress, District 4 (Republican)","Anderson, Diana R.",0,Mineral
PRECINCT 99,"U.S. Representative in Congress, District 4 (Republican)","Cegavske, Barbara K.",0,Mineral
PRECINCT 99,"U.S. Representative in Congress, District 4 (Republican)","Delarosa, Mike",0,Mineral
PRECINCT 99,"U.S. Representative in Congress, District 4 (Republican)","Hill, Kiran",0,Mineral
PRECINCT 99,"U.S. Representative in Congress, District 4 (Republican)","Leeds, Robert X.",0,Mineral
PRECINCT 99,"U.S. Representative in Congress, District 4 (Republican)","Schwartz, Dan",0,Mineral
PRECINCT 99,"U.S. Representative in Congress, District 4 (Republican)","Tarkanian, Danny",0,Mineral
PRECINCT 99,"U.S. Representative in Congress, District 4 (Republican)","Wegner, Kenneth A.",0,Mineral
PRECINCT 99,"U.S. Representative in Congress, District 4 (Republican)","Zeller, Sid",0,Mineral
PRECINCT 7,United States Senator (Democratic),"Berkley, Shelley",,Mineral
PRECINCT 7,United States Senator (Democratic),"Brown, Steve",,Mineral
PRECINCT 7,United States Senator (Democratic),"Ellsworth, Barry",,Mineral
PRECINCT 7,United States Senator (Democratic),"Macias, Louis",,Mineral
PRECINCT 7,United States Senator (Democratic),None Of These Candidates,,Mineral
PRECINCT 7,United States Senator (Democratic),"Price, Nancy",,Mineral
PRECINCT 8,United States Senator (Democratic),"Berkley, Shelley",,Mineral
PRECINCT 8,United States Senator (Democratic),"Brown, Steve",,Mineral
PRECINCT 8,United States Senator (Democratic),"Ellsworth, Barry",,Mineral
PRECINCT 8,United States Senator (Democratic),"Macias, Louis",,Mineral
PRECINCT 8,United States Senator (Democratic),None Of These Candidates,,Mineral
PRECINCT 8,United States Senator (Democratic),"Price, Nancy",,Mineral
PRECINCT 11,United States Senator (Republican),"Brooks, Sherry",,Mineral
PRECINCT 11,United States Senator (Republican),"Charles, Richard",,Mineral
PRECINCT 11,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",,Mineral
PRECINCT 11,United States Senator (Republican),"Heller, Dean",,Mineral
PRECINCT 11,United States Senator (Republican),None Of These Candidates,,Mineral
PRECINCT 11,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",,Mineral
PRECINCT 8,United States Senator (Republican),"Brooks, Sherry",,Mineral
PRECINCT 8,United States Senator (Republican),"Charles, Richard",,Mineral
PRECINCT 8,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",,Mineral
PRECINCT 8,United States Senator (Republican),"Heller, Dean",,Mineral
PRECINCT 8,United States Senator (Republican),None Of These Candidates,,Mineral
PRECINCT 8,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",,Mineral
PRECINCT 11,"U.S. Representative in Congress, District 4 (Republican)","Anderson, Diana R.",,Mineral
PRECINCT 11,"U.S. Representative in Congress, District 4 (Republican)","Cegavske, Barbara K.",,Mineral
PRECINCT 11,"U.S. Representative in Congress, District 4 (Republican)","Delarosa, Mike",,Mineral
PRECINCT 11,"U.S. Representative in Congress, District 4 (Republican)","Hill, Kiran",,Mineral
PRECINCT 11,"U.S. Representative in Congress, District 4 (Republican)","Leeds, Robert X.",,Mineral
PRECINCT 11,"U.S. Representative in Congress, District 4 (Republican)","Schwartz, Dan",,Mineral
PRECINCT 11,"U.S. Representative in Congress, District 4 (Republican)","Tarkanian, Danny",,Mineral
PRECINCT 11,"U.S. Representative in Congress, District 4 (Republican)","Wegner, Kenneth A.",,Mineral
PRECINCT 11,"U.S. Representative in Congress, District 4 (Republican)","Zeller, Sid",,Mineral
PRECINCT 8,"U.S. Representative in Congress, District 4 (Republican)","Anderson, Diana R.",,Mineral
PRECINCT 8,"U.S. Representative in Congress, District 4 (Republican)","Cegavske, Barbara K.",,Mineral
PRECINCT 8,"U.S. Representative in Congress, District 4 (Republican)","Delarosa, Mike",,Mineral
PRECINCT 8,"U.S. Representative in Congress, District 4 (Republican)","Hill, Kiran",,Mineral
PRECINCT 8,"U.S. Representative in Congress, District 4 (Republican)","Leeds, Robert X.",,Mineral
PRECINCT 8,"U.S. Representative in Congress, District 4 (Republican)","Schwartz, Dan",,Mineral
PRECINCT 8,"U.S. Representative in Congress, District 4 (Republican)","Tarkanian, Danny",,Mineral
PRECINCT 8,"U.S. Representative in Congress, District 4 (Republican)","Wegner, Kenneth A.",,Mineral
PRECINCT 8,"U.S. Representative in Congress, District 4 (Republican)","Zeller, Sid",,Mineral
