precinct,office,candidate,votes,jurisdiction
1302 - County,United States Senator (Democratic),None Of These Candidates,0,Clark
1302 - County,United States Senator (Democratic),"Price, Nancy",2,Clark
1303 - County,United States Senator (Democratic),"Berkley, Shelley",53,Clark
1303 - County,United States Senator (Democratic),"Brown, Steve",4,Clark
1303 - County,United States Senator (Democratic),"Ellsworth, Barry",1,Clark
1303 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1303 - County,United States Senator (Democratic),None Of These Candidates,2,Clark
1303 - County,United States Senator (Democratic),"Price, Nancy",2,Clark
1304 - County,United States Senator (Democratic),"Berkley, Shelley",73,Clark
1304 - County,United States Senator (Democratic),"Brown, Steve",3,Clark
1304 - County,United States Senator (Democratic),"Ellsworth, Barry",2,Clark
1304 - County,United States Senator (Democratic),"Macias, Louis",2,Clark
1304 - County,United States Senator (Democratic),None Of These Candidates,0,Clark
1304 - County,United States Senator (Democratic),"Price, Nancy",1,Clark
1307 - County,United States Senator (Democratic),"Berkley, Shelley",51,Clark
1307 - County,United States Senator (Democratic),"Brown, Steve",1,Clark
1307 - County,United States Senator (Democratic),"Ellsworth, Barry",1,Clark
1307 - County,United States Senator (Democratic),"Macias, Louis",1,Clark
1307 - County,United States Senator (Democratic),None Of These Candidates,2,Clark
1307 - County,United States Senator (Democratic),"Price, Nancy",1,Clark
1318 - County,United States Senator (Democratic),"Berkley, Shelley",20,Clark
1318 - County,United States Senator (Democratic),"Brown, Steve",1,Clark
1318 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1318 - County,United States Senator (Democratic),"Macias, Louis",4,Clark
1318 - County,United States Senator (Democratic),None Of These Candidates,3,Clark
1318 - County,United States Senator (Democratic),"Price, Nancy",5,Clark
1327 - County,United States Senator (Democratic),"Berkley, Shelley",31,Clark
1327 - County,United States Senator (Democratic),"Brown, Steve",1,Clark
1327 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1327 - County,United States Senator (Democratic),"Macias, Louis",3,Clark
1327 - County,United States Senator (Democratic),None Of These Candidates,2,Clark
1327 - County,United States Senator (Democratic),"Price, Nancy",1,Clark
1328 - County,United States Senator (Democratic),"Berkley, Shelley",21,Clark
1328 - County,United States Senator (Democratic),"Brown, Steve",1,Clark
1328 - County,United States Senator (Democratic),"Ellsworth, Barry",1,Clark
1328 - County,United States Senator (Democratic),"Macias, Louis",1,Clark
1328 - County,United States Senator (Democratic),None Of These Candidates,1,Clark
1328 - County,United States Senator (Democratic),"Price, Nancy",1,Clark
1330 - County,United States Senator (Democratic),"Berkley, Shelley",47,Clark
1330 - County,United States Senator (Democratic),"Brown, Steve",2,Clark
1330 - County,United States Senator (Democratic),"Ellsworth, Barry",3,Clark
1330 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1330 - County,United States Senator (Democratic),None Of These Candidates,2,Clark
1330 - County,United States Senator (Democratic),"Price, Nancy",2,Clark
1331 - County,United States Senator (Democratic),"Berkley, Shelley",28,Clark
1331 - County,United States Senator (Democratic),"Brown, Steve",5,Clark
1331 - County,United States Senator (Democratic),"Ellsworth, Barry",2,Clark
1331 - County,United States Senator (Democratic),"Macias, Louis",2,Clark
1331 - County,United States Senator (Democratic),None Of These Candidates,0,Clark
1331 - County,United States Senator (Democratic),"Price, Nancy",3,Clark
1332 - County,United States Senator (Democratic),"Berkley, Shelley",15,Clark
1332 - County,United States Senator (Democratic),"Brown, Steve",3,Clark
1332 - County,United States Senator (Democratic),"Ellsworth, Barry",1,Clark
1332 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1332 - County,United States Senator (Democratic),None Of These Candidates,2,Clark
1332 - County,United States Senator (Democratic),"Price, Nancy",2,Clark
1333 - County,United States Senator (Democratic),"Berkley, Shelley",45,Clark
1333 - County,United States Senator (Democratic),"Brown, Steve",6,Clark
1333 - County,United States Senator (Democratic),"Ellsworth, Barry",1,Clark
1333 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1333 - County,United States Senator (Democratic),None Of These Candidates,0,Clark
1333 - County,United States Senator (Democratic),"Price, Nancy",1,Clark
1334 - County,United States Senator (Democratic),"Berkley, Shelley",52,Clark
1334 - County,United States Senator (Democratic),"Brown, Steve",3,Clark
1334 - County,United States Senator (Democratic),"Ellsworth, Barry",2,Clark
1334 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1334 - County,United States Senator (Democratic),None Of These Candidates,3,Clark
1334 - County,United States Senator (Democratic),"Price, Nancy",6,Clark
1335 - County,United States Senator (Democratic),"Berkley, Shelley",52,Clark
1335 - County,United States Senator (Democratic),"Brown, Steve",0,Clark
1335 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1335 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1335 - County,United States Senator (Democratic),None Of These Candidates,2,Clark
1335 - County,United States Senator (Democratic),"Price, Nancy",3,Clark
1336 - County,United States Senator (Democratic),"Berkley, Shelley",23,Clark
1336 - County,United States Senator (Democratic),"Brown, Steve",0,Clark
1336 - County,United States Senator (Democratic),"Ellsworth, Barry",2,Clark
1336 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1336 - County,United States Senator (Democratic),None Of These Candidates,0,Clark
1336 - County,United States Senator (Democratic),"Price, Nancy",1,Clark
1337 - County,United States Senator (Democratic),"Berkley, Shelley",35,Clark
1337 - County,United States Senator (Democratic),"Brown, Steve",0,Clark
1337 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1337 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1337 - County,United States Senator (Democratic),None Of These Candidates,1,Clark
1337 - County,United States Senator (Democratic),"Price, Nancy",5,Clark
1340 - County,United States Senator (Democratic),"Berkley, Shelley",34,Clark
1340 - County,United States Senator (Democratic),"Brown, Steve",0,Clark
1340 - County,United States Senator (Democratic),"Ellsworth, Barry",6,Clark
1340 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1340 - County,United States Senator (Democratic),None Of These Candidates,2,Clark
1340 - County,United States Senator (Democratic),"Price, Nancy",1,Clark
1341 - County,United States Senator (Democratic),"Berkley, Shelley",41,Clark
1341 - County,United States Senator (Democratic),"Brown, Steve",4,Clark
1341 - County,United States Senator (Democratic),"Ellsworth, Barry",1,Clark
1341 - County,United States Senator (Democratic),"Macias, Louis",1,Clark
1341 - County,United States Senator (Democratic),None Of These Candidates,1,Clark
1341 - County,United States Senator (Democratic),"Price, Nancy",0,Clark
1342 - County,United States Senator (Democratic),"Berkley, Shelley",43,Clark
1342 - County,United States Senator (Democratic),"Brown, Steve",2,Clark
1342 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1342 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1342 - County,United States Senator (Democratic),None Of These Candidates,1,Clark
1342 - County,United States Senator (Democratic),"Price, Nancy",3,Clark
1343 - County,United States Senator (Democratic),"Berkley, Shelley",32,Clark
1343 - County,United States Senator (Democratic),"Brown, Steve",0,Clark
1343 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1343 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1343 - County,United States Senator (Democratic),None Of These Candidates,1,Clark
1343 - County,United States Senator (Democratic),"Price, Nancy",1,Clark
1344 - County,United States Senator (Democratic),"Berkley, Shelley",34,Clark
1344 - County,United States Senator (Democratic),"Brown, Steve",0,Clark
1344 - County,United States Senator (Democratic),"Ellsworth, Barry",4,Clark
1344 - County,United States Senator (Democratic),"Macias, Louis",1,Clark
1344 - County,United States Senator (Democratic),None Of These Candidates,1,Clark
1344 - County,United States Senator (Democratic),"Price, Nancy",0,Clark
1345 - County,United States Senator (Democratic),"Berkley, Shelley",15,Clark
1345 - County,United States Senator (Democratic),"Brown, Steve",0,Clark
1345 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1345 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1345 - County,United States Senator (Democratic),None Of These Candidates,1,Clark
1345 - County,United States Senator (Democratic),"Price, Nancy",1,Clark
1346 - County,United States Senator (Democratic),"Berkley, Shelley",66,Clark
1346 - County,United States Senator (Democratic),"Brown, Steve",1,Clark
1346 - County,United States Senator (Democratic),"Ellsworth, Barry",1,Clark
1346 - County,United States Senator (Democratic),"Macias, Louis",4,Clark
1346 - County,United States Senator (Democratic),None Of These Candidates,1,Clark
1346 - County,United States Senator (Democratic),"Price, Nancy",5,Clark
1348 - County,United States Senator (Democratic),"Berkley, Shelley",13,Clark
1348 - County,United States Senator (Democratic),"Brown, Steve",3,Clark
1348 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1348 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1348 - County,United States Senator (Democratic),None Of These Candidates,1,Clark
1348 - County,United States Senator (Democratic),"Price, Nancy",1,Clark
1349 - County,United States Senator (Democratic),"Berkley, Shelley",15,Clark
1349 - County,United States Senator (Democratic),"Brown, Steve",2,Clark
1349 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1349 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1349 - County,United States Senator (Democratic),None Of These Candidates,1,Clark
1349 - County,United States Senator (Democratic),"Price, Nancy",1,Clark
1351 - County,United States Senator (Democratic),"Berkley, Shelley",27,Clark
1351 - County,United States Senator (Democratic),"Brown, Steve",3,Clark
1351 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1351 - County,United States Senator (Democratic),"Macias, Louis",1,Clark
1351 - County,United States Senator (Democratic),None Of These Candidates,0,Clark
1351 - County,United States Senator (Democratic),"Price, Nancy",1,Clark
1352 - County,United States Senator (Democratic),"Berkley, Shelley",27,Clark
1352 - County,United States Senator (Democratic),"Brown, Steve",5,Clark
1352 - County,United States Senator (Democratic),"Ellsworth, Barry",1,Clark
1352 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1352 - County,United States Senator (Democratic),None Of These Candidates,1,Clark
1352 - County,United States Senator (Democratic),"Price, Nancy",2,Clark
1353 - County,United States Senator (Democratic),"Berkley, Shelley",27,Clark
1353 - County,United States Senator (Democratic),"Brown, Steve",5,Clark
1353 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1353 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1353 - County,United States Senator (Democratic),None Of These Candidates,0,Clark
1353 - County,United States Senator (Democratic),"Price, Nancy",1,Clark
1354 - County,United States Senator (Democratic),"Berkley, Shelley",14,Clark
1354 - County,United States Senator (Democratic),"Brown, Steve",1,Clark
1354 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1354 - County,United States Senator (Democratic),"Macias, Louis",1,Clark
1354 - County,United States Senator (Democratic),None Of These Candidates,0,Clark
1354 - County,United States Senator (Democratic),"Price, Nancy",1,Clark
1356 - County,United States Senator (Democratic),"Berkley, Shelley",22,Clark
1356 - County,United States Senator (Democratic),"Brown, Steve",2,Clark
1356 - County,United States Senator (Democratic),"Ellsworth, Barry",1,Clark
1356 - County,United States Senator (Democratic),"Macias, Louis",3,Clark
1356 - County,United States Senator (Democratic),None Of These Candidates,0,Clark
1356 - County,United States Senator (Democratic),"Price, Nancy",3,Clark
1360 - County,United States Senator (Democratic),"Berkley, Shelley",0,Clark
1360 - County,United States Senator (Democratic),"Brown, Steve",0,Clark
1360 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1360 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1360 - County,United States Senator (Democratic),None Of These Candidates,0,Clark
1360 - County,United States Senator (Democratic),"Price, Nancy",0,Clark
1361 - County,United States Senator (Democratic),"Berkley, Shelley",0,Clark
1361 - County,United States Senator (Democratic),"Brown, Steve",0,Clark
1361 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1361 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1361 - County,United States Senator (Democratic),None Of These Candidates,0,Clark
1361 - County,United States Senator (Democratic),"Price, Nancy",0,Clark
1363 - County,United States Senator (Democratic),"Berkley, Shelley",0,Clark
1363 - County,United States Senator (Democratic),"Brown, Steve",0,Clark
1363 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1363 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1363 - County,United States Senator (Democratic),None Of These Candidates,0,Clark
1363 - County,United States Senator (Democratic),"Price, Nancy",0,Clark
1365 - County,United States Senator (Democratic),"Berkley, Shelley",0,Clark
1365 - County,United States Senator (Democratic),"Brown, Steve",0,Clark
1365 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1365 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1365 - County,United States Senator (Democratic),None Of These Candidates,0,Clark
1365 - County,United States Senator (Democratic),"Price, Nancy",0,Clark
1367 - County,United States Senator (Democratic),"Berkley, Shelley",31,Clark
1367 - County,United States Senator (Democratic),"Brown, Steve",0,Clark
1367 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1367 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1367 - County,United States Senator (Democratic),None Of These Candidates,0,Clark
1367 - County,United States Senator (Democratic),"Price, Nancy",2,Clark
1368 - County,United States Senator (Democratic),"Berkley, Shelley",21,Clark
1368 - County,United States Senator (Democratic),"Brown, Steve",2,Clark
1368 - County,United States Senator (Democratic),"Ellsworth, Barry",2,Clark
1368 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1368 - County,United States Senator (Democratic),None Of These Candidates,0,Clark
1368 - County,United States Senator (Democratic),"Price, Nancy",1,Clark
1370 - County,United States Senator (Democratic),"Berkley, Shelley",0,Clark
1370 - County,United States Senator (Democratic),"Brown, Steve",0,Clark
1370 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1370 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1370 - County,United States Senator (Democratic),None Of These Candidates,0,Clark
1370 - County,United States Senator (Democratic),"Price, Nancy",0,Clark
1373 - County,United States Senator (Democratic),"Berkley, Shelley",0,Clark
1373 - County,United States Senator (Democratic),"Brown, Steve",0,Clark
1373 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1373 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1373 - County,United States Senator (Democratic),None Of These Candidates,0,Clark
1373 - County,United States Senator (Democratic),"Price, Nancy",0,Clark
1374 - County,United States Senator (Democratic),"Berkley, Shelley",0,Clark
1374 - County,United States Senator (Democratic),"Brown, Steve",0,Clark
1374 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1374 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1374 - County,United States Senator (Democratic),None Of These Candidates,0,Clark
1374 - County,United States Senator (Democratic),"Price, Nancy",0,Clark
1375 - County,United States Senator (Democratic),"Berkley, Shelley",0,Clark
1375 - County,United States Senator (Democratic),"Brown, Steve",0,Clark
1375 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1375 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1375 - County,United States Senator (Democratic),None Of These Candidates,0,Clark
1375 - County,United States Senator (Democratic),"Price, Nancy",0,Clark
1376 - County,United States Senator (Democratic),"Berkley, Shelley",0,Clark
1376 - County,United States Senator (Democratic),"Brown, Steve",0,Clark
1376 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1376 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1376 - County,United States Senator (Democratic),None Of These Candidates,0,Clark
1376 - County,United States Senator (Democratic),"Price, Nancy",0,Clark
1378 - County,United States Senator (Democratic),"Berkley, Shelley",0,Clark
1378 - County,United States Senator (Democratic),"Brown, Steve",0,Clark
1378 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1378 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1378 - County,United States Senator (Democratic),None Of These Candidates,0,Clark
1378 - County,United States Senator (Democratic),"Price, Nancy",0,Clark
1379 - County,United States Senator (Democratic),"Berkley, Shelley",0,Clark
1379 - County,United States Senator (Democratic),"Brown, Steve",0,Clark
1379 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1379 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1379 - County,United States Senator (Democratic),None Of These Candidates,0,Clark
1379 - County,United States Senator (Democratic),"Price, Nancy",0,Clark
1380 - County,United States Senator (Democratic),"Berkley, Shelley",0,Clark
1380 - County,United States Senator (Democratic),"Brown, Steve",0,Clark
1380 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1380 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1380 - County,United States Senator (Democratic),None Of These Candidates,0,Clark
1380 - County,United States Senator (Democratic),"Price, Nancy",0,Clark
1381 - County,United States Senator (Democratic),"Berkley, Shelley",0,Clark
1381 - County,United States Senator (Democratic),"Brown, Steve",0,Clark
1381 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1381 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1381 - County,United States Senator (Democratic),None Of These Candidates,0,Clark
1381 - County,United States Senator (Democratic),"Price, Nancy",0,Clark
1382 - County,United States Senator (Democratic),"Berkley, Shelley",0,Clark
1382 - County,United States Senator (Democratic),"Brown, Steve",0,Clark
1382 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1382 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1382 - County,United States Senator (Democratic),None Of These Candidates,0,Clark
1382 - County,United States Senator (Democratic),"Price, Nancy",0,Clark
1385 - County,United States Senator (Democratic),"Berkley, Shelley",0,Clark
1385 - County,United States Senator (Democratic),"Brown, Steve",0,Clark
1385 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1385 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1385 - County,United States Senator (Democratic),None Of These Candidates,0,Clark
1385 - County,United States Senator (Democratic),"Price, Nancy",0,Clark
1386 - County,United States Senator (Democratic),"Berkley, Shelley",0,Clark
1386 - County,United States Senator (Democratic),"Brown, Steve",0,Clark
1386 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1386 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1386 - County,United States Senator (Democratic),None Of These Candidates,0,Clark
1386 - County,United States Senator (Democratic),"Price, Nancy",0,Clark
1387 - County,United States Senator (Democratic),"Berkley, Shelley",0,Clark
1387 - County,United States Senator (Democratic),"Brown, Steve",0,Clark
1387 - County,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1387 - County,United States Senator (Democratic),"Macias, Louis",0,Clark
1387 - County,United States Senator (Democratic),None Of These Candidates,0,Clark
1387 - County,United States Senator (Democratic),"Price, Nancy",0,Clark
1390 - HEN,United States Senator (Democratic),"Berkley, Shelley",51,Clark
1390 - HEN,United States Senator (Democratic),"Brown, Steve",3,Clark
1390 - HEN,United States Senator (Democratic),"Ellsworth, Barry",1,Clark
1390 - HEN,United States Senator (Democratic),"Macias, Louis",1,Clark
1390 - HEN,United States Senator (Democratic),None Of These Candidates,1,Clark
1390 - HEN,United States Senator (Democratic),"Price, Nancy",4,Clark
1391 - HEN,United States Senator (Democratic),"Berkley, Shelley",29,Clark
1391 - HEN,United States Senator (Democratic),"Brown, Steve",2,Clark
1391 - HEN,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1391 - HEN,United States Senator (Democratic),"Macias, Louis",1,Clark
1391 - HEN,United States Senator (Democratic),None Of These Candidates,1,Clark
1391 - HEN,United States Senator (Democratic),"Price, Nancy",0,Clark
1394 - HEN,United States Senator (Democratic),"Berkley, Shelley",58,Clark
1394 - HEN,United States Senator (Democratic),"Brown, Steve",3,Clark
1394 - HEN,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1394 - HEN,United States Senator (Democratic),"Macias, Louis",1,Clark
1394 - HEN,United States Senator (Democratic),None Of These Candidates,1,Clark
1394 - HEN,United States Senator (Democratic),"Price, Nancy",1,Clark
1395 - HEN,United States Senator (Democratic),"Berkley, Shelley",49,Clark
1395 - HEN,United States Senator (Democratic),"Brown, Steve",2,Clark
1395 - HEN,United States Senator (Democratic),"Ellsworth, Barry",2,Clark
1395 - HEN,United States Senator (Democratic),"Macias, Louis",0,Clark
1395 - HEN,United States Senator (Democratic),None Of These Candidates,1,Clark
1395 - HEN,United States Senator (Democratic),"Price, Nancy",0,Clark
1396 - HEN,United States Senator (Democratic),"Berkley, Shelley",36,Clark
1396 - HEN,United States Senator (Democratic),"Brown, Steve",2,Clark
1396 - HEN,United States Senator (Democratic),"Ellsworth, Barry",2,Clark
1396 - HEN,United States Senator (Democratic),"Macias, Louis",1,Clark
1396 - HEN,United States Senator (Democratic),None Of These Candidates,0,Clark
1396 - HEN,United States Senator (Democratic),"Price, Nancy",3,Clark
1410 - HEN,United States Senator (Democratic),"Berkley, Shelley",50,Clark
1410 - HEN,United States Senator (Democratic),"Brown, Steve",1,Clark
1410 - HEN,United States Senator (Democratic),"Ellsworth, Barry",1,Clark
1410 - HEN,United States Senator (Democratic),"Macias, Louis",1,Clark
1410 - HEN,United States Senator (Democratic),None Of These Candidates,3,Clark
1410 - HEN,United States Senator (Democratic),"Price, Nancy",4,Clark
1411 - HEN,United States Senator (Democratic),"Berkley, Shelley",45,Clark
1411 - HEN,United States Senator (Democratic),"Brown, Steve",5,Clark
1411 - HEN,United States Senator (Democratic),"Ellsworth, Barry",2,Clark
1411 - HEN,United States Senator (Democratic),"Macias, Louis",1,Clark
1411 - HEN,United States Senator (Democratic),None Of These Candidates,2,Clark
1411 - HEN,United States Senator (Democratic),"Price, Nancy",3,Clark
1509 - HEN,United States Senator (Democratic),"Berkley, Shelley",46,Clark
1509 - HEN,United States Senator (Democratic),"Brown, Steve",0,Clark
1509 - HEN,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1509 - HEN,United States Senator (Democratic),"Macias, Louis",2,Clark
1509 - HEN,United States Senator (Democratic),None Of These Candidates,1,Clark
1509 - HEN,United States Senator (Democratic),"Price, Nancy",2,Clark
1510 - HEN,United States Senator (Democratic),"Berkley, Shelley",26,Clark
1510 - HEN,United States Senator (Democratic),"Brown, Steve",0,Clark
1510 - HEN,United States Senator (Democratic),"Ellsworth, Barry",1,Clark
1510 - HEN,United States Senator (Democratic),"Macias, Louis",0,Clark
1510 - HEN,United States Senator (Democratic),None Of These Candidates,1,Clark
1510 - HEN,United States Senator (Democratic),"Price, Nancy",1,Clark
1511 - HEN,United States Senator (Democratic),"Berkley, Shelley",48,Clark
1511 - HEN,United States Senator (Democratic),"Brown, Steve",1,Clark
1511 - HEN,United States Senator (Democratic),"Ellsworth, Barry",3,Clark
1511 - HEN,United States Senator (Democratic),"Macias, Louis",0,Clark
1511 - HEN,United States Senator (Democratic),None Of These Candidates,2,Clark
1511 - HEN,United States Senator (Democratic),"Price, Nancy",0,Clark
1513 - HEN,United States Senator (Democratic),"Berkley, Shelley",38,Clark
1513 - HEN,United States Senator (Democratic),"Brown, Steve",2,Clark
1513 - HEN,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1513 - HEN,United States Senator (Democratic),"Macias, Louis",0,Clark
1513 - HEN,United States Senator (Democratic),None Of These Candidates,3,Clark
1513 - HEN,United States Senator (Democratic),"Price, Nancy",1,Clark
1514 - HEN,United States Senator (Democratic),"Berkley, Shelley",43,Clark
1514 - HEN,United States Senator (Democratic),"Brown, Steve",0,Clark
1514 - HEN,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1514 - HEN,United States Senator (Democratic),"Macias, Louis",0,Clark
1514 - HEN,United States Senator (Democratic),None Of These Candidates,2,Clark
1514 - HEN,United States Senator (Democratic),"Price, Nancy",2,Clark
1517 - HEN,United States Senator (Democratic),"Berkley, Shelley",80,Clark
1517 - HEN,United States Senator (Democratic),"Brown, Steve",5,Clark
1517 - HEN,United States Senator (Democratic),"Ellsworth, Barry",2,Clark
1517 - HEN,United States Senator (Democratic),"Macias, Louis",1,Clark
1517 - HEN,United States Senator (Democratic),None Of These Candidates,2,Clark
1517 - HEN,United States Senator (Democratic),"Price, Nancy",5,Clark
1518 - HEN,United States Senator (Democratic),"Berkley, Shelley",70,Clark
1518 - HEN,United States Senator (Democratic),"Brown, Steve",0,Clark
1518 - HEN,United States Senator (Democratic),"Ellsworth, Barry",3,Clark
1518 - HEN,United States Senator (Democratic),"Macias, Louis",0,Clark
1518 - HEN,United States Senator (Democratic),None Of These Candidates,2,Clark
1518 - HEN,United States Senator (Democratic),"Price, Nancy",2,Clark
1519 - HEN,United States Senator (Democratic),"Berkley, Shelley",18,Clark
1519 - HEN,United States Senator (Democratic),"Brown, Steve",2,Clark
1519 - HEN,United States Senator (Democratic),"Ellsworth, Barry",0,Clark
1519 - HEN,United States Senator (Democratic),"Macias, Louis",1,Clark
1519 - HEN,United States Senator (Democratic),None Of These Candidates,1,Clark
1519 - HEN,United States Senator (Democratic),"Price, Nancy",0,Clark
