precinct,office,candidate,votes,jurisdiction
2 - CALIENTE,"State Assembly, District 36 (Republican)","Oscarson, James",2,Lincoln
2 - CALIENTE,"State Assembly, District 36 (Republican)","Schlumpf, Nathan ""Nate""",3,Lincoln
5 - RACHEL,United States Senator (Democratic),"Berkley, Shelley",,Lincoln
5 - RACHEL,United States Senator (Democratic),"Brown, Steve",,Lincoln
5 - RACHEL,United States Senator (Democratic),"Ellsworth, Barry",,Lincoln
5 - RACHEL,United States Senator (Democratic),"Macias, Louis",,Lincoln
5 - RACHEL,United States Senator (Democratic),None Of These Candidates,,Lincoln
5 - RACHEL,United States Senator (Democratic),"Price, Nancy",,Lincoln
5 - RACHEL,"U.S. Representative in Congress, District 4 (Republican)","Anderson, Diana R.",,Lincoln
5 - RACHEL,"U.S. Representative in Congress, District 4 (Republican)","Cegavske, Barbara K.",,Lincoln
5 - RACHEL,"U.S. Representative in Congress, District 4 (Republican)","Delarosa, Mike",,Lincoln
5 - RACHEL,"U.S. Representative in Congress, District 4 (Republican)","Hill, Kiran",,Lincoln
5 - RACHEL,"U.S. Representative in Congress, District 4 (Republican)","Leeds, Robert X.",,Lincoln
5 - RACHEL,"U.S. Representative in Congress, District 4 (Republican)","Schwartz, Dan",,Lincoln
5 - RACHEL,"U.S. Representative in Congress, District 4 (Republican)","Tarkanian, Danny",,Lincoln
5 - RACHEL,"U.S. Representative in Congress, District 4 (Republican)","Wegner, Kenneth A.",,Lincoln
5 - RACHEL,"U.S. Representative in Congress, District 4 (Republican)","Zeller, Sid",,Lincoln
5 - RACHEL,"State Assembly, District 36 (Republican)","Grudzinski, Walt",,Lincoln
5 - RACHEL,"State Assembly, District 36 (Republican)","Leatham, Delmar W.",,Lincoln
5 - RACHEL,"State Assembly, District 36 (Republican)","Oscarson, James",,Lincoln
5 - RACHEL,"State Assembly, District 36 (Republican)","Schlumpf, Nathan ""Nate""",,Lincoln
