precinct,office,candidate,votes,jurisdiction
Precinct 201,United States Senator (Democratic),"Ellsworth, Barry",0,Carson City
Precinct 201,United States Senator (Democratic),"Macias, Louis",1,Carson City
Precinct 201,United States Senator (Democratic),None Of These Candidates,1,Carson City
Precinct 201,United States Senator (Democratic),"Price, Nancy",4,Carson City
Precinct 203,United States Senator (Democratic),"Berkley, Shelley",92,Carson City
Precinct 203,United States Senator (Democratic),"Brown, Steve",5,Carson City
Precinct 203,United States Senator (Democratic),"Ellsworth, Barry",2,Carson City
Precinct 203,United States Senator (Democratic),"Macias, Louis",1,Carson City
Precinct 203,United States Senator (Democratic),None Of These Candidates,16,Carson City
Precinct 203,United States Senator (Democratic),"Price, Nancy",9,Carson City
Precinct 205,United States Senator (Democratic),"Berkley, Shelley",78,Carson City
Precinct 205,United States Senator (Democratic),"Brown, Steve",4,Carson City
Precinct 205,United States Senator (Democratic),"Ellsworth, Barry",3,Carson City
Precinct 205,United States Senator (Democratic),"Macias, Louis",1,Carson City
Precinct 205,United States Senator (Democratic),None Of These Candidates,8,Carson City
Precinct 205,United States Senator (Democratic),"Price, Nancy",7,Carson City
Precinct 207,United States Senator (Democratic),"Berkley, Shelley",63,Carson City
Precinct 207,United States Senator (Democratic),"Brown, Steve",10,Carson City
Precinct 207,United States Senator (Democratic),"Ellsworth, Barry",5,Carson City
Precinct 207,United States Senator (Democratic),"Macias, Louis",1,Carson City
Precinct 207,United States Senator (Democratic),None Of These Candidates,8,Carson City
Precinct 207,United States Senator (Democratic),"Price, Nancy",10,Carson City
Precinct 209,United States Senator (Democratic),"Berkley, Shelley",47,Carson City
Precinct 209,United States Senator (Democratic),"Brown, Steve",5,Carson City
Precinct 209,United States Senator (Democratic),"Ellsworth, Barry",3,Carson City
Precinct 209,United States Senator (Democratic),"Macias, Louis",4,Carson City
Precinct 209,United States Senator (Democratic),None Of These Candidates,6,Carson City
Precinct 209,United States Senator (Democratic),"Price, Nancy",9,Carson City
Precinct 211,United States Senator (Democratic),"Berkley, Shelley",41,Carson City
Precinct 211,United States Senator (Democratic),"Brown, Steve",3,Carson City
Precinct 211,United States Senator (Democratic),"Ellsworth, Barry",3,Carson City
Precinct 211,United States Senator (Democratic),"Macias, Louis",1,Carson City
Precinct 211,United States Senator (Democratic),None Of These Candidates,5,Carson City
Precinct 211,United States Senator (Democratic),"Price, Nancy",10,Carson City
Precinct 301,United States Senator (Democratic),"Berkley, Shelley",38,Carson City
Precinct 301,United States Senator (Democratic),"Brown, Steve",4,Carson City
Precinct 301,United States Senator (Democratic),"Ellsworth, Barry",2,Carson City
Precinct 301,United States Senator (Democratic),"Macias, Louis",1,Carson City
Precinct 301,United States Senator (Democratic),None Of These Candidates,3,Carson City
Precinct 301,United States Senator (Democratic),"Price, Nancy",9,Carson City
Precinct 303,United States Senator (Democratic),"Berkley, Shelley",84,Carson City
Precinct 303,United States Senator (Democratic),"Brown, Steve",3,Carson City
Precinct 303,United States Senator (Democratic),"Ellsworth, Barry",0,Carson City
Precinct 303,United States Senator (Democratic),"Macias, Louis",0,Carson City
Precinct 303,United States Senator (Democratic),None Of These Candidates,4,Carson City
Precinct 303,United States Senator (Democratic),"Price, Nancy",4,Carson City
Precinct 305,United States Senator (Democratic),"Berkley, Shelley",77,Carson City
Precinct 305,United States Senator (Democratic),"Brown, Steve",9,Carson City
Precinct 305,United States Senator (Democratic),"Ellsworth, Barry",5,Carson City
Precinct 305,United States Senator (Democratic),"Macias, Louis",7,Carson City
Precinct 305,United States Senator (Democratic),None Of These Candidates,18,Carson City
Precinct 305,United States Senator (Democratic),"Price, Nancy",14,Carson City
Precinct 307,United States Senator (Democratic),"Berkley, Shelley",65,Carson City
Precinct 307,United States Senator (Democratic),"Brown, Steve",6,Carson City
Precinct 307,United States Senator (Democratic),"Ellsworth, Barry",1,Carson City
Precinct 307,United States Senator (Democratic),"Macias, Louis",1,Carson City
Precinct 307,United States Senator (Democratic),None Of These Candidates,12,Carson City
Precinct 307,United States Senator (Democratic),"Price, Nancy",6,Carson City
Precinct 309,United States Senator (Democratic),"Berkley, Shelley",103,Carson City
Precinct 309,United States Senator (Democratic),"Brown, Steve",8,Carson City
Precinct 309,United States Senator (Democratic),"Ellsworth, Barry",5,Carson City
Precinct 309,United States Senator (Democratic),"Macias, Louis",2,Carson City
Precinct 309,United States Senator (Democratic),None Of These Candidates,9,Carson City
Precinct 309,United States Senator (Democratic),"Price, Nancy",18,Carson City
Precinct 401,United States Senator (Democratic),"Berkley, Shelley",77,Carson City
Precinct 401,United States Senator (Democratic),"Brown, Steve",4,Carson City
Precinct 401,United States Senator (Democratic),"Ellsworth, Barry",0,Carson City
Precinct 401,United States Senator (Democratic),"Macias, Louis",1,Carson City
Precinct 401,United States Senator (Democratic),None Of These Candidates,4,Carson City
Precinct 401,United States Senator (Democratic),"Price, Nancy",6,Carson City
Precinct 403,United States Senator (Democratic),"Berkley, Shelley",101,Carson City
Precinct 403,United States Senator (Democratic),"Brown, Steve",16,Carson City
Precinct 403,United States Senator (Democratic),"Ellsworth, Barry",3,Carson City
Precinct 403,United States Senator (Democratic),"Macias, Louis",2,Carson City
Precinct 403,United States Senator (Democratic),None Of These Candidates,7,Carson City
Precinct 403,United States Senator (Democratic),"Price, Nancy",11,Carson City
Precinct 405,United States Senator (Democratic),"Berkley, Shelley",81,Carson City
Precinct 405,United States Senator (Democratic),"Brown, Steve",3,Carson City
Precinct 405,United States Senator (Democratic),"Ellsworth, Barry",4,Carson City
Precinct 405,United States Senator (Democratic),"Macias, Louis",1,Carson City
Precinct 405,United States Senator (Democratic),None Of These Candidates,6,Carson City
Precinct 405,United States Senator (Democratic),"Price, Nancy",11,Carson City
Precinct 407,United States Senator (Democratic),"Berkley, Shelley",40,Carson City
Precinct 407,United States Senator (Democratic),"Brown, Steve",3,Carson City
Precinct 407,United States Senator (Democratic),"Ellsworth, Barry",3,Carson City
Precinct 407,United States Senator (Democratic),"Macias, Louis",1,Carson City
Precinct 407,United States Senator (Democratic),None Of These Candidates,11,Carson City
Precinct 407,United States Senator (Democratic),"Price, Nancy",8,Carson City
Precinct 409,United States Senator (Democratic),"Berkley, Shelley",112,Carson City
Precinct 409,United States Senator (Democratic),"Brown, Steve",2,Carson City
Precinct 409,United States Senator (Democratic),"Ellsworth, Barry",3,Carson City
Precinct 409,United States Senator (Democratic),"Macias, Louis",4,Carson City
Precinct 409,United States Senator (Democratic),None Of These Candidates,7,Carson City
Precinct 409,United States Senator (Democratic),"Price, Nancy",12,Carson City
Precinct 411,United States Senator (Democratic),"Berkley, Shelley",70,Carson City
Precinct 411,United States Senator (Democratic),"Brown, Steve",1,Carson City
Precinct 411,United States Senator (Democratic),"Ellsworth, Barry",2,Carson City
Precinct 411,United States Senator (Democratic),"Macias, Louis",1,Carson City
Precinct 411,United States Senator (Democratic),None Of These Candidates,5,Carson City
Precinct 411,United States Senator (Democratic),"Price, Nancy",3,Carson City
Precinct 999,United States Senator (Democratic),"Berkley, Shelley",0,Carson City
Precinct 999,United States Senator (Democratic),"Brown, Steve",0,Carson City
Precinct 999,United States Senator (Democratic),"Ellsworth, Barry",0,Carson City
Precinct 999,United States Senator (Democratic),"Macias, Louis",0,Carson City
Precinct 999,United States Senator (Democratic),None Of These Candidates,0,Carson City
Precinct 999,United States Senator (Democratic),"Price, Nancy",0,Carson City
Precinct 101,United States Senator (Republican),"Brooks, Sherry",4,Carson City
Precinct 101,United States Senator (Republican),"Charles, Richard",1,Carson City
Precinct 101,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Carson City
Precinct 101,United States Senator (Republican),"Heller, Dean",106,Carson City
Precinct 101,United States Senator (Republican),None Of These Candidates,9,Carson City
Precinct 101,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Carson City
Precinct 103,United States Senator (Republican),"Brooks, Sherry",4,Carson City
Precinct 103,United States Senator (Republican),"Charles, Richard",1,Carson City
Precinct 103,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",5,Carson City
Precinct 103,United States Senator (Republican),"Heller, Dean",218,Carson City
Precinct 103,United States Senator (Republican),None Of These Candidates,10,Carson City
Precinct 103,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Carson City
Precinct 105,United States Senator (Republican),"Brooks, Sherry",5,Carson City
Precinct 105,United States Senator (Republican),"Charles, Richard",0,Carson City
Precinct 105,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",2,Carson City
Precinct 105,United States Senator (Republican),"Heller, Dean",320,Carson City
Precinct 105,United States Senator (Republican),None Of These Candidates,11,Carson City
Precinct 105,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Carson City
Precinct 107,United States Senator (Republican),"Brooks, Sherry",6,Carson City
Precinct 107,United States Senator (Republican),"Charles, Richard",1,Carson City
Precinct 107,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",7,Carson City
Precinct 107,United States Senator (Republican),"Heller, Dean",253,Carson City
Precinct 107,United States Senator (Republican),None Of These Candidates,5,Carson City
Precinct 107,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",1,Carson City
Precinct 109,United States Senator (Republican),"Brooks, Sherry",4,Carson City
Precinct 109,United States Senator (Republican),"Charles, Richard",1,Carson City
Precinct 109,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Carson City
Precinct 109,United States Senator (Republican),"Heller, Dean",223,Carson City
Precinct 109,United States Senator (Republican),None Of These Candidates,8,Carson City
Precinct 109,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Carson City
Precinct 111,United States Senator (Republican),"Brooks, Sherry",3,Carson City
Precinct 111,United States Senator (Republican),"Charles, Richard",3,Carson City
Precinct 111,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",3,Carson City
Precinct 111,United States Senator (Republican),"Heller, Dean",111,Carson City
Precinct 111,United States Senator (Republican),None Of These Candidates,1,Carson City
Precinct 111,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",1,Carson City
Precinct 113,United States Senator (Republican),"Brooks, Sherry",14,Carson City
Precinct 113,United States Senator (Republican),"Charles, Richard",3,Carson City
Precinct 113,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Carson City
Precinct 113,United States Senator (Republican),"Heller, Dean",284,Carson City
Precinct 113,United States Senator (Republican),None Of These Candidates,8,Carson City
Precinct 113,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",4,Carson City
Precinct 201,United States Senator (Republican),"Brooks, Sherry",5,Carson City
Precinct 201,United States Senator (Republican),"Charles, Richard",0,Carson City
Precinct 201,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",2,Carson City
Precinct 201,United States Senator (Republican),"Heller, Dean",74,Carson City
Precinct 201,United States Senator (Republican),None Of These Candidates,2,Carson City
Precinct 201,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Carson City
Precinct 203,United States Senator (Republican),"Brooks, Sherry",8,Carson City
Precinct 203,United States Senator (Republican),"Charles, Richard",1,Carson City
Precinct 203,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",1,Carson City
Precinct 203,United States Senator (Republican),"Heller, Dean",133,Carson City
Precinct 203,United States Senator (Republican),None Of These Candidates,2,Carson City
Precinct 203,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Carson City
Precinct 205,United States Senator (Republican),"Brooks, Sherry",5,Carson City
Precinct 205,United States Senator (Republican),"Charles, Richard",1,Carson City
Precinct 205,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Carson City
Precinct 205,United States Senator (Republican),"Heller, Dean",162,Carson City
Precinct 205,United States Senator (Republican),None Of These Candidates,3,Carson City
Precinct 205,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Carson City
Precinct 207,United States Senator (Republican),"Brooks, Sherry",12,Carson City
Precinct 207,United States Senator (Republican),"Charles, Richard",2,Carson City
Precinct 207,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",3,Carson City
Precinct 207,United States Senator (Republican),"Heller, Dean",155,Carson City
Precinct 207,United States Senator (Republican),None Of These Candidates,5,Carson City
Precinct 207,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Carson City
Precinct 209,United States Senator (Republican),"Brooks, Sherry",8,Carson City
Precinct 209,United States Senator (Republican),"Charles, Richard",0,Carson City
Precinct 209,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",3,Carson City
Precinct 209,United States Senator (Republican),"Heller, Dean",86,Carson City
Precinct 209,United States Senator (Republican),None Of These Candidates,6,Carson City
Precinct 209,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",2,Carson City
Precinct 211,United States Senator (Republican),"Brooks, Sherry",5,Carson City
Precinct 211,United States Senator (Republican),"Charles, Richard",1,Carson City
Precinct 211,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Carson City
Precinct 211,United States Senator (Republican),"Heller, Dean",111,Carson City
Precinct 211,United States Senator (Republican),None Of These Candidates,1,Carson City
Precinct 211,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Carson City
Precinct 301,United States Senator (Republican),"Brooks, Sherry",1,Carson City
Precinct 301,United States Senator (Republican),"Charles, Richard",3,Carson City
Precinct 301,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",3,Carson City
Precinct 301,United States Senator (Republican),"Heller, Dean",118,Carson City
Precinct 301,United States Senator (Republican),None Of These Candidates,1,Carson City
Precinct 301,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Carson City
Precinct 303,United States Senator (Republican),"Brooks, Sherry",2,Carson City
Precinct 303,United States Senator (Republican),"Charles, Richard",2,Carson City
Precinct 303,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",2,Carson City
Precinct 303,United States Senator (Republican),"Heller, Dean",117,Carson City
Precinct 303,United States Senator (Republican),None Of These Candidates,5,Carson City
Precinct 303,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Carson City
Precinct 305,United States Senator (Republican),"Brooks, Sherry",6,Carson City
Precinct 305,United States Senator (Republican),"Charles, Richard",1,Carson City
Precinct 305,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",1,Carson City
Precinct 305,United States Senator (Republican),"Heller, Dean",198,Carson City
Precinct 305,United States Senator (Republican),None Of These Candidates,3,Carson City
Precinct 305,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Carson City
Precinct 307,United States Senator (Republican),"Brooks, Sherry",11,Carson City
Precinct 307,United States Senator (Republican),"Charles, Richard",1,Carson City
Precinct 307,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",3,Carson City
Precinct 307,United States Senator (Republican),"Heller, Dean",146,Carson City
Precinct 307,United States Senator (Republican),None Of These Candidates,3,Carson City
Precinct 307,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Carson City
Precinct 309,United States Senator (Republican),"Brooks, Sherry",6,Carson City
Precinct 309,United States Senator (Republican),"Charles, Richard",5,Carson City
Precinct 309,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",2,Carson City
Precinct 309,United States Senator (Republican),"Heller, Dean",282,Carson City
Precinct 309,United States Senator (Republican),None Of These Candidates,14,Carson City
Precinct 309,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Carson City
Precinct 401,United States Senator (Republican),"Brooks, Sherry",3,Carson City
Precinct 401,United States Senator (Republican),"Charles, Richard",0,Carson City
Precinct 401,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",3,Carson City
Precinct 401,United States Senator (Republican),"Heller, Dean",102,Carson City
Precinct 401,United States Senator (Republican),None Of These Candidates,5,Carson City
Precinct 401,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",1,Carson City
Precinct 403,United States Senator (Republican),"Brooks, Sherry",6,Carson City
Precinct 403,United States Senator (Republican),"Charles, Richard",1,Carson City
Precinct 403,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",6,Carson City
Precinct 403,United States Senator (Republican),"Heller, Dean",163,Carson City
Precinct 403,United States Senator (Republican),None Of These Candidates,5,Carson City
Precinct 403,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Carson City
Precinct 405,United States Senator (Republican),"Brooks, Sherry",6,Carson City
Precinct 405,United States Senator (Republican),"Charles, Richard",1,Carson City
Precinct 405,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",2,Carson City
Precinct 405,United States Senator (Republican),"Heller, Dean",165,Carson City
Precinct 405,United States Senator (Republican),None Of These Candidates,5,Carson City
Precinct 405,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Carson City
Precinct 407,United States Senator (Republican),"Brooks, Sherry",7,Carson City
Precinct 407,United States Senator (Republican),"Charles, Richard",3,Carson City
Precinct 407,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",2,Carson City
Precinct 407,United States Senator (Republican),"Heller, Dean",178,Carson City
Precinct 407,United States Senator (Republican),None Of These Candidates,5,Carson City
Precinct 407,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Carson City
Precinct 409,United States Senator (Republican),"Brooks, Sherry",11,Carson City
Precinct 409,United States Senator (Republican),"Charles, Richard",1,Carson City
Precinct 409,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",4,Carson City
Precinct 409,United States Senator (Republican),"Heller, Dean",191,Carson City
Precinct 409,United States Senator (Republican),None Of These Candidates,7,Carson City
Precinct 409,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",1,Carson City
Precinct 411,United States Senator (Republican),"Brooks, Sherry",7,Carson City
Precinct 411,United States Senator (Republican),"Charles, Richard",2,Carson City
Precinct 411,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",1,Carson City
Precinct 411,United States Senator (Republican),"Heller, Dean",203,Carson City
Precinct 411,United States Senator (Republican),None Of These Candidates,3,Carson City
Precinct 411,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Carson City
Precinct 999,United States Senator (Republican),"Brooks, Sherry",0,Carson City
Precinct 999,United States Senator (Republican),"Charles, Richard",0,Carson City
Precinct 999,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Carson City
Precinct 999,United States Senator (Republican),"Heller, Dean",0,Carson City
Precinct 999,United States Senator (Republican),None Of These Candidates,0,Carson City
Precinct 999,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Carson City
Precinct 101,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",18,Carson City
Precinct 101,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",29,Carson City
Precinct 101,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",32,Carson City
Precinct 103,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",17,Carson City
Precinct 103,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",55,Carson City
Precinct 103,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",53,Carson City
Precinct 105,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",19,Carson City
Precinct 105,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",31,Carson City
Precinct 105,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",57,Carson City
Precinct 107,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",20,Carson City
Precinct 107,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",32,Carson City
Precinct 107,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",42,Carson City
Precinct 109,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",28,Carson City
Precinct 109,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",42,Carson City
Precinct 109,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",48,Carson City
Precinct 111,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",18,Carson City
Precinct 111,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",23,Carson City
Precinct 111,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",15,Carson City
Precinct 113,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",25,Carson City
Precinct 113,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",43,Carson City
Precinct 113,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",55,Carson City
Precinct 201,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",18,Carson City
Precinct 201,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",31,Carson City
Precinct 201,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",24,Carson City
Precinct 203,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",28,Carson City
Precinct 203,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",45,Carson City
Precinct 203,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",40,Carson City
Precinct 205,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",21,Carson City
Precinct 205,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",42,Carson City
Precinct 205,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",29,Carson City
Precinct 207,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",26,Carson City
Precinct 207,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",43,Carson City
Precinct 207,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",15,Carson City
Precinct 209,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",22,Carson City
Precinct 209,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",27,Carson City
Precinct 209,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",22,Carson City
Precinct 211,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",20,Carson City
Precinct 211,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",26,Carson City
Precinct 211,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",10,Carson City
Precinct 301,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",11,Carson City
Precinct 301,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",25,Carson City
Precinct 301,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",16,Carson City
Precinct 303,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",29,Carson City
Precinct 303,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",31,Carson City
Precinct 303,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",32,Carson City
Precinct 305,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",30,Carson City
Precinct 305,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",63,Carson City
Precinct 305,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",29,Carson City
Precinct 307,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",26,Carson City
Precinct 307,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",34,Carson City
Precinct 307,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",26,Carson City
Precinct 309,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",26,Carson City
Precinct 309,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",58,Carson City
Precinct 309,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",44,Carson City
Precinct 401,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",22,Carson City
Precinct 401,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",23,Carson City
Precinct 401,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",27,Carson City
Precinct 403,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",36,Carson City
Precinct 403,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",53,Carson City
Precinct 403,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",42,Carson City
Precinct 405,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",28,Carson City
