precinct,office,candidate,votes,jurisdiction
Precinct 10,United States Senator (Democratic),"Berkley, Shelley",44,Churchill
Precinct 10,United States Senator (Democratic),"Brown, Steve",9,Churchill
Precinct 10,United States Senator (Democratic),"Ellsworth, Barry",0,Churchill
Precinct 10,United States Senator (Democratic),"Macias, Louis",2,Churchill
Precinct 10,United States Senator (Democratic),None Of These Candidates,13,Churchill
Precinct 10,United States Senator (Democratic),"Price, Nancy",3,Churchill
Precinct 11,United States Senator (Democratic),"Berkley, Shelley",28,Churchill
Precinct 11,United States Senator (Democratic),"Brown, Steve",4,Churchill
Precinct 11,United States Senator (Democratic),"Ellsworth, Barry",3,Churchill
Precinct 11,United States Senator (Democratic),"Macias, Louis",2,Churchill
Precinct 11,United States Senator (Democratic),None Of These Candidates,7,Churchill
Precinct 11,United States Senator (Democratic),"Price, Nancy",2,Churchill
Precinct 12,United States Senator (Democratic),"Berkley, Shelley",9,Churchill
Precinct 12,United States Senator (Democratic),"Brown, Steve",1,Churchill
Precinct 12,United States Senator (Democratic),"Ellsworth, Barry",0,Churchill
Precinct 12,United States Senator (Democratic),"Macias, Louis",0,Churchill
Precinct 12,United States Senator (Democratic),None Of These Candidates,2,Churchill
Precinct 12,United States Senator (Democratic),"Price, Nancy",1,Churchill
Precinct 13,United States Senator (Democratic),"Berkley, Shelley",10,Churchill
Precinct 13,United States Senator (Democratic),"Brown, Steve",2,Churchill
Precinct 13,United States Senator (Democratic),"Ellsworth, Barry",2,Churchill
Precinct 13,United States Senator (Democratic),"Macias, Louis",0,Churchill
Precinct 13,United States Senator (Democratic),None Of These Candidates,4,Churchill
Precinct 13,United States Senator (Democratic),"Price, Nancy",1,Churchill
Precinct 14,United States Senator (Democratic),"Berkley, Shelley",21,Churchill
Precinct 14,United States Senator (Democratic),"Brown, Steve",1,Churchill
Precinct 14,United States Senator (Democratic),"Ellsworth, Barry",1,Churchill
Precinct 14,United States Senator (Democratic),"Macias, Louis",1,Churchill
Precinct 14,United States Senator (Democratic),None Of These Candidates,2,Churchill
Precinct 14,United States Senator (Democratic),"Price, Nancy",7,Churchill
Precinct 15,United States Senator (Democratic),"Berkley, Shelley",28,Churchill
Precinct 15,United States Senator (Democratic),"Brown, Steve",3,Churchill
Precinct 15,United States Senator (Democratic),"Ellsworth, Barry",2,Churchill
Precinct 15,United States Senator (Democratic),"Macias, Louis",1,Churchill
Precinct 15,United States Senator (Democratic),None Of These Candidates,10,Churchill
Precinct 15,United States Senator (Democratic),"Price, Nancy",5,Churchill
Precinct 16,United States Senator (Democratic),"Berkley, Shelley",19,Churchill
Precinct 16,United States Senator (Democratic),"Brown, Steve",9,Churchill
Precinct 16,United States Senator (Democratic),"Ellsworth, Barry",1,Churchill
Precinct 16,United States Senator (Democratic),"Macias, Louis",1,Churchill
Precinct 16,United States Senator (Democratic),None Of These Candidates,2,Churchill
Precinct 16,United States Senator (Democratic),"Price, Nancy",2,Churchill
Precinct 17,United States Senator (Democratic),"Berkley, Shelley",38,Churchill
Precinct 17,United States Senator (Democratic),"Brown, Steve",9,Churchill
Precinct 17,United States Senator (Democratic),"Ellsworth, Barry",3,Churchill
Precinct 17,United States Senator (Democratic),"Macias, Louis",0,Churchill
Precinct 17,United States Senator (Democratic),None Of These Candidates,2,Churchill
Precinct 17,United States Senator (Democratic),"Price, Nancy",4,Churchill
Precinct 18,United States Senator (Democratic),"Berkley, Shelley",66,Churchill
Precinct 18,United States Senator (Democratic),"Brown, Steve",8,Churchill
Precinct 18,United States Senator (Democratic),"Ellsworth, Barry",3,Churchill
Precinct 18,United States Senator (Democratic),"Macias, Louis",4,Churchill
Precinct 18,United States Senator (Democratic),None Of These Candidates,12,Churchill
Precinct 18,United States Senator (Democratic),"Price, Nancy",5,Churchill
Precinct 19,United States Senator (Democratic),"Berkley, Shelley",25,Churchill
Precinct 19,United States Senator (Democratic),"Brown, Steve",2,Churchill
Precinct 19,United States Senator (Democratic),"Ellsworth, Barry",2,Churchill
Precinct 19,United States Senator (Democratic),"Macias, Louis",1,Churchill
Precinct 19,United States Senator (Democratic),None Of These Candidates,3,Churchill
Precinct 19,United States Senator (Democratic),"Price, Nancy",1,Churchill
Precinct 999,United States Senator (Democratic),"Berkley, Shelley",0,Churchill
Precinct 999,United States Senator (Democratic),"Brown, Steve",0,Churchill
Precinct 999,United States Senator (Democratic),"Ellsworth, Barry",0,Churchill
Precinct 999,United States Senator (Democratic),"Macias, Louis",0,Churchill
Precinct 999,United States Senator (Democratic),None Of These Candidates,0,Churchill
Precinct 999,United States Senator (Democratic),"Price, Nancy",0,Churchill
Precinct 01,United States Senator (Republican),"Brooks, Sherry",11,Churchill
Precinct 01,United States Senator (Republican),"Charles, Richard",3,Churchill
Precinct 01,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Churchill
Precinct 01,United States Senator (Republican),"Heller, Dean",138,Churchill
Precinct 01,United States Senator (Republican),None Of These Candidates,3,Churchill
Precinct 01,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Churchill
Precinct 02,United States Senator (Republican),"Brooks, Sherry",3,Churchill
Precinct 02,United States Senator (Republican),"Charles, Richard",0,Churchill
Precinct 02,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",2,Churchill
Precinct 02,United States Senator (Republican),"Heller, Dean",93,Churchill
Precinct 02,United States Senator (Republican),None Of These Candidates,2,Churchill
Precinct 02,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Churchill
Precinct 03,United States Senator (Republican),"Brooks, Sherry",6,Churchill
Precinct 03,United States Senator (Republican),"Charles, Richard",2,Churchill
Precinct 03,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",2,Churchill
Precinct 03,United States Senator (Republican),"Heller, Dean",97,Churchill
Precinct 03,United States Senator (Republican),None Of These Candidates,5,Churchill
Precinct 03,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Churchill
Precinct 04,United States Senator (Republican),"Brooks, Sherry",8,Churchill
Precinct 04,United States Senator (Republican),"Charles, Richard",2,Churchill
Precinct 04,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",2,Churchill
Precinct 04,United States Senator (Republican),"Heller, Dean",86,Churchill
Precinct 04,United States Senator (Republican),None Of These Candidates,10,Churchill
Precinct 04,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",1,Churchill
Precinct 05,United States Senator (Republican),"Brooks, Sherry",7,Churchill
Precinct 05,United States Senator (Republican),"Charles, Richard",0,Churchill
Precinct 05,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",2,Churchill
Precinct 05,United States Senator (Republican),"Heller, Dean",68,Churchill
Precinct 05,United States Senator (Republican),None Of These Candidates,3,Churchill
Precinct 05,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Churchill
Precinct 06,United States Senator (Republican),"Brooks, Sherry",7,Churchill
Precinct 06,United States Senator (Republican),"Charles, Richard",1,Churchill
Precinct 06,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",2,Churchill
Precinct 06,United States Senator (Republican),"Heller, Dean",98,Churchill
Precinct 06,United States Senator (Republican),None Of These Candidates,9,Churchill
Precinct 06,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Churchill
Precinct 07,United States Senator (Republican),"Brooks, Sherry",7,Churchill
Precinct 07,United States Senator (Republican),"Charles, Richard",1,Churchill
Precinct 07,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",1,Churchill
Precinct 07,United States Senator (Republican),"Heller, Dean",150,Churchill
Precinct 07,United States Senator (Republican),None Of These Candidates,5,Churchill
Precinct 07,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",1,Churchill
Precinct 08,United States Senator (Republican),"Brooks, Sherry",2,Churchill
Precinct 08,United States Senator (Republican),"Charles, Richard",1,Churchill
Precinct 08,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",1,Churchill
Precinct 08,United States Senator (Republican),"Heller, Dean",71,Churchill
Precinct 08,United States Senator (Republican),None Of These Candidates,1,Churchill
Precinct 08,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",1,Churchill
Precinct 09,United States Senator (Republican),"Brooks, Sherry",4,Churchill
Precinct 09,United States Senator (Republican),"Charles, Richard",2,Churchill
Precinct 09,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",1,Churchill
Precinct 09,United States Senator (Republican),"Heller, Dean",125,Churchill
Precinct 09,United States Senator (Republican),None Of These Candidates,5,Churchill
Precinct 09,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Churchill
Precinct 10,United States Senator (Republican),"Brooks, Sherry",6,Churchill
Precinct 10,United States Senator (Republican),"Charles, Richard",2,Churchill
Precinct 10,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",2,Churchill
Precinct 10,United States Senator (Republican),"Heller, Dean",179,Churchill
Precinct 10,United States Senator (Republican),None Of These Candidates,3,Churchill
Precinct 10,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Churchill
Precinct 11,United States Senator (Republican),"Brooks, Sherry",12,Churchill
Precinct 11,United States Senator (Republican),"Charles, Richard",1,Churchill
Precinct 11,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Churchill
Precinct 11,United States Senator (Republican),"Heller, Dean",161,Churchill
Precinct 11,United States Senator (Republican),None Of These Candidates,4,Churchill
Precinct 11,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Churchill
Precinct 12,United States Senator (Republican),"Brooks, Sherry",1,Churchill
Precinct 12,United States Senator (Republican),"Charles, Richard",1,Churchill
Precinct 12,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Churchill
Precinct 12,United States Senator (Republican),"Heller, Dean",62,Churchill
Precinct 12,United States Senator (Republican),None Of These Candidates,0,Churchill
Precinct 12,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Churchill
Precinct 13,United States Senator (Republican),"Brooks, Sherry",4,Churchill
Precinct 13,United States Senator (Republican),"Charles, Richard",2,Churchill
Precinct 13,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",2,Churchill
Precinct 13,United States Senator (Republican),"Heller, Dean",101,Churchill
Precinct 13,United States Senator (Republican),None Of These Candidates,4,Churchill
Precinct 13,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Churchill
Precinct 14,United States Senator (Republican),"Brooks, Sherry",6,Churchill
Precinct 14,United States Senator (Republican),"Charles, Richard",5,Churchill
Precinct 14,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",3,Churchill
Precinct 14,United States Senator (Republican),"Heller, Dean",139,Churchill
Precinct 14,United States Senator (Republican),None Of These Candidates,1,Churchill
Precinct 14,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Churchill
Precinct 15,United States Senator (Republican),"Brooks, Sherry",6,Churchill
Precinct 15,United States Senator (Republican),"Charles, Richard",1,Churchill
Precinct 15,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",4,Churchill
Precinct 15,United States Senator (Republican),"Heller, Dean",158,Churchill
Precinct 15,United States Senator (Republican),None Of These Candidates,7,Churchill
Precinct 15,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Churchill
Precinct 16,United States Senator (Republican),"Brooks, Sherry",4,Churchill
Precinct 16,United States Senator (Republican),"Charles, Richard",0,Churchill
Precinct 16,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Churchill
Precinct 16,United States Senator (Republican),"Heller, Dean",58,Churchill
Precinct 16,United States Senator (Republican),None Of These Candidates,2,Churchill
Precinct 16,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Churchill
Precinct 17,United States Senator (Republican),"Brooks, Sherry",9,Churchill
Precinct 17,United States Senator (Republican),"Charles, Richard",5,Churchill
Precinct 17,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",4,Churchill
Precinct 17,United States Senator (Republican),"Heller, Dean",155,Churchill
Precinct 17,United States Senator (Republican),None Of These Candidates,3,Churchill
Precinct 17,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",2,Churchill
Precinct 18,United States Senator (Republican),"Brooks, Sherry",5,Churchill
Precinct 18,United States Senator (Republican),"Charles, Richard",1,Churchill
Precinct 18,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Churchill
Precinct 18,United States Senator (Republican),"Heller, Dean",223,Churchill
Precinct 18,United States Senator (Republican),None Of These Candidates,8,Churchill
Precinct 18,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Churchill
Precinct 19,United States Senator (Republican),"Brooks, Sherry",6,Churchill
Precinct 19,United States Senator (Republican),"Charles, Richard",2,Churchill
Precinct 19,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",1,Churchill
Precinct 19,United States Senator (Republican),"Heller, Dean",118,Churchill
Precinct 19,United States Senator (Republican),None Of These Candidates,6,Churchill
Precinct 19,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",2,Churchill
Precinct 999,United States Senator (Republican),"Brooks, Sherry",0,Churchill
Precinct 999,United States Senator (Republican),"Charles, Richard",0,Churchill
Precinct 999,United States Senator (Republican),"HAMILTON, EDDIE ""IN LIBERTY""",0,Churchill
Precinct 999,United States Senator (Republican),"Heller, Dean",0,Churchill
Precinct 999,United States Senator (Republican),None Of These Candidates,0,Churchill
Precinct 999,United States Senator (Republican),"Poliak, Carlo ""Nakusa""",0,Churchill
Precinct 01,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",9,Churchill
Precinct 01,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",24,Churchill
Precinct 01,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",7,Churchill
Precinct 02,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",9,Churchill
Precinct 02,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",16,Churchill
Precinct 02,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",7,Churchill
Precinct 03,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",13,Churchill
Precinct 03,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",31,Churchill
Precinct 03,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",16,Churchill
Precinct 04,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",5,Churchill
Precinct 04,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",24,Churchill
Precinct 04,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",6,Churchill
Precinct 05,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",10,Churchill
Precinct 05,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",24,Churchill
Precinct 05,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",6,Churchill
Precinct 06,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",5,Churchill
Precinct 06,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",18,Churchill
Precinct 06,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",9,Churchill
Precinct 07,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",13,Churchill
Precinct 07,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",22,Churchill
Precinct 07,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",20,Churchill
Precinct 08,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",9,Churchill
Precinct 08,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",15,Churchill
Precinct 08,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",7,Churchill
Precinct 09,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",1,Churchill
Precinct 09,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",19,Churchill
Precinct 09,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",4,Churchill
Precinct 10,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",10,Churchill
Precinct 10,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",32,Churchill
Precinct 10,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",19,Churchill
Precinct 11,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",6,Churchill
Precinct 11,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",26,Churchill
Precinct 11,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",12,Churchill
Precinct 12,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",5,Churchill
Precinct 12,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",6,Churchill
Precinct 12,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",2,Churchill
Precinct 13,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",3,Churchill
Precinct 13,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",7,Churchill
Precinct 13,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",5,Churchill
Precinct 14,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",5,Churchill
Precinct 14,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",14,Churchill
Precinct 14,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",9,Churchill
Precinct 15,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",10,Churchill
Precinct 15,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",24,Churchill
Precinct 15,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",8,Churchill
Precinct 16,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",6,Churchill
Precinct 16,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",20,Churchill
Precinct 16,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",5,Churchill
Precinct 17,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",11,Churchill
Precinct 17,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",34,Churchill
Precinct 17,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",5,Churchill
Precinct 18,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",27,Churchill
Precinct 18,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",40,Churchill
Precinct 18,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",21,Churchill
Precinct 19,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",5,Churchill
Precinct 19,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",22,Churchill
Precinct 19,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",4,Churchill
Precinct 999,"U.S. Representative in Congress, District 2 (Democratic)","Dehne, Sam",0,Churchill
Precinct 999,"U.S. Representative in Congress, District 2 (Democratic)","Koepnick, Samuel",0,Churchill
Precinct 999,"U.S. Representative in Congress, District 2 (Democratic)","Rodriguez, Xiomara ""Xio""",0,Churchill
