county,precinct,office,district,candidate,votes
Carson City,113,U.S. House,2,H.D. Evans,398
Carson City,113,U.S. House,2,John Everhart,30
Carson City,113,U.S. House,2,Drew Knight,18
Carson City,113,U.S. Senate,,Catherine Cortez Masto,458
Carson City,113,U.S. Senate,,Tony Gumina,4
Carson City,113,U.S. Senate,,Joe Heck,766
Carson City,113,U.S. Senate,,Tom Jones,25
Carson City,113,U.S. Senate,,None Of These Candidates,41
Carson City,113,U.S. Senate,,Thomas Sawyer,13
Carson City,113,U.S. Senate,,Jarrod Williams,5
Carson City,201,President,,Darrell Castle,4
Carson City,201,President,,Hillary Clinton,351
Carson City,201,President,,Roque De La Fuente,2
Carson City,201,President,,Gary Johnson,43
Carson City,201,President,,None Of These Candidates,37
Carson City,201,President,,Donald Trump,410
Carson City,201,State House,40,Michael Greedy,279
Carson City,201,State House,40,Al Kramer,449
Carson City,201,State House,40,John Wagner,81
Carson City,201,U.S. House,2,Mark Amodei,474
Carson City,201,U.S. House,2,H.D. Evans,286
Carson City,201,U.S. House,2,John Everhart,24
Carson City,201,U.S. House,2,Drew Knight,31
Carson City,201,U.S. Senate,,Catherine Cortez Masto,340
Carson City,201,U.S. Senate,,Tony Gumina,9
Carson City,201,U.S. Senate,,Joe Heck,409
Carson City,201,U.S. Senate,,Tom Jones,17
Carson City,201,U.S. Senate,,None Of These Candidates,34
Carson City,201,U.S. Senate,,Thomas Sawyer,18
Carson City,201,U.S. Senate,,Jarrod Williams,15
Carson City,203,President,,Darrell Castle,10
Carson City,203,President,,Hillary Clinton,490
Carson City,203,President,,Roque De La Fuente,3
Carson City,203,President,,Gary Johnson,71
Carson City,203,President,,None Of These Candidates,48
Carson City,203,President,,Donald Trump,516
Carson City,203,State House,40,Michael Greedy,458
Carson City,203,State House,40,Al Kramer,534
Carson City,203,State House,40,John Wagner,96
Carson City,203,U.S. House,2,Mark Amodei,582
Carson City,203,U.S. House,2,H.D. Evans,454
Carson City,203,U.S. House,2,John Everhart,38
Carson City,203,U.S. House,2,Drew Knight,30
Carson City,203,U.S. Senate,,Catherine Cortez Masto,515
Carson City,203,U.S. Senate,,Tony Gumina,10
Carson City,203,U.S. Senate,,Joe Heck,520
Carson City,203,U.S. Senate,,Tom Jones,25
Carson City,203,U.S. Senate,,None Of These Candidates,37
Carson City,203,U.S. Senate,,Thomas Sawyer,14
Carson City,203,U.S. Senate,,Jarrod Williams,8
Carson City,205,President,,Darrell Castle,4
Carson City,205,President,,Hillary Clinton,524
Carson City,205,President,,Roque De La Fuente,3
Carson City,205,President,,Gary Johnson,64
Carson City,205,President,,None Of These Candidates,37
Carson City,205,President,,Donald Trump,608
Carson City,205,State House,40,Michael Greedy,461
Carson City,205,State House,40,Al Kramer,644
Carson City,205,State House,40,John Wagner,80
Carson City,205,U.S. House,2,Mark Amodei,685
Carson City,205,U.S. House,2,H.D. Evans,463
Carson City,205,U.S. House,2,John Everhart,37
Carson City,205,U.S. House,2,Drew Knight,27
Carson City,205,U.S. Senate,,Catherine Cortez Masto,517
Carson City,205,U.S. Senate,,Tony Gumina,16
Carson City,205,U.S. Senate,,Joe Heck,616
Carson City,205,U.S. Senate,,Tom Jones,25
Carson City,205,U.S. Senate,,None Of These Candidates,36
Carson City,205,U.S. Senate,,Thomas Sawyer,9
Carson City,205,U.S. Senate,,Jarrod Williams,10
Carson City,207,President,,Darrell Castle,7
Carson City,207,President,,Hillary Clinton,372
Carson City,207,President,,Roque De La Fuente,4
Carson City,207,President,,Gary Johnson,28
Carson City,207,President,,None Of These Candidates,38
Carson City,207,President,,Donald Trump,561
Carson City,207,State House,40,Michael Greedy,320
Carson City,207,State House,40,Al Kramer,551
Carson City,207,State House,40,John Wagner,79
Carson City,207,U.S. House,2,Mark Amodei,576
Carson City,207,U.S. House,2,H.D. Evans,330
Carson City,207,U.S. House,2,John Everhart,38
Carson City,207,U.S. House,2,Drew Knight,27
Carson City,207,U.S. Senate,,Catherine Cortez Masto,385
Carson City,207,U.S. Senate,,Tony Gumina,12
Carson City,207,U.S. Senate,,Joe Heck,513
Carson City,207,U.S. Senate,,Tom Jones,22
Carson City,207,U.S. Senate,,None Of These Candidates,44
Carson City,207,U.S. Senate,,Thomas Sawyer,14
Carson City,207,U.S. Senate,,Jarrod Williams,10
Carson City,209,President,,Darrell Castle,7
Carson City,209,President,,Hillary Clinton,293
Carson City,209,President,,Roque De La Fuente,3
Carson City,209,President,,Gary Johnson,47
Carson City,209,President,,None Of These Candidates,27
Carson City,209,President,,Donald Trump,377
Carson City,209,State House,40,Michael Greedy,248
Carson City,209,State House,40,Al Kramer,400
Carson City,209,State House,40,John Wagner,72
Carson City,209,U.S. House,2,Mark Amodei,396
Carson City,209,U.S. House,2,H.D. Evans,271
Carson City,209,U.S. House,2,John Everhart,25
Carson City,209,U.S. House,2,Drew Knight,32
Carson City,209,U.S. Senate,,Catherine Cortez Masto,294
Carson City,209,U.S. Senate,,Tony Gumina,10
Carson City,209,U.S. Senate,,Joe Heck,348
Carson City,209,U.S. Senate,,Tom Jones,24
Carson City,209,U.S. Senate,,None Of These Candidates,34
Carson City,209,U.S. Senate,,Thomas Sawyer,26
Carson City,209,U.S. Senate,,Jarrod Williams,9
Carson City,211,President,,Darrell Castle,3
Carson City,211,President,,Hillary Clinton,258
Carson City,211,President,,Roque De La Fuente,1
Carson City,211,President,,Gary Johnson,45
Carson City,211,President,,None Of These Candidates,23
Carson City,211,President,,Donald Trump,464
Carson City,211,State House,40,Michael Greedy,204
Carson City,211,State House,40,Al Kramer,490
Carson City,211,State House,40,John Wagner,62
Carson City,211,U.S. House,2,Mark Amodei,500
Carson City,211,U.S. House,2,H.D. Evans,228
Carson City,211,U.S. House,2,John Everhart,25
Carson City,211,U.S. House,2,Drew Knight,18
Carson City,211,U.S. Senate,,Catherine Cortez Masto,254
Carson City,211,U.S. Senate,,Tony Gumina,6
Carson City,211,U.S. Senate,,Joe Heck,460
Carson City,211,U.S. Senate,,Tom Jones,15
Carson City,211,U.S. Senate,,None Of These Candidates,33
Carson City,211,U.S. Senate,,Thomas Sawyer,15
Carson City,211,U.S. Senate,,Jarrod Williams,4
Carson City,301,President,,Darrell Castle,5
Carson City,301,President,,Hillary Clinton,334
Carson City,301,President,,Roque De La Fuente,6
Carson City,301,President,,Gary Johnson,36
Carson City,301,President,,None Of These Candidates,32
Carson City,301,President,,Donald Trump,454
Carson City,301,State House,40,Michael Greedy,273
Carson City,301,State House,40,Al Kramer,478
Carson City,301,State House,40,John Wagner,78
Carson City,301,U.S. House,2,Mark Amodei,498
Carson City,301,U.S. House,2,H.D. Evans,300
Carson City,301,U.S. House,2,John Everhart,25
Carson City,301,U.S. House,2,Drew Knight,19
Carson City,301,U.S. Senate,,Catherine Cortez Masto,319
Carson City,301,U.S. Senate,,Tony Gumina,13
Carson City,301,U.S. Senate,,Joe Heck,454
Carson City,301,U.S. Senate,,Tom Jones,14
Carson City,301,U.S. Senate,,None Of These Candidates,41
Carson City,301,U.S. Senate,,Thomas Sawyer,11
Carson City,301,U.S. Senate,,Jarrod Williams,11
Carson City,303,President,,Darrell Castle,2
Carson City,303,President,,Hillary Clinton,298
Carson City,303,President,,Roque De La Fuente,1
Carson City,303,President,,Gary Johnson,42
Carson City,303,President,,None Of These Candidates,32
Carson City,303,President,,Donald Trump,477
Carson City,303,State House,40,Michael Greedy,252
Carson City,303,State House,40,Al Kramer,509
Carson City,303,State House,40,John Wagner,50
Carson City,303,U.S. House,2,Mark Amodei,512
Carson City,303,U.S. House,2,H.D. Evans,272
Carson City,303,U.S. House,2,John Everhart,29
Carson City,303,U.S. House,2,Drew Knight,16
Carson City,303,U.S. Senate,,Catherine Cortez Masto,317
Carson City,303,U.S. Senate,,Tony Gumina,6
Carson City,303,U.S. Senate,,Joe Heck,450
Carson City,303,U.S. Senate,,Tom Jones,16
Carson City,303,U.S. Senate,,None Of These Candidates,40
Carson City,303,U.S. Senate,,Thomas Sawyer,14
Carson City,303,U.S. Senate,,Jarrod Williams,4
Carson City,305,President,,Darrell Castle,4
Carson City,305,President,,Hillary Clinton,386
Carson City,305,President,,Roque De La Fuente,1
Carson City,305,President,,Gary Johnson,45
Carson City,305,President,,None Of These Candidates,49
Carson City,305,President,,Donald Trump,606
Carson City,305,State House,40,Michael Greedy,311
Carson City,305,State House,40,Al Kramer,669
Carson City,305,State House,40,John Wagner,72
Carson City,305,U.S. House,2,Mark Amodei,698
Carson City,305,U.S. House,2,H.D. Evans,332
Carson City,305,U.S. House,2,John Everhart,21
Carson City,305,U.S. House,2,Drew Knight,16
Carson City,305,U.S. Senate,,Catherine Cortez Masto,402
Carson City,305,U.S. Senate,,Tony Gumina,9
Carson City,305,U.S. Senate,,Joe Heck,603
Carson City,305,U.S. Senate,,Tom Jones,15
Carson City,305,U.S. Senate,,None Of These Candidates,47
Carson City,305,U.S. Senate,,Thomas Sawyer,10
Carson City,305,U.S. Senate,,Jarrod Williams,2
Carson City,307,President,,Darrell Castle,13
Carson City,307,President,,Hillary Clinton,715
Carson City,307,President,,Roque De La Fuente,1
Carson City,307,President,,Gary Johnson,82
Carson City,307,President,,None Of These Candidates,72
Carson City,307,President,,Donald Trump,688
Carson City,307,State House,40,Michael Greedy,586
Carson City,307,State House,40,Al Kramer,773
Carson City,307,State House,40,John Wagner,125
Carson City,307,U.S. House,2,Mark Amodei,792
Carson City,307,U.S. House,2,H.D. Evans,618
Carson City,307,U.S. House,2,John Everhart,47
Carson City,307,U.S. House,2,Drew Knight,48
Carson City,307,U.S. Senate,,Catherine Cortez Masto,698
Carson City,307,U.S. Senate,,Tony Gumina,18
Carson City,307,U.S. Senate,,Joe Heck,684
Carson City,307,U.S. Senate,,Tom Jones,32
Carson City,307,U.S. Senate,,None Of These Candidates,79
Carson City,307,U.S. Senate,,Thomas Sawyer,35
Carson City,307,U.S. Senate,,Jarrod Williams,9
Carson City,309,President,,Darrell Castle,9
Carson City,309,President,,Hillary Clinton,399
Carson City,309,President,,Roque De La Fuente,4
Carson City,309,President,,Gary Johnson,48
Carson City,309,President,,None Of These Candidates,42
Carson City,309,President,,Donald Trump,830
Carson City,309,State House,40,Michael Greedy,304
Carson City,309,State House,40,Al Kramer,890
Carson City,309,State House,40,John Wagner,88
Carson City,309,U.S. House,2,Mark Amodei,939
Carson City,309,U.S. House,2,H.D. Evans,333
Carson City,309,U.S. House,2,John Everhart,17
Carson City,309,U.S. House,2,Drew Knight,16
Carson City,309,U.S. Senate,,Catherine Cortez Masto,423
Carson City,309,U.S. Senate,,Tony Gumina,8
Carson City,309,U.S. Senate,,Joe Heck,844
Carson City,309,U.S. Senate,,Tom Jones,16
Carson City,309,U.S. Senate,,None Of These Candidates,27
Carson City,309,U.S. Senate,,Thomas Sawyer,12
Carson City,309,U.S. Senate,,Jarrod Williams,0
Carson City,401,President,,Darrell Castle,4
Carson City,401,President,,Hillary Clinton,353
Carson City,401,President,,Roque De La Fuente,3
Carson City,401,President,,Gary Johnson,51
Carson City,401,President,,None Of These Candidates,16
Carson City,401,President,,Donald Trump,381
Carson City,401,State House,40,Michael Greedy,279
Carson City,401,State House,40,Al Kramer,425
Carson City,401,State House,40,John Wagner,70
Carson City,401,U.S. House,2,Mark Amodei,428
Carson City,401,U.S. House,2,H.D. Evans,305
Carson City,401,U.S. House,2,John Everhart,26
Carson City,401,U.S. House,2,Drew Knight,29
Carson City,401,U.S. Senate,,Catherine Cortez Masto,362
Carson City,401,U.S. Senate,,Tony Gumina,10
Carson City,401,U.S. Senate,,Joe Heck,358
Carson City,401,U.S. Senate,,Tom Jones,19
Carson City,401,U.S. Senate,,None Of These Candidates,30
Carson City,401,U.S. Senate,,Thomas Sawyer,17
Carson City,401,U.S. Senate,,Jarrod Williams,5
Carson City,403,President,,Darrell Castle,11
Carson City,403,President,,Hillary Clinton,523
Carson City,403,President,,Roque De La Fuente,4
Carson City,403,President,,Gary Johnson,74
Carson City,403,President,,None Of These Candidates,56
Carson City,403,President,,Donald Trump,672
Carson City,403,State House,40,Michael Greedy,479
Carson City,403,State House,40,Al Kramer,681
Carson City,403,State House,40,John Wagner,118
Carson City,403,U.S. House,2,Mark Amodei,705
Carson City,403,U.S. House,2,H.D. Evans,503
Carson City,403,U.S. House,2,John Everhart,55
Carson City,403,U.S. House,2,Drew Knight,28
Carson City,403,U.S. Senate,,Catherine Cortez Masto,564
Carson City,403,U.S. Senate,,Tony Gumina,7
Carson City,403,U.S. Senate,,Joe Heck,643
Carson City,403,U.S. Senate,,Tom Jones,24
Carson City,403,U.S. Senate,,None Of These Candidates,56
Carson City,403,U.S. Senate,,Thomas Sawyer,23
Carson City,403,U.S. Senate,,Jarrod Williams,9
Carson City,405,President,,Darrell Castle,5
Carson City,405,President,,Hillary Clinton,431
Carson City,405,President,,Roque De La Fuente,1
Carson City,405,President,,Gary Johnson,38
Carson City,405,President,,None Of These Candidates,36
Carson City,405,President,,Donald Trump,556
Carson City,405,State House,40,Michael Greedy,365
Carson City,405,State House,40,Al Kramer,576
Carson City,405,State House,40,John Wagner,77
Carson City,405,U.S. House,2,Mark Amodei,607
Carson City,405,U.S. House,2,H.D. Evans,388
Carson City,405,U.S. House,2,John Everhart,20
Carson City,405,U.S. House,2,Drew Knight,20
Carson City,405,U.S. Senate,,Catherine Cortez Masto,432
Carson City,405,U.S. Senate,,Tony Gumina,6
Carson City,405,U.S. Senate,,Joe Heck,523
Carson City,405,U.S. Senate,,Tom Jones,25
Carson City,405,U.S. Senate,,None Of These Candidates,49
Carson City,405,U.S. Senate,,Thomas Sawyer,14
Carson City,405,U.S. Senate,,Jarrod Williams,10
Carson City,407,President,,Darrell Castle,6
Carson City,407,President,,Hillary Clinton,274
Carson City,407,President,,Roque De La Fuente,3
Carson City,407,President,,Gary Johnson,39
Carson City,407,President,,None Of These Candidates,20
Carson City,407,President,,Donald Trump,574
Carson City,407,State House,40,Michael Greedy,222
Carson City,407,State House,40,Al Kramer,569
Carson City,407,State House,40,John Wagner,85
Carson City,407,U.S. House,2,Mark Amodei,606
Carson City,407,U.S. House,2,H.D. Evans,223
Carson City,407,U.S. House,2,John Everhart,30
Carson City,407,U.S. House,2,Drew Knight,22
Carson City,407,U.S. Senate,,Catherine Cortez Masto,282
Carson City,407,U.S. Senate,,Tony Gumina,7
Carson City,407,U.S. Senate,,Joe Heck,548
Carson City,407,U.S. Senate,,Tom Jones,13
Carson City,407,U.S. Senate,,None Of These Candidates,32
Carson City,407,U.S. Senate,,Thomas Sawyer,19
Carson City,407,U.S. Senate,,Jarrod Williams,7
Carson City,409,President,,Darrell Castle,7
Carson City,409,President,,Hillary Clinton,464
Carson City,409,President,,Roque De La Fuente,5
Carson City,409,President,,Gary Johnson,62
Carson City,409,President,,None Of These Candidates,44
Carson City,409,President,,Donald Trump,480
Carson City,409,State House,40,Michael Greedy,385
Carson City,409,State House,40,Al Kramer,564
Carson City,409,State House,40,John Wagner,71
Carson City,409,U.S. House,2,Mark Amodei,567
Carson City,409,U.S. House,2,H.D. Evans,413
Carson City,409,U.S. House,2,John Everhart,29
Carson City,409,U.S. House,2,Drew Knight,29
Carson City,409,U.S. Senate,,Catherine Cortez Masto,474
Carson City,409,U.S. Senate,,Tony Gumina,4
Carson City,409,U.S. Senate,,Joe Heck,504
Carson City,409,U.S. Senate,,Tom Jones,23
Carson City,409,U.S. Senate,,None Of These Candidates,32
Carson City,409,U.S. Senate,,Thomas Sawyer,11
Carson City,409,U.S. Senate,,Jarrod Williams,9
Carson City,411,President,,Darrell Castle,5
Carson City,411,President,,Hillary Clinton,193
Carson City,411,President,,Roque De La Fuente,1
Carson City,411,President,,Gary Johnson,30
Carson City,411,President,,None Of These Candidates,23
Carson City,411,President,,Donald Trump,425
Carson City,411,State House,40,Michael Greedy,151
Carson City,411,State House,40,Al Kramer,471
Carson City,411,State House,40,John Wagner,38
Carson City,411,U.S. House,2,Mark Amodei,469
Carson City,411,U.S. House,2,H.D. Evans,173
Carson City,411,U.S. House,2,John Everhart,16
Carson City,411,U.S. House,2,Drew Knight,10
Carson City,411,U.S. Senate,,Catherine Cortez Masto,208
Carson City,411,U.S. Senate,,Tony Gumina,2
Carson City,411,U.S. Senate,,Joe Heck,420
Carson City,411,U.S. Senate,,Tom Jones,12
Carson City,411,U.S. Senate,,None Of These Candidates,20
Carson City,411,U.S. Senate,,Thomas Sawyer,4
Carson City,411,U.S. Senate,,Jarrod Williams,8
Carson City,997,President,,Darrell Castle,0
Carson City,997,President,,Hillary Clinton,6
Carson City,997,President,,Roque De La Fuente,0
Carson City,997,President,,Gary Johnson,0
Carson City,997,President,,None Of These Candidates,1
Carson City,997,President,,Donald Trump,3
Carson City,997,U.S. House,2,Mark Amodei,0
Carson City,997,U.S. House,2,H.D. Evans,0
Carson City,997,U.S. House,2,John Everhart,0
Carson City,997,U.S. House,2,Drew Knight,0
Carson City,997,U.S. Senate,,Catherine Cortez Masto,7
Carson City,997,U.S. Senate,,Tony Gumina,0
Carson City,997,U.S. Senate,,Joe Heck,3
Carson City,997,U.S. Senate,,Tom Jones,0
Carson City,997,U.S. Senate,,None Of These Candidates,0
Carson City,997,U.S. Senate,,Thomas Sawyer,0
Carson City,997,U.S. Senate,,Jarrod Williams,0
Carson City,998,President,,Darrell Castle,0
Carson City,998,President,,Hillary Clinton,6
Carson City,998,President,,Roque De La Fuente,0
Carson City,998,President,,Gary Johnson,0
Carson City,998,President,,None Of These Candidates,0
Carson City,998,President,,Donald Trump,6
Carson City,999,President,,Darrell Castle,0
Carson City,999,President,,Hillary Clinton,0
Carson City,999,President,,Roque De La Fuente,0
Carson City,999,President,,Gary Johnson,0
Carson City,999,President,,None Of These Candidates,0
Carson City,999,President,,Donald Trump,0
Carson City,999,U.S. House,2,Mark Amodei,0
Carson City,999,U.S. House,2,H.D. Evans,0
Carson City,999,U.S. House,2,John Everhart,0
Carson City,999,U.S. House,2,Drew Knight,0
Carson City,999,U.S. Senate,,Catherine Cortez Masto,0
Carson City,999,U.S. Senate,,Tony Gumina,0
Carson City,999,U.S. Senate,,Joe Heck,0
Carson City,999,U.S. Senate,,Tom Jones,0
Carson City,999,U.S. Senate,,None Of These Candidates,0
Carson City,999,U.S. Senate,,Thomas Sawyer,0
Carson City,999,U.S. Senate,,Jarrod Williams,0
Churchill,1,President,,Darrell Castle,1
Churchill,1,President,,Hillary Clinton,139
Churchill,1,President,,Roque De La Fuente,2
Churchill,1,President,,Gary Johnson,31
Churchill,1,President,,None Of These Candidates,21
Churchill,1,President,,Donald Trump,461
Churchill,1,State House,38,Wendy Cochran,27
Churchill,1,State House,38,George Dini,135
Churchill,1,State House,38,Justin Smith,33
Churchill,1,State House,38,Robin Titus,436
Churchill,1,U.S. House,2,Mark Amodei,469
Churchill,1,U.S. House,2,H.D. Evans,127
Churchill,1,U.S. House,2,John Everhart,24
Churchill,1,U.S. House,2,Drew Knight,18
Churchill,1,U.S. Senate,,Catherine Cortez Masto,148
Churchill,1,U.S. Senate,,Tony Gumina,12
Churchill,1,U.S. Senate,,Joe Heck,440
Churchill,1,U.S. Senate,,Tom Jones,18
Churchill,1,U.S. Senate,,None Of These Candidates,23
Churchill,1,U.S. Senate,,Thomas Sawyer,10
Churchill,1,U.S. Senate,,Jarrod Williams,2
Churchill,2,President,,Darrell Castle,4
Churchill,2,President,,Hillary Clinton,186
Churchill,2,President,,Roque De La Fuente,1
Churchill,2,President,,Gary Johnson,37
Churchill,2,President,,None Of These Candidates,22
Churchill,2,President,,Donald Trump,370
Churchill,2,State House,38,Wendy Cochran,29
Churchill,2,State House,38,George Dini,154
Churchill,2,State House,38,Justin Smith,23
Churchill,2,State House,38,Robin Titus,375
Churchill,2,U.S. House,2,Mark Amodei,392
Churchill,2,U.S. House,2,H.D. Evans,154
Churchill,2,U.S. House,2,John Everhart,25
Churchill,2,U.S. House,2,Drew Knight,20
Churchill,2,U.S. Senate,,Catherine Cortez Masto,157
Churchill,2,U.S. Senate,,Tony Gumina,10
Churchill,2,U.S. Senate,,Joe Heck,391
Churchill,2,U.S. Senate,,Tom Jones,15
Churchill,2,U.S. Senate,,None Of These Candidates,22
Churchill,2,U.S. Senate,,Thomas Sawyer,12
Churchill,2,U.S. Senate,,Jarrod Williams,6
Churchill,3,President,,Darrell Castle,8
Churchill,3,President,,Hillary Clinton,115
Churchill,3,President,,Roque De La Fuente,2
Churchill,3,President,,Gary Johnson,20
Churchill,3,President,,None Of These Candidates,17
Churchill,3,President,,Donald Trump,305
Churchill,3,State House,38,Wendy Cochran,21
Churchill,3,State House,38,George Dini,114
Churchill,3,State House,38,Justin Smith,22
Churchill,3,State House,38,Robin Titus,294
Churchill,3,U.S. House,2,Mark Amodei,318
Churchill,3,U.S. House,2,H.D. Evans,103
Churchill,3,U.S. House,2,John Everhart,19
Churchill,3,U.S. House,2,Drew Knight,15
Churchill,3,U.S. Senate,,Catherine Cortez Masto,111
Churchill,3,U.S. Senate,,Tony Gumina,8
Churchill,3,U.S. Senate,,Joe Heck,315
Churchill,3,U.S. Senate,,Tom Jones,7
Churchill,3,U.S. Senate,,None Of These Candidates,20
Churchill,3,U.S. Senate,,Thomas Sawyer,5
Churchill,3,U.S. Senate,,Jarrod Williams,1
Churchill,4,President,,Darrell Castle,1
Churchill,4,President,,Hillary Clinton,132
Churchill,4,President,,Roque De La Fuente,0
Churchill,4,President,,Gary Johnson,35
Churchill,4,President,,None Of These Candidates,17
Churchill,4,President,,Donald Trump,340
Churchill,4,State House,38,Wendy Cochran,30
Churchill,4,State House,38,George Dini,144
Churchill,4,State House,38,Justin Smith,33
Churchill,4,State House,38,Robin Titus,289
Churchill,4,U.S. House,2,Mark Amodei,314
