jurisdiction,precinct,office,party,candidate,votes
Clark,1335,President,Democratic,Hillary Clinton,6
Clark,1336,President,Democratic,Hillary Clinton,3
Clark,1337,President,Democratic,Hillary Clinton,8
Clark,1340,President,Democratic,Hillary Clinton,6
Clark,1341,President,Democratic,Hillary Clinton,5
Clark,1342,President,Democratic,Hillary Clinton,5
Clark,1343,President,Democratic,Hillary Clinton,2
Clark,1344,President,Democratic,Hillary Clinton,2
Clark,1345,President,Democratic,Hillary Clinton,3
Clark,1346,President,Democratic,Hillary Clinton,5
Clark,1348,President,Democratic,Hillary Clinton,4
Clark,1349,President,Democratic,Hillary Clinton,4
Clark,1351,President,Democratic,Hillary Clinton,5
Clark,1352,President,Democratic,Hillary Clinton,5
Clark,1353,President,Democratic,Hillary Clinton,4
Clark,1354,President,Democratic,Hillary Clinton,4
Clark,1356,President,Democratic,Hillary Clinton,7
Clark,1365,President,Democratic,Hillary Clinton,0
Clark,1367,President,Democratic,Hillary Clinton,7
Clark,1368,President,Democratic,Hillary Clinton,4
Clark,1371,President,Democratic,Hillary Clinton,0
Clark,1374,President,Democratic,Hillary Clinton,0
Clark,1377,President,Democratic,Hillary Clinton,0
Clark,1381,President,Democratic,Hillary Clinton,0
Clark,1384,President,Democratic,Hillary Clinton,0
Clark,1386,President,Democratic,Hillary Clinton,0
Clark,1389,President,Democratic,Hillary Clinton,4
Clark,1390,President,Democratic,Hillary Clinton,8
Clark,1391,President,Democratic,Hillary Clinton,6
Clark,1394,President,Democratic,Hillary Clinton,4
Clark,1395,President,Democratic,Hillary Clinton,4
Clark,1396,President,Democratic,Hillary Clinton,6
Clark,1410,President,Democratic,Hillary Clinton,6
Clark,1411,President,Democratic,Hillary Clinton,5
Clark,1509,President,Democratic,Hillary Clinton,5
Clark,1510,President,Democratic,Hillary Clinton,3
Clark,1511,President,Democratic,Hillary Clinton,4
Clark,1513,President,Democratic,Hillary Clinton,6
Clark,1514,President,Democratic,Hillary Clinton,4
Clark,1517,President,Democratic,Hillary Clinton,5
Clark,1518,President,Democratic,Hillary Clinton,6
Clark,1519,President,Democratic,Hillary Clinton,2
Clark,1520,President,Democratic,Hillary Clinton,4
Clark,1521,President,Democratic,Hillary Clinton,5
Clark,1525,President,Democratic,Hillary Clinton,7
Clark,1528,President,Democratic,Hillary Clinton,6
Clark,1550,President,Democratic,Hillary Clinton,3
Clark,1552,President,Democratic,Hillary Clinton,2
Clark,1601,President,Democratic,Hillary Clinton,5
Clark,1602,President,Democratic,Hillary Clinton,4
Clark,1603,President,Democratic,Hillary Clinton,3
Clark,1604,President,Democratic,Hillary Clinton,4
Clark,1605,President,Democratic,Hillary Clinton,4
Clark,1606,President,Democratic,Hillary Clinton,2
Clark,1607,President,Democratic,Hillary Clinton,1
Clark,1608,President,Democratic,Hillary Clinton,5
Clark,1609,President,Democratic,Hillary Clinton,4
Clark,1611,President,Democratic,Hillary Clinton,7
Clark,1612,President,Democratic,Hillary Clinton,6
Clark,1613,President,Democratic,Hillary Clinton,5
Clark,1614,President,Democratic,Hillary Clinton,5
Clark,1615,President,Democratic,Hillary Clinton,5
Clark,1616,President,Democratic,Hillary Clinton,4
Clark,1617,President,Democratic,Hillary Clinton,6
Clark,1618,President,Democratic,Hillary Clinton,5
Clark,1619,President,Democratic,Hillary Clinton,9
Clark,1621,President,Democratic,Hillary Clinton,4
Clark,1623,President,Democratic,Hillary Clinton,1
Clark,1624,President,Democratic,Hillary Clinton,0
Clark,1625,President,Democratic,Hillary Clinton,3
Clark,1631,President,Democratic,Hillary Clinton,6
Clark,1632,President,Democratic,Hillary Clinton,4
Clark,1633,President,Democratic,Hillary Clinton,9
Clark,1634,President,Democratic,Hillary Clinton,4
Clark,1635,President,Democratic,Hillary Clinton,3
Clark,1641,President,Democratic,Hillary Clinton,4
Clark,1642,President,Democratic,Hillary Clinton,4
Clark,1643,President,Democratic,Hillary Clinton,1
Clark,1644,President,Democratic,Hillary Clinton,1
Clark,1645,President,Democratic,Hillary Clinton,1
Clark,1651,President,Democratic,Hillary Clinton,2
Clark,1652,President,Democratic,Hillary Clinton,8
Clark,1653,President,Democratic,Hillary Clinton,9
Clark,1655,President,Democratic,Hillary Clinton,7
Clark,1661,President,Democratic,Hillary Clinton,7
Clark,1662,President,Democratic,Hillary Clinton,5
Clark,1664,President,Democratic,Hillary Clinton,4
Clark,1665,President,Democratic,Hillary Clinton,1
Clark,1668,President,Democratic,Hillary Clinton,6
Clark,1669,President,Democratic,Hillary Clinton,3
Clark,1670,President,Democratic,Hillary Clinton,6
Clark,1671,President,Democratic,Hillary Clinton,0
Clark,1672,President,Democratic,Hillary Clinton,4
Clark,1674,President,Democratic,Hillary Clinton,6
Clark,1675,President,Democratic,Hillary Clinton,5
Clark,1676,President,Democratic,Hillary Clinton,3
Clark,1677,President,Democratic,Hillary Clinton,6
Clark,1678,President,Democratic,Hillary Clinton,5
Clark,1679,President,Democratic,Hillary Clinton,5
Clark,1680,President,Democratic,Hillary Clinton,7
Clark,1681,President,Democratic,Hillary Clinton,1
Clark,1682,President,Democratic,Hillary Clinton,5
Clark,1683,President,Democratic,Hillary Clinton,4
Clark,1684,President,Democratic,Hillary Clinton,1
Clark,1685,President,Democratic,Hillary Clinton,0
Clark,1686,President,Democratic,Hillary Clinton,3
Clark,1687,President,Democratic,Hillary Clinton,4
Clark,1688,President,Democratic,Hillary Clinton,6
Clark,1689,President,Democratic,Hillary Clinton,6
Clark,1692,President,Democratic,Hillary Clinton,1
Clark,1693,President,Democratic,Hillary Clinton,2
Clark,1695,President,Democratic,Hillary Clinton,2
Clark,1702,President,Democratic,Hillary Clinton,3
Clark,1703,President,Democratic,Hillary Clinton,7
Clark,1704,President,Democratic,Hillary Clinton,4
Clark,1712,President,Democratic,Hillary Clinton,9
Clark,1715,President,Democratic,Hillary Clinton,6
Clark,1717,President,Democratic,Hillary Clinton,6
Clark,1718,President,Democratic,Hillary Clinton,8
Clark,1719,President,Democratic,Hillary Clinton,6
Clark,1720,President,Democratic,Hillary Clinton,6
Clark,1721,President,Democratic,Hillary Clinton,6
Clark,1722,President,Democratic,Hillary Clinton,5
Clark,1727,President,Democratic,Hillary Clinton,8
Clark,1732,President,Democratic,Hillary Clinton,0
Clark,1750,President,Democratic,Hillary Clinton,4
Clark,1751,President,Democratic,Hillary Clinton,4
Clark,1753,President,Democratic,Hillary Clinton,1
Clark,2008,President,Democratic,Hillary Clinton,6
Clark,2037,President,Democratic,Hillary Clinton,7
Clark,2044,President,Democratic,Hillary Clinton,4
Clark,2126,President,Democratic,Hillary Clinton,4
Clark,2352,President,Democratic,Hillary Clinton,4
Clark,2353,President,Democratic,Hillary Clinton,8
Clark,2354,President,Democratic,Hillary Clinton,5
Clark,2360,President,Democratic,Hillary Clinton,9
Clark,2366,President,Democratic,Hillary Clinton,8
Clark,2371,President,Democratic,Hillary Clinton,4
Clark,2372,President,Democratic,Hillary Clinton,7
Clark,2373,President,Democratic,Hillary Clinton,5
Clark,2380,President,Democratic,Hillary Clinton,8
Clark,2381,President,Democratic,Hillary Clinton,11
Clark,2382,President,Democratic,Hillary Clinton,8
Clark,2383,President,Democratic,Hillary Clinton,10
Clark,2384,President,Democratic,Hillary Clinton,6
Clark,2385,President,Democratic,Hillary Clinton,6
Clark,2386,President,Democratic,Hillary Clinton,11
Clark,2387,President,Democratic,Hillary Clinton,8
Clark,2390,President,Democratic,Hillary Clinton,8
Clark,2391,President,Democratic,Hillary Clinton,5
Clark,2392,President,Democratic,Hillary Clinton,7
Clark,2393,President,Democratic,Hillary Clinton,9
Clark,2394,President,Democratic,Hillary Clinton,11
Clark,2400,President,Democratic,Hillary Clinton,12
Clark,2401,President,Democratic,Hillary Clinton,0
Clark,2405,President,Democratic,Hillary Clinton,0
Clark,2406,President,Democratic,Hillary Clinton,0
Clark,2407,President,Democratic,Hillary Clinton,0
Clark,2408,President,Democratic,Hillary Clinton,0
Clark,2409,President,Democratic,Hillary Clinton,10
Clark,2417,President,Democratic,Hillary Clinton,1
Clark,2430,President,Democratic,Hillary Clinton,9
Clark,2440,President,Democratic,Hillary Clinton,10
Clark,2444,President,Democratic,Hillary Clinton,2
Clark,2446,President,Democratic,Hillary Clinton,12
Clark,2449,President,Democratic,Hillary Clinton,9
Clark,2456,President,Democratic,Hillary Clinton,7
Clark,2457,President,Democratic,Hillary Clinton,9
Clark,2463,President,Democratic,Hillary Clinton,11
Clark,2464,President,Democratic,Hillary Clinton,11
Clark,2465,President,Democratic,Hillary Clinton,4
Clark,2466,President,Democratic,Hillary Clinton,6
Clark,2469,President,Democratic,Hillary Clinton,3
Clark,2473,President,Democratic,Hillary Clinton,1
Clark,2476,President,Democratic,Hillary Clinton,2
Clark,2477,President,Democratic,Hillary Clinton,2
Clark,2479,President,Democratic,Hillary Clinton,9
Clark,2480,President,Democratic,Hillary Clinton,9
Clark,2481,President,Democratic,Hillary Clinton,9
Clark,2483,President,Democratic,Hillary Clinton,13
Clark,2484,President,Democratic,Hillary Clinton,7
Clark,2500,President,Democratic,Hillary Clinton,8
Clark,2501,President,Democratic,Hillary Clinton,0
Clark,2503,President,Democratic,Hillary Clinton,0
Clark,2600,President,Democratic,Hillary Clinton,5
Clark,2601,President,Democratic,Hillary Clinton,0
Clark,2602,President,Democratic,Hillary Clinton,0
Clark,2603,President,Democratic,Hillary Clinton,6
Clark,2604,President,Democratic,Hillary Clinton,3
Clark,2605,President,Democratic,Hillary Clinton,4
Clark,2606,President,Democratic,Hillary Clinton,7
Clark,2607,President,Democratic,Hillary Clinton,9
Clark,2609,President,Democratic,Hillary Clinton,0
Clark,2611,President,Democratic,Hillary Clinton,5
Clark,2613,President,Democratic,Hillary Clinton,4
Clark,2614,President,Democratic,Hillary Clinton,4
Clark,2615,President,Democratic,Hillary Clinton,4
Clark,2616,President,Democratic,Hillary Clinton,5
Clark,2617,President,Democratic,Hillary Clinton,6
Clark,2621,President,Democratic,Hillary Clinton,6
Clark,2622,President,Democratic,Hillary Clinton,5
Clark,2624,President,Democratic,Hillary Clinton,3
Clark,2631,President,Democratic,Hillary Clinton,0
Clark,2632,President,Democratic,Hillary Clinton,0
Clark,2633,President,Democratic,Hillary Clinton,2
Clark,2634,President,Democratic,Hillary Clinton,3
Clark,2635,President,Democratic,Hillary Clinton,6
Clark,2641,President,Democratic,Hillary Clinton,1
Clark,2642,President,Democratic,Hillary Clinton,1
Clark,2643,President,Democratic,Hillary Clinton,7
Clark,2644,President,Democratic,Hillary Clinton,4
Clark,2645,President,Democratic,Hillary Clinton,1
Clark,2650,President,Democratic,Hillary Clinton,5
Clark,2651,President,Democratic,Hillary Clinton,3
Clark,2652,President,Democratic,Hillary Clinton,7
Clark,2653,President,Democratic,Hillary Clinton,4
Clark,2654,President,Democratic,Hillary Clinton,4
Clark,2655,President,Democratic,Hillary Clinton,6
Clark,2660,President,Democratic,Hillary Clinton,3
Clark,2661,President,Democratic,Hillary Clinton,7
Clark,2662,President,Democratic,Hillary Clinton,1
Clark,2663,President,Democratic,Hillary Clinton,3
Clark,2664,President,Democratic,Hillary Clinton,0
Clark,2665,President,Democratic,Hillary Clinton,0
Clark,2666,President,Democratic,Hillary Clinton,9
Clark,2671,President,Democratic,Hillary Clinton,7
Clark,2672,President,Democratic,Hillary Clinton,6
Clark,2673,President,Democratic,Hillary Clinton,1
Clark,2674,President,Democratic,Hillary Clinton,8
Clark,2675,President,Democratic,Hillary Clinton,0
Clark,2676,President,Democratic,Hillary Clinton,1
Clark,2681,President,Democratic,Hillary Clinton,1
Clark,2682,President,Democratic,Hillary Clinton,3
Clark,2683,President,Democratic,Hillary Clinton,0
Clark,2684,President,Democratic,Hillary Clinton,1
Clark,2685,President,Democratic,Hillary Clinton,0
Clark,2691,President,Democratic,Hillary Clinton,0
Clark,2692,President,Democratic,Hillary Clinton,5
Clark,2693,President,Democratic,Hillary Clinton,0
Clark,2695,President,Democratic,Hillary Clinton,5
Clark,2696,President,Democratic,Hillary Clinton,0
Clark,2700,President,Democratic,Hillary Clinton,5
Clark,2701,President,Democratic,Hillary Clinton,7
Clark,2702,President,Democratic,Hillary Clinton,5
Clark,2703,President,Democratic,Hillary Clinton,0
Clark,2704,President,Democratic,Hillary Clinton,0
Clark,2705,President,Democratic,Hillary Clinton,6
Clark,2706,President,Democratic,Hillary Clinton,0
Clark,2709,President,Democratic,Hillary Clinton,3
Clark,2710,President,Democratic,Hillary Clinton,2
Clark,2711,President,Democratic,Hillary Clinton,6
Clark,2713,President,Democratic,Hillary Clinton,6
Clark,2714,President,Democratic,Hillary Clinton,5
Clark,2716,President,Democratic,Hillary Clinton,9
Clark,2722,President,Democratic,Hillary Clinton,3
Clark,2724,President,Democratic,Hillary Clinton,5
Clark,2725,President,Democratic,Hillary Clinton,1
Clark,2726,President,Democratic,Hillary Clinton,1
Clark,2727,President,Democratic,Hillary Clinton,2
Clark,2729,President,Democratic,Hillary Clinton,4
Clark,2730,President,Democratic,Hillary Clinton,10
Clark,2731,President,Democratic,Hillary Clinton,7
Clark,2732,President,Democratic,Hillary Clinton,5
Clark,2733,President,Democratic,Hillary Clinton,4
Clark,2734,President,Democratic,Hillary Clinton,8
Clark,2735,President,Democratic,Hillary Clinton,6
Clark,2736,President,Democratic,Hillary Clinton,3
Clark,2737,President,Democratic,Hillary Clinton,6
Clark,2738,President,Democratic,Hillary Clinton,3
Clark,2740,President,Democratic,Hillary Clinton,11
Clark,2742,President,Democratic,Hillary Clinton,5
Clark,2743,President,Democratic,Hillary Clinton,9
Clark,2745,President,Democratic,Hillary Clinton,0
Clark,2746,President,Democratic,Hillary Clinton,6
Clark,2751,President,Democratic,Hillary Clinton,5
Clark,2752,President,Democratic,Hillary Clinton,11
Clark,2770,President,Democratic,Hillary Clinton,1
Clark,2775,President,Democratic,Hillary Clinton,4
Clark,2776,President,Democratic,Hillary Clinton,5
Clark,3036,President,Democratic,Hillary Clinton,5
Clark,3037,President,Democratic,Hillary Clinton,3
Clark,3040,President,Democratic,Hillary Clinton,5
Clark,3152,President,Democratic,Hillary Clinton,1
Clark,3217,President,Democratic,Hillary Clinton,7
Clark,3361,President,Democratic,Hillary Clinton,8
Clark,3363,President,Democratic,Hillary Clinton,6
Clark,3364,President,Democratic,Hillary Clinton,6
Clark,3365,President,Democratic,Hillary Clinton,3
Clark,3366,President,Democratic,Hillary Clinton,3
Clark,3370,President,Democratic,Hillary Clinton,4
Clark,3371,President,Democratic,Hillary Clinton,3
Clark,3372,President,Democratic,Hillary Clinton,5
Clark,3373,President,Democratic,Hillary Clinton,7
Clark,3374,President,Democratic,Hillary Clinton,5
Clark,3375,President,Democratic,Hillary Clinton,6
Clark,3380,President,Democratic,Hillary Clinton,2
Clark,3381,President,Democratic,Hillary Clinton,7
Clark,3382,President,Democratic,Hillary Clinton,7
Clark,3383,President,Democratic,Hillary Clinton,5
Clark,3385,President,Democratic,Hillary Clinton,6
Clark,3386,President,Democratic,Hillary Clinton,3
Clark,3391,President,Democratic,Hillary Clinton,3
Clark,3392,President,Democratic,Hillary Clinton,5
Clark,3393,President,Democratic,Hillary Clinton,4
Clark,3395,President,Democratic,Hillary Clinton,4
Clark,3413,President,Democratic,Hillary Clinton,6
Clark,3416,President,Democratic,Hillary Clinton,4
Clark,3417,President,Democratic,Hillary Clinton,6
Clark,3418,President,Democratic,Hillary Clinton,3
Clark,3430,President,Democratic,Hillary Clinton,5
Clark,3431,President,Democratic,Hillary Clinton,4
Clark,3433,President,Democratic,Hillary Clinton,1
Clark,3435,President,Democratic,Hillary Clinton,6
Clark,3457,President,Democratic,Hillary Clinton,0
Clark,3464,President,Democratic,Hillary Clinton,5
Clark,3465,President,Democratic,Hillary Clinton,5
Clark,3518,President,Democratic,Hillary Clinton,0
Clark,3532,President,Democratic,Hillary Clinton,1
Clark,3535,President,Democratic,Hillary Clinton,1
Clark,3540,President,Democratic,Hillary Clinton,2
Clark,3544,President,Democratic,Hillary Clinton,3
Clark,3546,President,Democratic,Hillary Clinton,3
Clark,3547,President,Democratic,Hillary Clinton,7
Clark,3557,President,Democratic,Hillary Clinton,8
Clark,3564,President,Democratic,Hillary Clinton,1
Clark,3565,President,Democratic,Hillary Clinton,4
Clark,3576,President,Democratic,Hillary Clinton,2
Clark,3579,President,Democratic,Hillary Clinton,0
Clark,3582,President,Democratic,Hillary Clinton,0
Clark,3602,President,Democratic,Hillary Clinton,7
Clark,3604,President,Democratic,Hillary Clinton,6
Clark,3605,President,Democratic,Hillary Clinton,1
Clark,3606,President,Democratic,Hillary Clinton,6
Clark,3607,President,Democratic,Hillary Clinton,6
Clark,3608,President,Democratic,Hillary Clinton,4
Clark,3609,President,Democratic,Hillary Clinton,4
Clark,3610,President,Democratic,Hillary Clinton,6
Clark,3700,President,Democratic,Hillary Clinton,0
Clark,3702,President,Democratic,Hillary Clinton,7
Clark,3703,President,Democratic,Hillary Clinton,1
Clark,3704,President,Democratic,Hillary Clinton,4
Clark,3706,President,Democratic,Hillary Clinton,7
Clark,3707,President,Democratic,Hillary Clinton,5
Clark,3708,President,Democratic,Hillary Clinton,2
Clark,3709,President,Democratic,Hillary Clinton,6
Clark,3710,President,Democratic,Hillary Clinton,1
Clark,3711,President,Democratic,Hillary Clinton,1
Clark,3713,President,Democratic,Hillary Clinton,1
Clark,3715,President,Democratic,Hillary Clinton,0
Clark,3716,President,Democratic,Hillary Clinton,2
Clark,3717,President,Democratic,Hillary Clinton,1
Clark,3718,President,Democratic,Hillary Clinton,4
Clark,3719,President,Democratic,Hillary Clinton,6
Clark,3720,President,Democratic,Hillary Clinton,3
Clark,3721,President,Democratic,Hillary Clinton,6
Clark,3722,President,Democratic,Hillary Clinton,3
Clark,3723,President,Democratic,Hillary Clinton,2
Clark,3724,President,Democratic,Hillary Clinton,5
Clark,3725,President,Democratic,Hillary Clinton,0
Clark,3726,President,Democratic,Hillary Clinton,6
Clark,3727,President,Democratic,Hillary Clinton,7
Clark,3728,President,Democratic,Hillary Clinton,11
Clark,3729,President,Democratic,Hillary Clinton,3
Clark,3730,President,Democratic,Hillary Clinton,5
Clark,3731,President,Democratic,Hillary Clinton,0
Clark,3732,President,Democratic,Hillary Clinton,2
Clark,3733,President,Democratic,Hillary Clinton,5
Clark,3734,President,Democratic,Hillary Clinton,4
Clark,3735,President,Democratic,Hillary Clinton,0
Clark,3736,President,Democratic,Hillary Clinton,0
Clark,3738,President,Democratic,Hillary Clinton,3
Clark,3739,President,Democratic,Hillary Clinton,5
Clark,3740,President,Democratic,Hillary Clinton,1
Clark,3741,President,Democratic,Hillary Clinton,2
Clark,3742,President,Democratic,Hillary Clinton,9
Clark,3743,President,Democratic,Hillary Clinton,7
Clark,3746,President,Democratic,Hillary Clinton,5
Clark,3747,President,Democratic,Hillary Clinton,4
Clark,3748,President,Democratic,Hillary Clinton,7
Clark,3749,President,Democratic,Hillary Clinton,7
Clark,3751,President,Democratic,Hillary Clinton,4
Clark,3752,President,Democratic,Hillary Clinton,6
Clark,3753,President,Democratic,Hillary Clinton,0
Clark,3754,President,Democratic,Hillary Clinton,9
Clark,3755,President,Democratic,Hillary Clinton,3
Clark,3756,President,Democratic,Hillary Clinton,1
Clark,3757,President,Democratic,Hillary Clinton,2
Clark,3758,President,Democratic,Hillary Clinton,2
Clark,3759,President,Democratic,Hillary Clinton,6
Clark,3760,President,Democratic,Hillary Clinton,6
Clark,3761,President,Democratic,Hillary Clinton,4
Clark,3762,President,Democratic,Hillary Clinton,5
Clark,3764,President,Democratic,Hillary Clinton,6
Clark,3765,President,Democratic,Hillary Clinton,6
Clark,3766,President,Democratic,Hillary Clinton,2
Clark,3767,President,Democratic,Hillary Clinton,0
Clark,3768,President,Democratic,Hillary Clinton,4
Clark,3769,President,Democratic,Hillary Clinton,4
Clark,3770,President,Democratic,Hillary Clinton,7
Clark,3771,President,Democratic,Hillary Clinton,4
Clark,3772,President,Democratic,Hillary Clinton,5
Clark,3773,President,Democratic,Hillary Clinton,4
Clark,3774,President,Democratic,Hillary Clinton,4
Clark,3775,President,Democratic,Hillary Clinton,3
Clark,3780,President,Democratic,Hillary Clinton,7
Clark,3782,President,Democratic,Hillary Clinton,2
Clark,3783,President,Democratic,Hillary Clinton,4
Clark,3784,President,Democratic,Hillary Clinton,5
Clark,3785,President,Democratic,Hillary Clinton,4
Clark,3786,President,Democratic,Hillary Clinton,7
Clark,3787,President,Democratic,Hillary Clinton,5
Clark,3788,President,Democratic,Hillary Clinton,7
Clark,3789,President,Democratic,Hillary Clinton,7
Clark,3790,President,Democratic,Hillary Clinton,6
Clark,3791,President,Democratic,Hillary Clinton,6
Clark,3792,President,Democratic,Hillary Clinton,5
Clark,3794,President,Democratic,Hillary Clinton,7
Clark,3795,President,Democratic,Hillary Clinton,4
Clark,3796,President,Democratic,Hillary Clinton,2
Clark,3800,President,Democratic,Hillary Clinton,3
Clark,3801,President,Democratic,Hillary Clinton,5
Clark,3802,President,Democratic,Hillary Clinton,4
Clark,3803,President,Democratic,Hillary Clinton,0
Clark,3804,President,Democratic,Hillary Clinton,5
Clark,3805,President,Democratic,Hillary Clinton,0
Clark,3806,President,Democratic,Hillary Clinton,3
Clark,3807,President,Democratic,Hillary Clinton,5
Clark,3808,President,Democratic,Hillary Clinton,5
Clark,3809,President,Democratic,Hillary Clinton,4
Clark,3811,President,Democratic,Hillary Clinton,7
Clark,3812,President,Democratic,Hillary Clinton,2
Clark,3813,President,Democratic,Hillary Clinton,8
Clark,3814,President,Democratic,Hillary Clinton,5
Clark,3815,President,Democratic,Hillary Clinton,5
Clark,3822,President,Democratic,Hillary Clinton,0
Clark,3823,President,Democratic,Hillary Clinton,0
Clark,3824,President,Democratic,Hillary Clinton,1
Clark,3825,President,Democratic,Hillary Clinton,0
Clark,3826,President,Democratic,Hillary Clinton,1
Clark,3831,President,Democratic,Hillary Clinton,0
Clark,3832,President,Democratic,Hillary Clinton,0
Clark,3833,President,Democratic,Hillary Clinton,1
Clark,3834,President,Democratic,Hillary Clinton,6
Clark,3841,President,Democratic,Hillary Clinton,11
Clark,3842,President,Democratic,Hillary Clinton,6
Clark,3843,President,Democratic,Hillary Clinton,6
Clark,3844,President,Democratic,Hillary Clinton,5
Clark,3845,President,Democratic,Hillary Clinton,0
Clark,3851,President,Democratic,Hillary Clinton,1
Clark,3852,President,Democratic,Hillary Clinton,1
Clark,3853,President,Democratic,Hillary Clinton,1
Clark,3854,President,Democratic,Hillary Clinton,6
Clark,3855,President,Democratic,Hillary Clinton,14
Clark,3863,President,Democratic,Hillary Clinton,4
Clark,3864,President,Democratic,Hillary Clinton,7
Clark,3866,President,Democratic,Hillary Clinton,2
Clark,4017,President,Democratic,Hillary Clinton,18
Clark,4028,President,Democratic,Hillary Clinton,18
Clark,4066,President,Democratic,Hillary Clinton,0
Clark,4069,President,Democratic,Hillary Clinton,1
Clark,4073,President,Democratic,Hillary Clinton,0
Clark,4076,President,Democratic,Hillary Clinton,0
Clark,4304,President,Democratic,Hillary Clinton,10
Clark,4305,President,Democratic,Hillary Clinton,12
Clark,4306,President,Democratic,Hillary Clinton,13
Clark,4307,President,Democratic,Hillary Clinton,12
Clark,4309,President,Democratic,Hillary Clinton,12
Clark,4310,President,Democratic,Hillary Clinton,16
Clark,4381,President,Democratic,Hillary Clinton,7
Clark,4384,President,Democratic,Hillary Clinton,7
Clark,4387,President,Democratic,Hillary Clinton,13
Clark,4415,President,Democratic,Hillary Clinton,5
Clark,4434,President,Democratic,Hillary Clinton,0
Clark,4454,President,Democratic,Hillary Clinton,0
Clark,4461,President,Democratic,Hillary Clinton,20
Clark,4463,President,Democratic,Hillary Clinton,0
Clark,4467,President,Democratic,Hillary Clinton,15
Clark,4500,President,Democratic,Hillary Clinton,4
Clark,4501,President,Democratic,Hillary Clinton,11
Clark,4502,President,Democratic,Hillary Clinton,4
Clark,4504,President,Democratic,Hillary Clinton,12
Clark,4505,President,Democratic,Hillary Clinton,6
Clark,4506,President,Democratic,Hillary Clinton,9
Clark,4507,President,Democratic,Hillary Clinton,15
Clark,4508,President,Democratic,Hillary Clinton,14
Clark,4510,President,Democratic,Hillary Clinton,4
Clark,4512,President,Democratic,Hillary Clinton,4
Clark,4513,President,Democratic,Hillary Clinton,4
Clark,4514,President,Democratic,Hillary Clinton,13
Clark,4522,President,Democratic,Hillary Clinton,3
Clark,4523,President,Democratic,Hillary Clinton,5
Clark,4525,President,Democratic,Hillary Clinton,8
Clark,4526,President,Democratic,Hillary Clinton,8
Clark,4527,President,Democratic,Hillary Clinton,17
Clark,4528,President,Democratic,Hillary Clinton,16
Clark,4529,President,Democratic,Hillary Clinton,7
Clark,4530,President,Democratic,Hillary Clinton,9
Clark,4531,President,Democratic,Hillary Clinton,11
